App,Package,Start Time,Duration,Filename
"System",,"Oct 14, 2018 @ 02:32:39 AM","1 min 6 sec","Trepn_2018.10.14_023238.db"

Time  [ms],"Battery Status",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",
56,1,56,1397655,416502,54,2295000,55,2295000,54,0,55,100,
207,1,207,1188006,206853,205,2295000,206,2295000,206,0,207,85,
308,1,308,1118124,136971,306,2295000,307,2295000,307,0,308,80,
358,1,358,1397655,416502,357,2295000,357,2295000,357,0,358,100,
464,1,463,1271866,290713,457,2295000,458,2295000,457,0,463,91,
561,1,560,854621,0,558,1836000,559,1836000,559,0,560,90,
660,1,660,580859,0,659,2193000,659,2193000,659,0,660,45,
763,1,763,348840,0,761,1530000,762,1530000,762,0,763,50,
864,1,864,35381,0,860,1530000,861,637500,860,0,863,20,
962,1,962,153489,0,961,1530000,961,1530000,961,0,962,22,
1063,1,1063,348840,0,1061,1530000,1062,1530000,1061,0,1063,50,
1166,1,1166,38919,0,1162,637500,1163,637500,1163,0,1166,22,
1279,1,1279,418607,0,1270,1530000,1273,1530000,1271,0,1278,60,
1364,1,1364,541260,0,1362,1836000,1363,1836000,1362,0,1364,57,
1464,1,1464,209303,0,1463,1530000,1463,1530000,1463,0,1464,30,
1578,1,1577,45433,0,1564,535500,1573,535500,1572,0,1577,33,
1665,1,1665,174420,0,1663,1530000,1664,1530000,1664,0,1665,25,
1769,1,1769,279072,0,1766,1530000,1767,1530000,1767,0,1768,40,
1876,1,1876,1397655,416502,1872,2295000,1873,2295000,1873,0,1874,100,
1975,1,1975,1397655,416502,1969,2295000,1969,2295000,1969,0,1971,100,
2072,1,2072,978358,0,2070,2295000,2070,2295000,2070,0,2072,70,
2175,1,2175,72319,0,2172,841500,2173,841500,2172,0,2175,27,
2282,1,2282,251164,0,2278,1530000,2279,1530000,2279,0,2281,36,
2373,1,2373,310993,0,2372,1632000,2372,1632000,2372,0,2373,40,
2484,1,2483,63686,0,2473,637500,2475,637500,2474,0,2477,36,
2575,1,2575,76744,0,2573,1530000,2573,1530000,2573,0,2574,11,
