App,Package,Start Time,Duration,Filename
"System",,"Oct 9, 2018 @ 12:55:18 AM","1 min 5 sec","Trepn_2018.10.09_005517.db"

Time  [ms],"Battery Status",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",
81,1,81,1041868,160523,40,1938000,80,1938000,80,0,81,100,
143,1,143,1397655,516310,142,2295000,142,2295000,142,0,143,100,
244,1,244,838593,0,242,2295000,243,2295000,243,0,244,60,
350,1,350,1257889,376544,344,2295000,344,2295000,344,0,347,90,
446,1,446,835629,0,444,1836000,445,1836000,445,0,446,88,
548,1,548,949579,68234,546,1836000,547,1836000,546,0,547,100,
648,1,648,1397655,516310,647,2295000,648,2295000,647,0,648,100,
750,1,750,1397655,516310,748,2295000,748,2295000,748,0,750,100,
851,1,851,1132100,250755,849,2295000,849,2295000,849,0,851,81,
900,1,900,838593,0,899,2295000,899,2295000,899,0,900,60,
1001,1,1001,614968,0,999,2295000,1000,2295000,1000,0,1001,44,
1101,1,1101,559062,0,1100,2295000,1100,2295000,1100,0,1101,40,
1202,1,1202,307484,0,1200,2295000,1201,2295000,1201,0,1202,22,
1302,1,1302,349413,0,1301,2295000,1302,2295000,1301,0,1302,25,
1403,1,1403,1257889,376544,1401,2295000,1402,2295000,1402,0,1402,90,
1504,1,1504,614968,0,1502,2295000,1502,2295000,1502,0,1503,44,
1604,1,1604,1257889,376544,1602,2295000,1603,2295000,1603,0,1603,90,
1705,1,1705,922452,41107,1703,2295000,1703,2295000,1703,0,1704,66,
1805,1,1805,981007,99662,1804,1836000,1804,2193000,1804,0,1805,76,
1905,1,1905,978358,97013,1904,2295000,1904,2295000,1904,0,1905,70,
2006,1,2005,1397655,516310,2004,2295000,2005,2295000,2005,0,2005,100,
2106,1,2106,1397655,516310,2105,2295000,2105,2295000,2105,0,2106,100,
2207,1,2206,1397655,516310,2205,2295000,2206,2295000,2205,0,2206,100,
2307,1,2307,838593,0,2305,2295000,2306,2295000,2306,0,2307,60,
2407,1,2407,1397655,516310,2406,2295000,2406,2295000,2406,0,2407,100,
2508,1,2507,1076194,194849,2506,2295000,2507,2295000,2507,0,2507,77,
2608,1,2608,698827,0,2606,2295000,2607,2295000,2607,0,2608,50,
2708,1,2708,626722,0,2707,1836000,2707,1836000,2707,0,2708,66,
2808,1,2808,1132100,250755,2807,2295000,2808,2295000,2808,0,2808,81,
2961,1,2961,1285842,404497,2958,2295000,2960,2295000,2959,0,2961,92,
3060,1,3060,922452,41107,3059,2295000,3059,2295000,3059,0,3060,66,
3170,1,3170,754733,0,3163,2295000,3163,2295000,3163,0,3164,54,
3215,1,3214,1397655,516310,3213,2295000,3214,2295000,3213,0,3214,100,
3321,1,3321,949579,68234,3314,1836000,3319,1836000,3318,0,3321,100,
3415,1,3415,689160,0,3414,1734000,3415,1734000,3414,0,3415,80,
3516,1,3516,419296,0,3515,2295000,3515,2295000,3515,0,3516,30,
3617,1,3616,626722,0,3615,1836000,3616,1836000,3616,0,3616,66,
3717,1,3717,1257889,376544,3716,2295000,3716,2295000,3716,0,3717,90,
3821,1,3821,978358,97013,3816,2295000,3817,2295000,3817,0,3820,70,
3919,1,3919,1397655,516310,3917,2295000,3917,2295000,3917,0,3918,100,
4025,1,4024,1257889,376544,4019,2295000,4020,2295000,4020,0,4024,90,
4122,1,4122,949579,68234,4120,1836000,4121,1836000,4121,0,4122,100,
4221,1,4221,1397655,516310,4220,2295000,4220,2295000,4220,0,4221,100,
4322,1,4322,1397655,516310,4320,2295000,4321,2295000,4320,0,4321,100,
4423,1,4423,1229936,348591,4420,2295000,4421,2295000,4421,0,4423,88,
4523,1,4522,439538,0,4521,1530000,4521,1530000,4521,0,4522,63,
4622,1,4622,748663,0,4621,2193000,4622,2193000,4621,0,4622,58,
4730,1,4730,39715,0,4722,561000,4724,561000,4723,0,4729,27,
4874,1,4873,348840,0,4850,637500,4852,1530000,4852,0,4873,50,
4935,1,4934,949579,68234,4930,1836000,4931,1836000,4931,0,4933,100,
5027,1,5027,569747,0,5025,1836000,5026,1836000,5025,0,5027,60,
5128,1,5128,342093,0,5126,1632000,5127,1632000,5126,0,5127,44,
5228,1,5228,439538,0,5226,1530000,5227,1530000,5226,0,5227,63,
5328,1,5328,62203,0,5326,1428000,5327,1428000,5327,0,5328,10,
5429,1,5429,0,0,5427,1428000,5428,1428000,5427,0,5429,0,
5530,1,5530,0,0,5528,1428000,5528,1428000,5528,0,5529,0,
5630,1,5630,62203,0,5628,1428000,5629,1428000,5628,0,5629,10,
5730,1,5730,55983,0,5729,1428000,5729,1428000,5729,0,5730,9,
5831,1,5831,0,0,5829,1428000,5830,1428000,5829,0,5831,0,
5931,1,5931,0,0,5930,1428000,5930,1428000,5930,0,5931,0,
6031,1,6031,136848,0,6030,1428000,6030,1428000,6030,0,6031,22,
6132,1,6132,155509,0,6130,1428000,6131,1428000,6131,0,6132,25,
6233,1,6232,0,0,6231,1428000,6231,1428000,6231,0,6232,0,
6333,1,6333,69768,0,6331,1530000,6332,1530000,6332,0,6333,10,
6434,1,6434,0,0,6432,1428000,6433,1428000,6432,0,6434,0,
6534,1,6534,0,0,6532,1836000,6533,1836000,6533,0,6534,0,
6634,1,6634,0,0,6633,1428000,6633,1428000,6633,0,6634,0,
6735,1,6735,111966,0,6733,1428000,6734,1428000,6734,0,6735,18,
6836,1,6836,111966,0,6834,1428000,6834,1428000,6834,0,6835,18,
6936,1,6936,55983,0,6934,1428000,6935,1428000,6934,0,6936,9,
7036,1,7036,62203,0,7034,1428000,7035,1428000,7035,0,7036,10,
7136,1,7136,55983,0,7135,1428000,7135,1428000,7135,0,7136,9,
7237,1,7237,0,0,7235,1428000,7236,1428000,7235,0,7237,0,
7341,1,7341,18337,0,7336,612000,7338,612000,7337,0,7340,11,
7437,1,7437,0,0,7435,1530000,7436,1530000,7436,0,7437,0,
7540,1,7540,15003,0,7536,612000,7538,612000,7537,0,7540,9,
7643,1,7643,0,0,7637,510000,7639,510000,7639,0,7642,0,
