App,Package,Start Time,Duration,Filename
"System",,"Oct 13, 2018 @ 09:55:54 PM","1 min 6 sec","Trepn_2018.10.13_215553.db"

Time  [ms],"Battery Status",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",
53,1,53,1397655,892555,38,2091000,52,2295000,52,0,53,100,
140,1,140,1397655,892555,138,2295000,139,2295000,138,0,140,100,
243,1,242,1118124,613024,241,2295000,242,2295000,242,0,242,80,
293,1,293,838593,333493,292,2295000,292,2295000,292,0,293,60,
393,1,393,1188106,683006,392,2091000,393,2091000,392,0,393,100,
494,1,494,1076194,571094,493,2295000,493,2295000,493,0,494,77,
599,1,599,1397655,892555,594,2295000,597,2295000,597,0,599,100,
698,1,698,1397655,892555,695,2295000,697,2295000,696,0,698,100,
796,1,796,1397655,892555,795,2295000,795,2295000,795,0,796,100,
897,1,897,922452,417352,895,2295000,896,2295000,896,0,897,66,
999,1,999,698827,193727,996,2295000,998,2295000,996,0,999,50,
1100,1,1100,1257889,752789,1098,2295000,1099,2295000,1099,0,1100,90,
1198,1,1198,866546,361446,1197,2295000,1197,2295000,1197,0,1198,62,
1299,1,1299,1118124,613024,1297,2295000,1298,2295000,1297,0,1298,80,
1400,1,1400,1397655,892555,1398,2295000,1399,2295000,1399,0,1400,100,
1503,1,1503,1257889,752789,1499,2295000,1500,2295000,1500,0,1502,90,
1601,1,1601,922452,417352,1599,2295000,1600,2295000,1600,0,1601,66,
1701,1,1701,950484,445384,1700,2091000,1700,2091000,1700,0,1701,80,
1803,1,1803,1257889,752789,1800,2295000,1802,2295000,1801,0,1803,90,
1902,1,1902,1397655,892555,1901,2295000,1901,2295000,1901,0,1902,100,
2006,1,2006,1397655,892555,2005,2295000,2005,2295000,2005,0,2006,100,
2107,1,2107,1397655,892555,2106,2295000,2106,2295000,2106,0,2107,100,
2208,1,2208,1229936,724836,2206,2295000,2207,2295000,2207,0,2207,88,
2310,1,2310,1397655,892555,2307,2295000,2309,2295000,2308,0,2309,100,
2410,1,2410,1397655,892555,2407,2295000,2409,2295000,2407,0,2409,100,
2509,1,2509,1397655,892555,2508,2295000,2509,2295000,2508,0,2509,100,
2610,1,2610,1397655,892555,2609,2295000,2609,2295000,2609,0,2610,100,
2725,1,2725,1397655,892555,2716,2295000,2723,2295000,2716,0,2724,100,
2820,1,2820,1118124,613024,2817,2295000,2818,2295000,2818,0,2820,80,
2918,1,2918,1118124,613024,2917,2295000,2918,2295000,2918,0,2918,80,
3019,1,3019,838593,333493,3018,2295000,3018,2295000,3018,0,3019,60,
3120,1,3120,587015,81915,3118,2295000,3119,2295000,3118,0,3119,42,
3221,1,3221,880522,375422,3219,2295000,3219,2295000,3219,0,3221,63,
3323,1,3323,1188106,683006,3320,2091000,3321,2091000,3320,0,3322,100,
3422,1,3422,1397655,892555,3420,2295000,3421,2295000,3421,0,3422,100,
3526,1,3526,1397655,892555,3521,2295000,3525,2295000,3524,0,3526,100,
3622,1,3622,1397655,892555,3621,2295000,3622,2295000,3621,0,3622,100,
3725,1,3725,1397655,892555,3724,2295000,3724,2295000,3724,0,3725,100,
3825,1,3825,1397655,892555,3824,2295000,3825,2295000,3824,0,3825,100,
3928,1,3928,1397655,892555,3927,2295000,3927,2295000,3927,0,3928,100,
4032,1,4032,1397655,892555,4027,2295000,4030,2295000,4028,0,4031,100,
4132,1,4132,1257889,752789,4130,2295000,4131,2295000,4131,0,4132,90,
4232,1,4231,1397655,892555,4230,2295000,4230,2295000,4230,0,4231,100,
4332,1,4332,1397655,892555,4330,2295000,4331,2295000,4331,0,4332,100,
4433,1,4433,1076194,571094,4431,2295000,4431,2295000,4431,0,4433,77,
4533,1,4533,1045533,540433,4531,2091000,4532,2091000,4532,0,4533,88,
4637,1,4637,1257889,752789,4634,2295000,4635,2295000,4635,0,4637,90,
4736,1,4736,1257889,752789,4735,2295000,4735,2295000,4735,0,4736,90,
4838,1,4838,1257889,752789,4835,2295000,4836,2295000,4836,0,4838,90,
4939,1,4938,1397655,892555,4936,2295000,4937,2295000,4937,0,4938,100,
5041,1,5041,1397655,892555,5039,2295000,5040,2295000,5040,0,5041,100,
5141,1,5141,1397655,892555,5139,2295000,5140,2295000,5139,0,5141,100,
5245,1,5245,1397655,892555,5242,2295000,5243,2295000,5243,0,5245,100,
5344,1,5344,1397655,892555,5343,2295000,5343,2295000,5343,0,5344,100,
5445,1,5445,1397655,892555,5443,2295000,5444,2295000,5444,0,5444,100,
5545,1,5545,1257889,752789,5544,2295000,5544,2295000,5544,0,5545,90,
5646,1,5646,614968,109868,5644,2295000,5645,2295000,5645,0,5646,44,
5746,1,5746,628944,123844,5745,2295000,5745,2295000,5745,0,5746,45,
5863,1,5863,32130,0,5851,510000,5858,510000,5852,0,5862,25,
5950,1,5950,0,0,5948,1530000,5949,1530000,5949,0,5950,0,
6051,1,6051,209303,0,6049,1530000,6050,1530000,6049,0,6050,30,
6155,1,6155,0,0,6150,510000,6152,510000,6151,0,6155,0,
6252,1,6252,153489,0,6250,1530000,6251,1530000,6251,0,6252,22,
6358,1,6358,32130,0,6352,510000,6353,510000,6353,0,6357,25,
6454,1,6453,0,0,6452,1530000,6452,1530000,6452,0,6453,0,
6557,1,6557,27535,0,6553,535500,6554,535500,6554,0,6557,20,
6658,1,6658,432561,0,6653,1530000,6654,1530000,6654,0,6656,62,
6789,1,6789,348840,0,6754,739500,6768,1530000,6763,0,6787,50,
6860,1,6860,826133,321033,6857,1836000,6859,1836000,6858,0,6860,87,
6959,1,6958,174420,0,6957,1530000,6957,1530000,6957,0,6958,25,
7074,1,7074,14109,0,7057,586500,7059,586500,7058,0,7071,9,
7159,1,7159,230234,0,7157,1530000,7158,1530000,7158,0,7159,33,
7260,1,7260,348840,0,7259,1530000,7259,1530000,7259,0,7260,50,
7366,1,7365,11566,0,7360,510000,7363,510000,7361,0,7365,9,
7461,1,7461,139536,0,7460,1530000,7461,1530000,7460,0,7461,20,
7565,1,7565,46267,0,7561,510000,7562,510000,7562,0,7565,36,
7666,1,7666,20563,0,7662,510000,7663,510000,7662,0,7665,16,
7767,1,7767,12852,0,7762,510000,7764,510000,7763,0,7767,10,
7864,1,7864,0,0,7863,1530000,7863,1530000,7863,0,7864,0,
7968,1,7968,47764,0,7964,637500,7966,637500,7965,0,7968,27,
8070,1,8070,12852,0,8065,510000,8067,510000,8066,0,8069,10,
