App,Package,Start Time,Duration,Filename
"System",,"Oct 10, 2018 @ 10:47:13 PM","1 min 5 sec","Trepn_2018.10.10_224712.db"

Time  [ms],"Battery Status",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",
50,1,49,1188006,892440,7,2295000,49,2295000,48,0,49,85,
109,1,109,1397655,1102089,107,2295000,108,2295000,108,0,109,100,
210,1,210,1397655,1102089,209,2295000,209,2295000,209,0,210,100,
310,1,310,922452,626886,309,2295000,310,2295000,309,0,310,66,
411,1,411,922452,626886,410,2295000,410,2295000,410,0,411,66,
511,1,511,628944,333378,510,2295000,511,2295000,510,0,511,45,
613,1,613,237621,0,612,2091000,612,2091000,612,0,613,20,
726,1,726,1132100,836534,711,2295000,712,2295000,712,0,713,81,
812,1,812,838593,543027,811,2295000,812,2295000,811,0,812,60,
914,1,914,418607,123041,912,1530000,913,1530000,913,0,914,60,
1014,1,1014,1397655,1102089,1012,2295000,1013,2295000,1013,0,1014,100,
1115,1,1115,1397655,1102089,1114,2295000,1114,2295000,1114,0,1115,100,
1219,1,1218,1397655,1102089,1214,2295000,1215,2295000,1214,0,1217,100,
1317,1,1317,1397655,1102089,1314,2295000,1315,2295000,1315,0,1317,100,
1418,1,1417,1257889,962323,1416,2295000,1417,2295000,1416,0,1417,90,
1520,1,1520,1257889,962323,1518,2295000,1518,2295000,1518,0,1520,90,
1620,1,1620,1229936,934370,1618,2295000,1619,2295000,1619,0,1619,88,
1721,1,1721,922452,626886,1719,2295000,1720,2295000,1720,0,1721,66,
1821,1,1821,1397655,1102089,1819,2295000,1820,2295000,1820,0,1821,100,
1922,1,1921,1118124,822558,1920,2295000,1920,2295000,1920,0,1921,80,
2023,1,2023,978358,682792,2020,2295000,2021,2295000,2021,0,2022,70,
2122,1,2122,1257889,962323,2120,2295000,2121,2295000,2121,0,2122,90,
2222,1,2222,1076194,780628,2221,2295000,2221,2295000,2221,0,2222,77,
2324,1,2324,1132100,836534,2322,2295000,2323,2295000,2322,0,2324,81,
2423,1,2423,1397655,1102089,2422,2295000,2422,2295000,2422,0,2423,100,
2523,1,2523,628944,333378,2522,2295000,2523,2295000,2522,0,2523,45,
2632,1,2631,32130,0,2624,510000,2626,510000,2626,0,2631,25,
2726,1,2726,69768,0,2724,1530000,2725,1530000,2724,0,2726,10,
2830,1,2830,0,0,2825,612000,2827,612000,2826,0,2830,0,
2929,1,2929,0,0,2927,1530000,2928,1530000,2927,0,2929,0,
3031,1,3031,63686,0,3028,637500,3029,637500,3028,0,3031,36,
3139,1,3138,34700,0,3129,510000,3132,510000,3131,0,3136,27,
3230,1,3230,83721,0,3228,1530000,3229,1530000,3229,0,3230,12,
3334,1,3334,13238,0,3329,561000,3331,561000,3331,0,3334,9,
3432,1,3432,383724,88158,3429,1530000,3430,1530000,3430,0,3431,55,
3531,1,3531,76744,0,3530,1530000,3530,1530000,3530,0,3531,11,
3636,1,3636,11566,0,3631,510000,3632,510000,3632,0,3636,9,
3736,1,3736,53071,0,3732,637500,3733,637500,3733,0,3736,30,
