App,Package,Start Time,Duration,Filename
"System",,"Oct 9, 2018 @ 03:44:22 AM","1 min 5 sec","Trepn_2018.10.09_034421.db"

Time  [ms],"Battery Status",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",
98,1,98,949579,120537,33,1836000,67,1836000,67,0,70,100,
105,1,105,1290799,461757,99,2193000,100,2193000,99,0,101,100,
188,1,188,1215959,386917,187,2295000,187,2295000,187,0,188,87,
289,1,289,1397655,568613,287,2295000,288,2295000,288,0,289,100,
389,1,389,516870,0,388,1734000,388,1734000,388,0,389,60,
490,1,490,379831,0,488,1836000,489,1836000,488,0,489,40,
590,1,590,348840,0,589,1530000,589,1530000,589,0,590,50,
693,1,693,781401,0,690,1938000,690,1938000,690,0,692,75,
791,1,791,698827,0,790,2295000,790,2295000,790,0,791,50,
893,1,893,174420,0,891,1530000,891,1530000,891,0,892,25,
997,1,997,502329,0,992,1530000,995,1530000,995,0,997,72,
1093,1,1093,417814,0,1092,1836000,1092,1836000,1092,0,1093,44,
1210,1,1206,39715,0,1193,561000,1194,561000,1193,0,1201,27,
1294,1,1294,348840,0,1292,1530000,1293,1530000,1293,0,1294,50,
1397,1,1397,188373,0,1395,1530000,1396,1530000,1396,0,1397,27,
1497,1,1497,313955,0,1495,1530000,1496,1530000,1496,0,1497,45,
1599,1,1599,404654,0,1597,1530000,1598,1530000,1597,0,1598,58,
1699,1,1699,1257889,428847,1698,2295000,1698,2295000,1698,0,1699,90,
1811,1,1811,14137,0,1805,510000,1806,510000,1806,0,1810,11,
1904,1,1904,230234,0,1903,1530000,1903,1530000,1903,0,1904,33,
2023,1,2022,28274,0,2010,510000,2015,510000,2013,0,2022,22,
2112,1,2111,76744,0,2109,1530000,2110,1530000,2110,0,2111,11,
2211,1,2211,209303,0,2209,1530000,2210,1530000,2210,0,2211,30,
2312,1,2312,230234,0,2310,1530000,2310,1530000,2310,0,2311,33,
2413,1,2413,265118,0,2411,1530000,2412,1530000,2411,0,2413,38,
2513,1,2513,104453,0,2511,1836000,2512,1836000,2511,0,2512,11,
2618,1,2618,75018,0,2612,612000,2615,612000,2614,0,2618,45,
2713,1,2713,251164,0,2712,1530000,2712,1530000,2712,0,2713,36,
2824,1,2823,25704,0,2813,510000,2816,510000,2815,0,2823,20,
2915,1,2915,209303,0,2913,1530000,2913,1530000,2913,0,2914,30,
3020,1,3020,38556,0,3016,510000,3018,510000,3017,0,3020,30,
3149,1,3142,683697,0,3118,1530000,3123,1836000,3120,0,3135,72,
3220,1,3220,861451,32409,3218,1734000,3219,1734000,3219,0,3220,100,
3321,1,3321,1397655,568613,3319,2295000,3319,2295000,3319,0,3321,100,
3422,1,3422,111966,0,3419,1428000,3420,1428000,3420,0,3422,18,
3522,1,3522,83721,0,3520,1530000,3520,1530000,3520,0,3522,12,
3622,1,3622,251164,0,3621,1530000,3621,1530000,3621,0,3622,36,
3731,1,3730,14137,0,3722,510000,3725,510000,3725,0,3729,11,
3826,1,3826,684186,0,3823,1632000,3824,1632000,3823,0,3826,88,
3927,1,3927,1257889,428847,3925,2295000,3926,2295000,3926,0,3927,90,
4026,1,4026,1397655,568613,4025,2295000,4025,2295000,4025,0,4026,100,
4128,1,4128,194983,0,4125,1020000,4126,1020000,4126,0,4128,54,
4230,1,4230,15422,0,4226,510000,4228,510000,4227,0,4230,12,
4329,1,4329,627911,0,4327,1530000,4328,1530000,4328,0,4329,90,
4430,1,4430,419841,0,4428,1632000,4429,1632000,4429,0,4429,54,
4531,1,4531,193294,0,4529,1224000,4529,1224000,4529,0,4531,40,
4634,1,4634,82686,0,4630,918000,4631,918000,4631,0,4633,27,
4733,1,4733,348840,0,4730,1530000,4732,1530000,4732,0,4733,50,
4834,1,4833,153489,0,4831,1530000,4832,1530000,4832,0,4833,22,
4933,1,4933,172290,0,4931,1734000,4932,1734000,4932,0,4933,20,
5034,1,5034,598234,0,5032,1836000,5033,1836000,5032,0,5034,63,
5133,1,5133,1397655,568613,5132,2295000,5132,2295000,5132,0,5133,100,
5235,1,5235,1397655,568613,5234,2295000,5234,2295000,5234,0,5235,100,
5335,1,5335,1397655,568613,5334,2295000,5335,2295000,5334,0,5335,100,
5436,1,5436,866546,37504,5434,2295000,5435,2295000,5435,0,5436,62,
5537,1,5537,1397655,568613,5535,2295000,5535,2295000,5535,0,5537,100,
5637,1,5637,1397655,568613,5635,2295000,5636,2295000,5636,0,5637,100,
5738,1,5738,861451,32409,5736,1734000,5736,1734000,5736,0,5738,100,
5838,1,5838,1257889,428847,5836,2295000,5836,2295000,5836,0,5837,90,
5938,1,5938,1257889,428847,5937,2295000,5938,2295000,5937,0,5938,90,
6040,1,6040,1188106,359064,6038,2091000,6038,2091000,6038,0,6040,100,
6143,1,6143,1397655,568613,6142,2295000,6142,2295000,6142,0,6143,100,
6249,1,6249,1397655,568613,6242,2295000,6243,2295000,6243,0,6248,100,
6344,1,6344,1188106,359064,6343,2091000,6343,2091000,6343,0,6344,100,
6445,1,6445,261383,0,6444,2091000,6444,2091000,6444,0,6445,22,
6545,1,6545,287669,0,6544,1632000,6544,1632000,6544,0,6545,37,
6645,1,6645,342093,0,6644,1632000,6644,1632000,6644,0,6645,44,
6746,1,6746,124407,0,6744,1428000,6745,1428000,6745,0,6746,20,
6847,1,6847,0,0,6845,1428000,6846,1428000,6846,0,6847,0,
6947,1,6947,124407,0,6945,1428000,6946,1428000,6946,0,6947,20,
7049,1,7048,68424,0,7045,1428000,7046,1428000,7046,0,7048,11,
7150,1,7149,62203,0,7146,1428000,7147,1428000,7146,0,7149,10,
7252,1,7252,136848,0,7246,1428000,7247,1428000,7247,0,7252,22,
7348,1,7348,646088,0,7347,1734000,7347,1734000,7347,0,7348,75,
7449,1,7449,69768,0,7447,1530000,7448,1530000,7448,0,7449,10,
7552,1,7552,0,0,7548,612000,7550,612000,7549,0,7552,0,
7656,1,7655,70762,0,7649,637500,7650,637500,7650,0,7655,40,
7756,1,7756,153489,0,7751,1530000,7753,1530000,7752,0,7755,22,
7854,1,7854,550755,0,7852,1836000,7853,1836000,7853,0,7854,58,
7973,1,7973,86282,0,7954,943500,7956,943500,7955,0,7973,27,
8056,1,8055,97675,0,8053,1530000,8054,1530000,8054,0,8055,14,
8184,1,8183,47031,0,8159,586500,8174,586500,8161,0,8183,30,
8259,1,8259,112906,0,8255,688500,8257,688500,8256,0,8259,57,
8362,1,8362,418607,0,8357,1530000,8359,1530000,8358,0,8360,60,
8458,1,8458,209303,0,8457,1530000,8457,1530000,8457,0,8458,30,
8565,1,8565,38556,0,8559,510000,8561,510000,8560,0,8564,30,
8662,1,8662,0,0,8658,637500,8660,637500,8659,0,8661,0,
8766,1,8766,788150,0,8761,1836000,8763,1836000,8763,0,8765,83,
8863,1,8863,683697,0,8861,1836000,8862,1836000,8862,0,8862,72,
8962,1,8962,1048241,219199,8961,2295000,8962,2295000,8962,0,8962,75,
9065,1,9065,53071,0,9062,637500,9063,637500,9063,0,9065,30,
9163,1,9163,759663,0,9162,1836000,9162,1836000,9162,0,9163,80,
9265,1,9264,387653,0,9262,1734000,9263,1734000,9263,0,9264,45,
9364,1,9364,749462,0,9363,1734000,9363,1734000,9363,0,9364,87,
9464,1,9464,569747,0,9463,1836000,9463,1836000,9463,0,9464,60,
9564,1,9564,94759,0,9563,1734000,9564,1734000,9563,0,9564,11,
9665,1,9665,258435,0,9664,1734000,9664,1734000,9664,0,9665,30,
9765,1,9765,1257889,428847,9764,2295000,9764,2295000,9764,0,9765,90,
9865,1,9865,866546,37504,9864,2295000,9865,2295000,9864,0,9865,62,
9966,1,9966,598234,0,9965,1836000,9965,1836000,9965,0,9966,63,
10066,1,10066,698827,0,10065,2295000,10065,2295000,10065,0,10066,50,
10167,1,10167,569747,0,10165,1836000,10166,1836000,10166,0,10167,60,
10267,1,10267,855436,26394,10266,2091000,10266,2091000,10266,0,10267,72,
10367,1,10367,427310,0,10366,1836000,10366,1836000,10366,0,10367,45,
10468,1,10468,377366,0,10467,2295000,10467,2295000,10467,0,10468,27,
10569,1,10569,279072,0,10567,1530000,10568,1530000,10568,0,10569,40,
10673,1,10673,488375,0,10669,1530000,10670,1530000,10670,0,10673,70,
10775,1,10775,1135903,306861,10769,2193000,10770,2193000,10770,0,10773,88,
10872,1,10872,1229936,400894,10870,2295000,10871,2295000,10870,0,10872,88,
10972,1,10972,430725,0,10970,1734000,10971,1734000,10970,0,10972,50,
11071,1,11071,475242,0,11070,2091000,11071,2091000,11070,0,11071,40,
11177,1,11176,53071,0,11171,637500,11172,637500,11172,0,11176,30,
11279,1,11279,502329,0,11272,1530000,11273,1530000,11272,0,11279,72,
11374,1,11374,664705,0,11372,1836000,11373,1836000,11372,0,11373,70,
11474,1,11474,1076194,247152,11472,2295000,11473,2295000,11473,0,11474,77,
11574,1,11574,1257889,428847,11573,2295000,11573,2295000,11573,0,11574,90,
