App,Package,Start Time,Duration,Filename
"System",,"Oct 11, 2018 @ 02:14:09 AM","1 min 5 sec","Trepn_2018.10.11_021408.db"

Time  [ms],"Battery Status",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",
38,1,33,1188106,673429,90,2295000,31,2091000,30,0,32,100,
92,1,92,922452,407775,191,2295000,91,2295000,91,0,92,66,
192,1,192,1397655,882978,292,2295000,191,2295000,191,0,192,100,
293,1,293,1006311,491634,392,2091000,292,2295000,292,0,293,72,
393,1,393,641577,126900,492,2295000,392,2091000,392,0,393,54,
493,1,493,1397655,882978,594,2295000,493,2295000,492,0,493,100,
595,1,595,1397655,882978,695,2091000,594,2295000,594,0,595,100,
697,1,697,1069295,554618,794,2295000,695,2091000,695,0,697,90,
795,1,795,1397655,882978,894,2295000,794,2295000,794,0,795,100,
899,1,899,1397655,882978,995,2295000,895,2295000,895,0,898,100,
997,1,997,1397655,882978,1095,2295000,995,2295000,995,0,996,100,
1096,1,1096,1397655,882978,1195,2295000,1095,2295000,1095,0,1096,100,
1200,1,1200,1397655,882978,1295,2295000,1197,2295000,1195,0,1200,100,
1297,1,1296,1397655,882978,1396,2295000,1296,2295000,1296,0,1296,100,
1397,1,1397,1397655,882978,1496,2295000,1396,2295000,1396,0,1397,100,
1498,1,1498,1215959,701282,1597,2295000,1497,2295000,1497,0,1498,87,
1603,1,1603,922452,407775,1697,2295000,1597,2295000,1597,0,1598,66,
1699,1,1699,880522,365845,1798,2295000,1698,2295000,1698,0,1699,63,
1799,1,1799,978358,463681,1898,2295000,1798,2295000,1798,0,1799,70,
1905,1,1905,1397655,882978,1999,2295000,1899,2295000,1899,0,1905,100,
2004,1,2004,1397655,882978,2102,2295000,1999,2295000,1999,0,2004,100,
2103,1,2103,1257889,743212,2202,2295000,2102,2295000,2102,0,2103,90,
2203,1,2203,614968,100291,2304,2295000,2203,2295000,2202,0,2203,44,
2306,1,2306,517132,2455,2404,2295000,2305,2295000,2304,0,2305,37,
2406,1,2406,880522,365845,2506,2295000,2405,2295000,2405,0,2406,63,
2508,1,2508,628944,114267,2606,2295000,2506,2295000,2506,0,2508,45,
2607,1,2607,922452,407775,2707,2295000,2607,2295000,2606,0,2607,66,
2708,1,2708,838593,323916,2807,2295000,2707,2295000,2707,0,2708,60,
2809,1,2809,880522,365845,2907,2295000,2807,2295000,2807,0,2809,63,
2909,1,2909,922452,407775,3008,2295000,2908,2295000,2907,0,2908,66,
3009,1,3009,503155,0,3109,2295000,3008,2295000,3008,0,3009,36,
3110,1,3110,978358,463681,3211,2295000,3109,2295000,3109,0,3110,70,
3212,1,3212,880522,365845,3311,2295000,3212,2295000,3211,0,3212,63,
3313,1,3313,1397655,882978,3412,2295000,3312,2295000,3312,0,3313,100,
3414,1,3414,1006311,491634,3513,2295000,3413,2295000,3413,0,3414,72,
3515,1,3514,754733,240056,3614,2295000,3514,2295000,3514,0,3514,54,
3615,1,3615,1076194,561517,3714,2295000,3614,2295000,3614,0,3615,77,
3716,1,3716,614968,100291,3816,2091000,3715,2295000,3715,0,3716,44,
3818,1,3818,712863,198186,3917,2295000,3817,2091000,3817,0,3818,60,
3918,1,3918,1397655,882978,4017,2295000,3917,2295000,3917,0,3918,100,
4019,1,4018,503155,0,4118,2295000,4018,2295000,4017,0,4018,36,
4119,1,4119,628944,114267,4218,2295000,4118,2295000,4118,0,4119,45,
4219,1,4219,838593,323916,4318,2295000,4218,2295000,4218,0,4219,60,
4320,1,4320,768710,254033,4421,2295000,4319,2295000,4319,0,4319,55,
4422,1,4422,1006311,491634,4521,2091000,4421,2295000,4421,0,4422,72,
4523,1,4523,1069295,554618,4621,2295000,4522,2091000,4521,0,4523,90,
4623,1,4623,1397655,882978,4722,2295000,4622,2295000,4622,0,4623,100,
4723,1,4723,1257889,743212,4822,2295000,4722,2295000,4722,0,4723,90,
4828,1,4828,1257889,743212,4922,2295000,4823,2295000,4822,0,4824,90,
4924,1,4924,1076194,561517,5026,2295000,4923,2295000,4923,0,4924,77,
5029,1,5028,698827,184150,5123,2295000,5027,2295000,5027,0,5028,50,
5125,1,5125,1215959,701282,5224,2295000,5124,2295000,5124,0,5125,87,
5232,1,5231,307484,0,5324,2295000,5225,2295000,5225,0,5231,22,
5325,1,5325,1397655,882978,5425,2295000,5325,2295000,5324,0,5325,100,
