App,Package,Start Time,Duration,Filename
"System",,"Oct 10, 2018 @ 01:03:04 AM","1 min 5 sec","Trepn_2018.10.10_010303.db"

Time  [ms],"Battery Status",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",
13,1,13,1081176,261698,93,2295000,12,2091000,12,0,13,91,
95,1,95,1188006,368528,193,2295000,94,2295000,94,0,95,85,
195,1,195,1229936,410458,294,2295000,194,2295000,194,0,195,88,
295,1,295,838593,19115,394,2193000,294,2295000,294,0,295,60,
395,1,395,580859,0,495,1530000,395,2193000,394,0,395,45,
497,1,497,376747,0,595,535500,495,1530000,495,0,496,54,
607,1,606,57824,0,696,1734000,600,535500,599,0,606,42,
697,1,697,749462,0,796,2295000,696,1734000,696,0,697,87,
800,1,800,1257889,438411,897,2295000,799,2295000,796,0,800,90,
898,1,898,419296,0,998,1530000,897,2295000,897,0,898,30,
1000,1,1000,432561,0,1099,586500,999,1530000,998,0,1000,62,
1104,1,1104,28218,0,1202,586500,1100,586500,1100,0,1103,18,
1219,1,1218,111450,0,1304,637500,1213,637500,1203,0,1218,63,
1317,1,1317,59424,0,1404,688500,1314,688500,1311,0,1316,30,
1419,1,1419,89136,0,1503,1530000,1408,688500,1407,0,1419,45,
1505,1,1505,230234,0,1605,1836000,1504,1530000,1504,0,1505,33,
1607,1,1607,569747,0,1705,2193000,1605,1836000,1605,0,1606,60,
1707,1,1707,645399,0,1805,2295000,1705,2193000,1705,0,1706,50,
1806,1,1806,1076194,256716,1905,1938000,1805,2295000,1805,0,1806,77,
1907,1,1907,729308,0,2006,1938000,1906,1938000,1906,0,1907,70,
2007,1,2007,208373,0,2106,1530000,2006,1938000,2006,0,2007,20,
2108,1,2108,139536,0,2207,535500,2106,1530000,2106,0,2108,20,
2216,1,2214,24781,0,2307,637500,2208,535500,2208,0,2213,18,
2315,1,2315,38919,0,2410,1530000,2310,637500,2309,0,2314,22,
2412,1,2412,83721,0,2511,1836000,2410,1530000,2410,0,2411,12,
2513,1,2513,284873,0,2614,637500,2512,1836000,2512,0,2513,30,
2626,1,2626,58379,0,2712,1530000,2620,637500,2617,0,2625,33,
2714,1,2714,153489,0,2814,637500,2713,1530000,2713,0,2714,22,
2819,1,2819,70762,0,2913,1530000,2815,637500,2815,0,2818,40,
2915,1,2915,209303,0,3014,1530000,2914,1530000,2914,0,2915,30,
3015,1,3015,83721,0,3115,586500,3014,1530000,3014,0,3015,12,
3119,1,3118,31354,0,3215,1530000,3116,586500,3115,0,3118,20,
3216,1,3216,230234,0,3315,637500,3215,1530000,3215,0,3216,33,
3319,1,3318,70762,0,3416,1530000,3317,637500,3316,0,3318,40,
3420,1,3420,313955,0,3516,1836000,3417,1530000,3417,0,3420,45,
3518,1,3518,664705,0,3616,2295000,3517,1836000,3517,0,3517,70,
3618,1,3618,1257889,438411,3718,2295000,3617,2295000,3617,0,3618,90,
3719,1,3719,1076194,256716,3819,2295000,3718,2295000,3718,0,3719,77,
3820,1,3820,517132,0,3919,1836000,3819,2295000,3819,0,3820,37,
3921,1,3921,512772,0,4019,2295000,3919,1836000,3919,0,3921,54,
4020,1,4020,838593,19115,4120,637500,4020,2295000,4019,0,4020,60,
4128,1,4128,44226,0,4220,1734000,4122,637500,4121,0,4127,25,
4223,1,4223,646088,0,4325,2295000,4222,1734000,4220,0,4223,75,
4326,1,4326,978358,158880,4424,2295000,4325,2295000,4325,0,4326,70,
4430,1,4430,614968,0,4524,2295000,4426,2295000,4426,0,4429,44,
4525,1,4525,1215959,396481,4624,2295000,4524,2295000,4524,0,4525,87,
4625,1,4625,307484,0,4724,2295000,4624,2295000,4624,0,4625,22,
4726,1,4726,838593,19115,4825,2091000,4725,2295000,4725,0,4725,60,
4827,1,4827,653458,0,4926,2295000,4826,2091000,4826,0,4827,55,
4927,1,4927,1257889,438411,5027,2295000,4926,2295000,4926,0,4927,90,
5029,1,5029,1048241,228763,5128,2295000,5028,2295000,5028,0,5029,75,
5130,1,5130,1257889,438411,5228,2295000,5128,2295000,5128,0,5130,90,
5230,1,5230,978358,158880,5329,2091000,5229,2295000,5229,0,5230,70,
5331,1,5331,1069295,249817,5430,1938000,5329,2091000,5329,0,5331,90,
5435,1,5434,833495,14017,5530,2295000,5431,1938000,5431,0,5434,80,
5531,1,5531,1397655,578177,5631,2091000,5530,2295000,5530,0,5531,100,
5633,1,5633,1188106,368628,5731,2295000,5632,2091000,5631,0,5633,100,
5733,1,5733,1397655,578177,5832,1938000,5732,2295000,5732,0,5733,100,
5833,1,5833,1041868,222390,5932,2295000,5832,1938000,5832,0,5833,100,
5933,1,5933,1397655,578177,6033,2295000,5933,2295000,5932,0,5933,100,
6039,1,6039,1397655,578177,6133,2295000,6033,2295000,6033,0,6034,100,
6141,1,6141,1397655,578177,6234,2295000,6134,2295000,6134,0,6139,100,
6235,1,6235,1397655,578177,6334,2295000,6234,2295000,6234,0,6235,100,
6338,1,6338,1397655,578177,6434,2295000,6335,2295000,6335,0,6338,100,
6437,1,6437,1397655,578177,6535,2295000,6436,2295000,6435,0,6437,100,
6542,1,6541,1397655,578177,6635,2295000,6535,2295000,6535,0,6541,100,
6639,1,6639,1397655,578177,6735,2091000,6636,2295000,6635,0,6639,100,
6738,1,6738,1188106,368628,6836,2295000,6736,2091000,6736,0,6737,100,
6838,1,6838,1397655,578177,6937,2295000,6837,2295000,6837,0,6838,100,
6942,1,6941,1397655,578177,7037,2295000,6940,2295000,6940,0,6941,100,
7038,1,7038,1132100,312622,7143,2295000,7038,2295000,7037,0,7038,81,
7145,1,7145,1257889,438411,7243,2295000,7143,2295000,7143,0,7145,90,
7244,1,7244,1257889,438411,7344,2295000,7244,2295000,7243,0,7244,90,
7345,1,7345,1257889,438411,7444,2295000,7344,2295000,7344,0,7345,90,
7445,1,7445,1229936,410458,7545,2295000,7445,2295000,7445,0,7445,88,
7546,1,7546,642921,0,7646,2295000,7545,2295000,7545,0,7546,46,
7651,1,7649,628944,0,7746,1938000,7648,2295000,7647,0,7649,45,
7748,1,7748,656377,0,7847,2295000,7747,1938000,7747,0,7748,63,
7848,1,7848,1215959,396481,7948,2295000,7847,2295000,7847,0,7848,87,
7949,1,7949,628944,0,8048,2091000,7948,2295000,7948,0,7949,45,
8050,1,8050,653458,0,8149,2295000,8049,2091000,8048,0,8050,55,
8152,1,8152,1397655,578177,8249,2091000,8151,2295000,8150,0,8152,100,
8250,1,8250,1188106,368628,8349,2295000,8249,2091000,8249,0,8250,100,
8351,1,8351,1397655,578177,8450,2091000,8350,2295000,8350,0,8351,100,
8454,1,8454,1188106,368628,8550,2295000,8452,2091000,8451,0,8453,100,
8552,1,8552,1006311,186833,8652,2295000,8551,2295000,8551,0,8551,72,
8653,1,8653,1397655,578177,8752,2295000,8652,2295000,8652,0,8653,100,
8755,1,8755,1076194,256716,8854,2295000,8753,2295000,8752,0,8755,77,
8855,1,8855,1397655,578177,8956,2295000,8854,2295000,8854,0,8855,100,
8963,1,8963,1257889,438411,9060,2295000,8957,2295000,8956,0,8960,90,
9061,1,9061,1397655,578177,9161,2091000,9060,2295000,9060,0,9061,100,
9163,1,9163,1188106,368628,9261,2295000,9161,2091000,9161,0,9163,100,
9262,1,9262,880522,61044,9361,2295000,9261,2295000,9261,0,9262,63,
9363,1,9363,880522,61044,9461,2295000,9362,2295000,9362,0,9362,63,
9464,1,9464,1257889,438411,9562,2091000,9463,2295000,9462,0,9464,90,
9564,1,9563,1069295,249817,9666,2295000,9563,2091000,9562,0,9563,90,
9668,1,9668,1229936,410458,9767,2091000,9667,2295000,9667,0,9667,88,
9783,1,9783,1188106,368628,9867,1938000,9768,2091000,9768,0,9782,100,
9869,1,9869,1041868,222390,9968,2295000,9868,1938000,9867,0,9868,100,
9971,1,9971,1257889,438411,10070,2295000,9968,2295000,9968,0,9970,90,
10071,1,10071,1397655,578177,10171,2295000,10070,2295000,10070,0,10071,100,
10172,1,10172,978358,158880,10273,2295000,10171,2295000,10171,0,10172,70,
10275,1,10275,1397655,578177,10373,2295000,10274,2295000,10273,0,10274,100,
10376,1,10376,1397655,578177,10474,2295000,10374,2295000,10374,0,10376,100,
10476,1,10476,1257889,438411,10574,2295000,10474,2295000,10474,0,10476,90,
10576,1,10576,1397655,578177,10675,2091000,10575,2295000,10575,0,10576,100,
10678,1,10678,1188106,368628,10775,2295000,10676,2091000,10676,0,10678,100,
10779,1,10779,1257889,438411,10876,2295000,10776,2295000,10776,0,10778,90,
10877,1,10877,1397655,578177,10976,2295000,10876,2295000,10876,0,10877,100,
10978,1,10978,1397655,578177,11077,2295000,10977,2295000,10977,0,10978,100,
11078,1,11078,1048241,228763,11177,2295000,11077,2295000,11077,0,11078,75,
11178,1,11178,698827,0,11277,2295000,11177,2295000,11177,0,11178,50,
11278,1,11278,880522,61044,11378,2295000,11278,2295000,11277,0,11278,63,
11379,1,11379,1229936,410458,11478,2295000,11378,2295000,11378,0,11379,88,
11479,1,11479,1257889,438411,11578,2295000,11478,2295000,11478,0,11479,90,
11579,1,11579,1397655,578177,11679,2295000,11579,2295000,11578,0,11579,100,
11681,1,11681,1118124,298646,11779,2295000,11680,2295000,11680,0,11681,80,
11781,1,11781,503155,0,11881,688500,11780,2295000,11780,0,11780,36,
11887,1,11886,21788,0,11981,1530000,11883,688500,11881,0,11886,11,
11982,1,11982,383724,0,12082,1530000,11981,1530000,11981,0,11982,55,
12085,1,12085,251164,0,12187,637500,12082,1530000,12082,0,12083,36,
12191,1,12191,77838,0,12235,1530000,12189,637500,12188,0,12191,44,
12236,1,12236,279072,0,12337,535500,12235,1530000,12235,0,12236,40,
12349,1,12348,0,0,12436,1530000,12340,535500,12338,0,12344,0,
12438,1,12438,565120,0,12537,1530000,12437,1530000,12437,0,12438,81,
12539,1,12539,418607,0,12638,2295000,12538,1530000,12538,0,12539,60,
12639,1,12639,1257889,438411,12738,2295000,12638,2295000,12638,0,12639,90,
12739,1,12739,1076194,256716,12839,2295000,12738,2295000,12738,0,12739,77,
12840,1,12840,1006311,186833,12940,2295000,12839,2295000,12839,0,12840,72,
12942,1,12942,838593,19115,13040,2091000,12941,2295000,12940,0,12942,60,
13041,1,13041,1188106,368628,13140,2295000,13040,2091000,13040,0,13041,100,
13142,1,13142,978358,158880,13240,2295000,13141,2295000,13141,0,13142,70,
13242,1,13242,866546,47068,13343,612000,13241,2295000,13241,0,13242,62,
13351,1,13351,41677,0,13441,1530000,13346,612000,13346,0,13349,25,
13443,1,13443,230234,0,13542,1632000,13442,1530000,13442,0,13443,33,
13544,1,13544,279894,0,13643,1530000,13543,1632000,13543,0,13543,36,
13644,1,13644,153489,0,13743,969000,13643,1530000,13643,0,13644,22,
13745,1,13745,153245,0,13843,2193000,13744,969000,13743,0,13745,46,
13845,1,13845,580859,0,13944,2295000,13844,2193000,13844,0,13845,45,
13945,1,13945,461226,0,14044,2295000,13944,2295000,13944,0,13945,33,
14045,1,14045,153742,0,14146,510000,14044,2295000,14044,0,14045,11,
14150,1,14150,23133,0,14246,510000,14147,510000,14147,0,14150,18,
14256,1,14255,15422,0,14347,663000,14249,510000,14248,0,14253,12,
14351,1,14351,93681,0,14447,1530000,14349,663000,14348,0,14351,50,
14448,1,14448,153489,0,14548,510000,14448,1530000,14447,0,14448,22,
14556,1,14554,23133,0,14649,1530000,14550,510000,14549,0,14552,18,
14650,1,14650,76744,0,14750,1530000,14649,1530000,14649,0,14650,11,
14751,1,14751,306979,0,14850,637500,14750,1530000,14750,0,14751,44,
14854,1,14854,31843,0,14950,1530000,14852,637500,14851,0,14854,18,
14952,1,14952,0,0,15052,612000,14951,1530000,14951,0,14952,0,
15056,1,15055,36675,0,15152,561000,15053,612000,15053,0,15055,22,
15157,1,15157,52953,0,15254,586500,15154,561000,15153,0,15156,36,
15266,1,15266,62708,0,15353,1530000,15256,586500,15255,0,15265,40,
15355,1,15355,153489,0,15458,561000,15354,1530000,15354,0,15355,22,
15473,1,15473,313955,0,15557,1530000,15465,1530000,15464,0,15468,45,
15559,1,15559,460468,0,15659,612000,15558,1530000,15557,0,15559,66,
15667,1,15667,50012,0,15759,1530000,15663,612000,15659,0,15666,30,
15764,1,15764,306979,0,15859,1530000,15761,1530000,15759,0,15764,44,
15861,1,15861,0,0,15962,586500,15859,1530000,15859,0,15861,0,
15967,1,15967,31354,0,16060,1530000,15964,586500,15964,0,15967,20,
16063,1,16063,0,0,16162,637500,16062,1530000,16061,0,16063,0,
16167,1,16167,47764,0,16265,637500,16164,637500,16163,0,16167,27,
16274,1,16273,44226,0,16366,535500,16267,637500,16266,0,16270,25,
16374,1,16373,41303,0,16466,1530000,16369,535500,16367,0,16372,30,
16467,1,16467,251164,0,16566,1530000,16466,1530000,16466,0,16467,36,
16568,1,16568,139536,0,16667,586500,16567,1530000,16567,0,16568,20,
16672,1,16671,31354,0,16768,510000,16669,586500,16668,0,16671,20,
16774,1,16773,38556,0,16868,1530000,16770,510000,16769,0,16773,30,
16870,1,16870,230234,0,16970,612000,16869,1530000,16869,0,16870,33,
16974,1,16974,36675,0,17069,1530000,16971,612000,16970,0,16973,22,
17071,1,17071,153489,0,17171,510000,17070,1530000,17070,0,17071,22,
17176,1,17175,14137,0,17272,637500,17172,510000,17172,0,17175,11,
17278,1,17277,53071,0,17373,586500,17273,637500,17273,0,17277,30,
17377,1,17377,62708,0,17479,1530000,17374,586500,17374,0,17377,40,
17497,1,17497,348840,0,17574,1530000,17487,1530000,17485,0,17496,50,
17575,1,17575,195350,0,17674,1632000,17574,1530000,17574,0,17575,28,
17675,1,17675,171046,0,17775,1530000,17675,1632000,17674,0,17675,22,
17777,1,17777,188373,0,17875,1530000,17776,1530000,17776,0,17777,27,
17876,1,17876,76744,0,17975,739500,17875,1530000,17875,0,17876,11,
17978,1,17978,24232,0,18076,510000,17976,739500,17976,0,17978,11,
18080,1,18080,38556,0,18177,637500,18077,510000,18077,0,18079,30,
18180,1,18180,70762,0,18277,586500,18178,637500,18177,0,18180,40,
18281,1,18281,39192,0,18378,510000,18279,586500,18278,0,18281,25,
18387,1,18384,42411,0,18478,1530000,18380,510000,18379,0,18383,33,
18480,1,18480,286048,0,18580,637500,18479,1530000,18479,0,18480,41,
18587,1,18587,49533,0,18681,1530000,18582,637500,18581,0,18586,28,
18683,1,18683,313955,0,18781,1530000,18682,1530000,18681,0,18683,45,
18783,1,18783,286048,0,18882,1530000,18782,1530000,18782,0,18783,41,
18884,1,18884,69768,0,18982,1530000,18883,1530000,18882,0,18884,10,
18984,1,18984,209303,0,19084,612000,18983,1530000,18983,0,18984,30,
19091,1,19091,45011,0,19187,586500,19087,612000,19086,0,19090,27,
19196,1,19195,70547,0,19285,2193000,19190,586500,19189,0,19195,45,
19287,1,19287,283975,0,19385,1530000,19285,2193000,19285,0,19286,22,
19387,1,19387,139536,0,19485,1530000,19386,1530000,19385,0,19387,20,
19487,1,19487,125582,0,19586,1530000,19486,1530000,19486,0,19487,18,
19588,1,19588,69768,0,19688,612000,19587,1530000,19586,0,19588,10,
19694,1,19694,33341,0,19789,561000,19691,612000,19689,0,19694,20,
19794,1,19794,54424,0,19889,510000,19791,561000,19790,0,19793,37,
19897,1,19896,52693,0,19988,1530000,19893,510000,19891,0,19895,41,
19990,1,19990,153489,0,20089,1530000,19989,1530000,19989,0,19990,22,
20090,1,20090,188373,0,20190,637500,20089,1530000,20089,0,20090,27,
20196,1,20195,38919,0,20291,663000,20192,637500,20191,0,20195,22,
20295,1,20295,76819,0,20391,1530000,20292,663000,20292,0,20295,41,
20392,1,20392,230234,0,20493,1530000,20391,1530000,20391,0,20392,33,
20496,1,20495,313955,0,20593,1734000,20494,1530000,20494,0,20495,45,
20594,1,20594,258435,0,20694,586500,20593,1734000,20593,0,20594,30,
20699,1,20699,34489,0,20795,1530000,20696,586500,20695,0,20698,22,
20797,1,20797,97675,0,20895,1530000,20796,1530000,20796,0,20797,14,
20896,1,20896,0,0,20996,510000,20895,1530000,20895,0,20896,0,
21001,1,21001,28274,0,21097,637500,20998,510000,20997,0,21001,22,
21101,1,21100,21228,0,21197,637500,21098,637500,21097,0,21100,12,
21201,1,21201,21228,0,21297,1530000,21199,637500,21198,0,21201,12,
21299,1,21299,76744,0,21398,510000,21298,1530000,21298,0,21299,11,
21403,1,21403,34700,0,21499,1530000,21400,510000,21399,0,21403,27,
21501,1,21501,418607,0,21599,1632000,21500,1530000,21499,0,21501,60,
21600,1,21600,256569,0,21700,637500,21599,1632000,21599,0,21600,33,
21704,1,21703,17690,0,21800,1530000,21701,637500,21701,0,21703,10,
21803,1,21802,376747,0,21902,510000,21801,1530000,21801,0,21802,54,
21907,1,21907,34489,0,22001,1530000,21904,586500,21903,0,21906,22,
22003,1,22003,83721,0,22102,586500,22002,1530000,22002,0,22003,12,
22106,1,22106,31354,0,22203,1530000,22104,586500,22103,0,22106,20,
22206,1,22206,97675,0,22303,1530000,22204,1530000,22204,0,22206,14,
22305,1,22305,251164,0,22404,510000,22304,1530000,22304,0,22305,36,
22413,1,22413,28274,0,22506,1530000,22406,510000,22405,0,22410,22,
22509,1,22509,230234,0,22606,1326000,22507,1530000,22507,0,22509,33,
22608,1,22608,0,0,22707,535500,22607,1326000,22606,0,22607,0,
22719,1,22718,41303,0,22808,510000,22709,535500,22708,0,22715,30,
22818,1,22818,38556,0,22908,1530000,22810,510000,22809,0,22817,30,
22910,1,22910,153489,0,23009,637500,22909,1530000,22908,0,22910,22,
23016,1,23016,79607,0,23111,510000,23011,637500,23010,0,23015,45,
23116,1,23116,286048,0,23211,1530000,23114,1530000,23112,0,23116,41,
23213,1,23213,153489,0,23312,586500,23211,1530000,23211,0,23212,22,
23319,1,23319,70547,0,23415,1530000,23317,586500,23316,0,23319,45,
23417,1,23417,83721,0,23514,1530000,23416,1530000,23415,0,23417,12,
23515,1,23515,83721,0,23614,1836000,23514,1530000,23514,0,23515,12,
23615,1,23615,104453,0,23717,637500,23614,1836000,23614,0,23615,11,
23723,1,23723,0,0,23817,739500,23719,637500,23718,0,23722,0,
23821,1,23821,55074,0,23917,510000,23819,739500,23818,0,23820,25,
23924,1,23924,46267,0,24017,1836000,23919,510000,23918,0,23923,36,
24018,1,24018,237394,0,24118,586500,24017,1836000,24017,0,24018,25,
24123,1,24123,47031,0,24219,1530000,24120,586500,24119,0,24122,30,
24221,1,24221,188373,0,24319,510000,24219,1530000,24219,0,24220,27,
24327,1,24326,32130,0,24419,1530000,24321,510000,24320,0,24326,25,
24421,1,24420,209303,0,24520,1530000,24420,1530000,24419,0,24420,30,
24522,1,24522,376747,0,24620,2193000,24521,1530000,24521,0,24522,54,
24621,1,24621,141987,0,24720,1530000,24620,2193000,24620,0,24621,11,
24723,1,24723,188373,0,24821,1530000,24721,1530000,24721,0,24722,27,
24822,1,24822,69768,0,24921,918000,24821,1530000,24821,0,24822,10,
24923,1,24923,82686,0,25022,561000,24922,918000,24921,0,24923,27,
25026,1,25026,52953,0,25123,510000,25024,561000,25023,0,25026,36,
25127,1,25127,57834,0,25228,1530000,25125,510000,25124,0,25127,45,
25230,1,25230,460468,0,25327,2295000,25229,1530000,25229,0,25230,66,
25329,1,25329,1397655,578177,25427,2295000,25327,2295000,25327,0,25329,100,
25428,1,25428,419296,0,25528,1530000,25427,2295000,25427,0,25428,30,
25531,1,25531,418607,0,25629,1530000,25530,1530000,25529,0,25531,60,
25631,1,25631,139536,0,25729,510000,25629,1530000,25629,0,25631,20,
25736,1,25735,12852,0,25830,637500,25731,510000,25730,0,25735,10,
25834,1,25834,70762,0,25931,1530000,25832,637500,25831,0,25834,40,
25933,1,25933,251164,0,26031,1530000,25932,1530000,25931,0,25933,36,
26033,1,26033,0,0,26132,561000,26032,1530000,26031,0,26033,0,
26136,1,26135,36773,0,26232,1530000,26133,561000,26133,0,26135,25,
26234,1,26233,139536,0,26333,1530000,26233,1530000,26232,0,26233,20,
26334,1,26334,139536,0,26434,612000,26333,1530000,26333,0,26334,20,
26439,1,26439,18337,0,26535,1632000,26435,612000,26435,0,26438,11,
26538,1,26538,482040,0,26635,510000,26536,1632000,26536,0,26538,62,
26641,1,26641,0,0,26735,1530000,26637,510000,26636,0,26641,0,
26736,1,26736,139536,0,26836,612000,26735,1530000,26735,0,26736,20,
26841,1,26841,50012,0,26936,1530000,26837,612000,26837,0,26840,30,
26938,1,26938,188373,0,27037,612000,26937,1530000,26937,0,26938,27,
27043,1,27043,0,0,27087,1530000,27038,612000,27038,0,27043,0,
27091,1,27091,139536,0,27187,1530000,27088,1530000,27088,0,27089,20,
27189,1,27189,76744,0,27287,1530000,27188,1530000,27187,0,27189,11,
27289,1,27289,0,0,27389,510000,27288,1530000,27288,0,27289,0,
27399,1,27398,12852,0,27489,663000,27391,510000,27390,0,27397,10,
27496,1,27496,123660,0,27589,1734000,27493,663000,27490,0,27496,66,
27592,1,27592,318736,0,27690,510000,27590,1734000,27589,0,27592,37,
27696,1,27695,153489,0,27789,1530000,27693,1530000,27691,0,27695,22,
27791,1,27790,0,0,27890,1530000,27790,1530000,27789,0,27790,0,
27891,1,27891,76744,0,27991,637500,27890,1530000,27890,0,27891,11,
27998,1,27998,47764,0,28095,510000,27994,637500,27992,0,27997,27,
28103,1,28102,28274,0,28195,586500,28097,510000,28096,0,28101,22,
28200,1,28200,72114,0,28292,1530000,28197,586500,28197,0,28200,46,
28296,1,28296,230234,0,28393,510000,28294,1530000,28294,0,28295,33,
28400,1,28399,0,0,28493,1530000,28396,510000,28395,0,28399,0,
28496,1,28496,279072,0,28596,637500,28495,1530000,28493,0,28496,40,
