App,Package,Start Time,Duration,Filename
"System",,"Oct 13, 2018 @ 11:32:36 PM","1 min 6 sec","Trepn_2018.10.13_233235.db"

Time  [ms],"Battery Status",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",
18,1,17,1285842,854487,88,2091000,15,2295000,15,0,16,92,
91,1,91,1045533,614178,189,2295000,90,2091000,88,0,91,88,
190,1,190,1397655,966300,290,2295000,189,2295000,189,0,190,100,
291,1,291,838593,407238,390,2295000,290,2295000,290,0,291,60,
391,1,391,1397655,966300,490,2295000,391,2295000,390,0,391,100,
492,1,492,1048241,616886,592,510000,491,2295000,491,0,492,75,
602,1,602,25704,0,692,1530000,593,510000,593,0,601,20,
694,1,694,76744,0,792,1530000,692,1530000,692,0,693,11,
794,1,794,83721,0,893,1530000,793,1530000,792,0,794,12,
897,1,897,313955,0,993,2295000,893,1530000,893,0,897,45,
995,1,995,1257889,826534,1096,510000,994,2295000,994,0,995,90,
1103,1,1102,11566,0,1196,1530000,1098,510000,1098,0,1102,9,
1198,1,1198,174420,0,1297,1530000,1197,1530000,1197,0,1198,25,
1298,1,1298,209303,0,1398,1530000,1297,1530000,1297,0,1298,30,
1402,1,1401,209303,0,1498,1632000,1400,1530000,1399,0,1401,30,
1500,1,1500,209920,0,1599,1938000,1498,1632000,1498,0,1499,27,
1600,1,1600,729308,297953,1699,2295000,1599,1938000,1599,0,1600,70,
1708,1,1708,768710,337355,1799,2295000,1700,2295000,1699,0,1700,55,
1801,1,1801,517132,85777,1900,2295000,1800,2295000,1800,0,1801,37,
1901,1,1901,1006311,574956,2000,2295000,1900,2295000,1900,0,1901,72,
2001,1,2001,1215959,784604,2101,2295000,2001,2295000,2000,0,2001,87,
2102,1,2102,838593,407238,2201,2295000,2101,2295000,2101,0,2102,60,
2202,1,2202,167718,0,2302,1836000,2202,2295000,2201,0,2202,12,
2307,1,2307,683697,252342,2402,2295000,2302,1836000,2302,0,2305,72,
2404,1,2404,1397655,966300,2503,2295000,2403,2295000,2403,0,2404,100,
2504,1,2504,559062,127707,2603,2295000,2503,2295000,2503,0,2504,40,
2604,1,2604,614968,183613,2704,2295000,2604,2295000,2603,0,2604,44,
2707,1,2707,866546,435191,2806,2091000,2705,2295000,2704,0,2706,62,
2807,1,2807,1188106,756751,2908,2295000,2806,2091000,2806,0,2807,100,
2915,1,2915,1397655,966300,3007,2295000,2913,2295000,2913,0,2915,100,
3011,1,3011,1397655,966300,3108,2295000,3008,2295000,3008,0,3010,100,
3111,1,3111,1257889,826534,3208,2295000,3111,2295000,3110,0,3111,90,
3210,1,3210,1006311,574956,3309,2295000,3209,2295000,3208,0,3210,72,
3311,1,3310,1076194,644839,3409,2295000,3310,2295000,3309,0,3310,77,
3411,1,3411,419296,0,3510,2295000,3410,2295000,3409,0,3410,30,
3523,1,3523,1257889,826534,3612,2295000,3510,2295000,3510,0,3522,90,
3616,1,3615,1397655,966300,3711,2295000,3613,2295000,3612,0,3614,100,
3714,1,3714,1257889,826534,3812,2091000,3713,2295000,3712,0,3714,90,
3813,1,3813,1069295,637940,3913,2091000,3813,2091000,3812,0,3813,90,
3914,1,3914,1188106,756751,4013,2295000,3913,2091000,3913,0,3914,100,
4014,1,4014,1397655,966300,4113,2295000,4014,2295000,4013,0,4014,100,
4115,1,4115,1229936,798581,4214,2295000,4114,2295000,4114,0,4115,88,
4215,1,4215,1048241,616886,4314,2295000,4215,2295000,4214,0,4215,75,
4316,1,4316,838593,407238,4415,1530000,4315,2295000,4315,0,4315,60,
4417,1,4417,139536,0,4516,637500,4416,1530000,4416,0,4417,20,
4530,1,4529,65455,0,4616,1530000,4518,637500,4517,0,4527,37,
4617,1,4617,153489,0,4716,2295000,4616,1530000,4616,0,4617,22,
4718,1,4718,1118124,686769,4817,2295000,4717,2295000,4717,0,4718,80,
4818,1,4818,1397655,966300,4917,2295000,4817,2295000,4817,0,4818,100,
4918,1,4918,1006311,574956,5019,2091000,4918,2295000,4917,0,4918,72,
