App,Package,Start Time,Duration,Filename
"System",,"Oct 9, 2018 @ 02:31:54 AM","1 min 5 sec","Trepn_2018.10.09_023153.db"

Time  [ms],"Battery Status",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",
59,1,58,968937,644764,88,1938000,54,1938000,53,0,56,93,
92,1,92,1397655,1073482,188,1836000,88,2295000,88,0,92,100,
190,1,190,949579,625406,288,1836000,189,1836000,188,0,189,100,
290,1,290,949579,625406,389,2295000,289,1836000,289,0,290,100,
390,1,390,922452,598279,489,2295000,389,2295000,389,0,390,66,
490,1,490,768710,444537,589,2295000,489,2295000,489,0,490,55,
590,1,590,768710,444537,690,637500,590,2295000,589,0,590,55,
694,1,694,65455,0,791,510000,692,637500,691,0,693,37,
812,1,805,46267,0,892,1530000,792,510000,792,0,804,36,
895,1,894,174420,0,992,1530000,893,1530000,892,0,894,25,
994,1,994,432561,108388,1093,1836000,993,1530000,993,0,994,62,
1094,1,1094,170924,0,1193,1530000,1093,1836000,1093,0,1094,18,
1194,1,1194,83721,0,1294,510000,1193,1530000,1193,0,1194,12,
1301,1,1300,25704,0,1394,1530000,1296,510000,1295,0,1300,20,
1395,1,1395,230234,0,1495,1530000,1394,1530000,1394,0,1395,33,
1496,1,1496,188373,0,1597,510000,1495,1530000,1495,0,1496,27,
1601,1,1601,279072,0,1697,1530000,1599,1530000,1599,0,1601,40,
1698,1,1698,125582,0,1797,1530000,1697,1530000,1697,0,1698,18,
1799,1,1799,376747,52574,1898,1530000,1798,1530000,1797,0,1799,54,
1899,1,1899,439538,115365,1999,612000,1898,1530000,1898,0,1899,63,
2003,1,2002,41677,0,2099,1530000,2000,612000,2000,0,2002,25,
2100,1,2100,76744,0,2199,1530000,2099,1530000,2099,0,2100,11,
2201,1,2201,139536,0,2299,1530000,2200,1530000,2200,0,2201,20,
2301,1,2301,230234,0,2400,1530000,2300,1530000,2300,0,2301,33,
2401,1,2401,0,0,2501,510000,2400,1530000,2400,0,2401,0,
2513,1,2513,12852,0,2601,1836000,2503,510000,2503,0,2509,10,
2604,1,2604,598234,274061,2703,1836000,2601,1836000,2601,0,2603,63,
2714,1,2714,949579,625406,2803,2295000,2711,1836000,2711,0,2713,100,
2806,1,2806,1076194,752021,2903,2295000,2804,2295000,2803,0,2804,77,
2904,1,2904,880522,556349,3004,2295000,2904,2295000,2904,0,2904,63,
3005,1,3005,279531,0,3107,1530000,3004,2295000,3004,0,3005,20,
3110,1,3110,76744,0,3207,663000,3108,1530000,3108,0,3110,11,
3211,1,3211,41220,0,3311,637500,3209,663000,3208,0,3210,22,
3316,1,3316,102605,0,3411,663000,3313,637500,3312,0,3315,58,
3414,1,3414,82440,0,3510,1836000,3412,663000,3412,0,3414,44,
3513,1,3512,208907,0,3610,2295000,3511,1836000,3511,0,3512,22,
3611,1,3611,1076194,752021,3711,535500,3611,2295000,3610,0,3611,77,
3716,1,3716,15144,0,3812,1530000,3713,535500,3712,0,3715,11,
3814,1,3814,348840,24667,3913,1632000,3813,1530000,3812,0,3814,50,
3915,1,3915,513139,188966,4012,1938000,3914,1632000,3914,0,3915,66,
4013,1,4013,843913,519740,4113,969000,4013,1938000,4012,0,4013,81,
4118,1,4117,99942,0,4213,1836000,4114,969000,4113,0,4117,30,
4215,1,4215,769159,444986,4315,1122000,4214,1836000,4214,0,4215,81,
4317,1,4317,84015,0,4418,1530000,4315,1122000,4315,0,4317,20,
4429,1,4428,44059,0,4518,1530000,4425,739500,4424,0,4428,20,
4520,1,4520,279072,0,4620,1530000,4519,1530000,4518,0,4520,40,
4622,1,4622,230234,0,4720,1530000,4620,1530000,4620,0,4621,33,
4721,1,4721,230234,0,4820,1530000,4720,1530000,4720,0,4721,33,
4822,1,4822,0,0,4921,1530000,4821,1530000,4821,0,4822,0,
4922,1,4922,209303,0,5022,612000,4921,1530000,4921,0,4922,30,
5028,1,5027,50012,0,5122,2193000,5025,612000,5023,0,5027,30,
5124,1,5124,1032639,708466,5223,1836000,5123,2193000,5122,0,5124,80,
