App,Package,Start Time,Duration,Filename
"System",,"Oct 9, 2018 @ 02:38:49 AM","1 min 5 sec","Trepn_2018.10.09_023848.db"

Time  [ms],"Battery Status",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",
68,1,68,1290799,794448,90,2295000,67,2193000,67,0,68,100,
91,1,91,1397655,901304,190,2295000,90,2295000,90,0,91,100,
191,1,191,1257889,761538,290,2295000,190,2295000,190,0,191,90,
292,1,291,698827,202476,391,1530000,291,2295000,291,0,291,50,
392,1,392,69768,0,492,1530000,391,1530000,391,0,392,10,
493,1,493,83721,0,595,688500,493,1530000,492,0,493,12,
599,1,599,71309,0,693,1836000,596,688500,596,0,599,36,
695,1,695,113949,0,794,535500,694,1836000,693,0,694,12,
805,1,805,68838,0,896,1530000,796,535500,795,0,804,50,
904,1,904,537213,40862,995,2295000,897,1530000,896,0,900,77,
1016,1,1006,1397655,901304,1095,2295000,999,2295000,998,0,1006,100,
1098,1,1098,1397655,901304,1196,2295000,1095,2295000,1095,0,1098,100,
1198,1,1198,838593,342242,1295,2295000,1197,2295000,1197,0,1197,60,
1296,1,1296,307484,0,1396,510000,1296,2295000,1296,0,1296,22,
1401,1,1401,23133,0,1499,637500,1398,510000,1398,0,1400,18,
1505,1,1505,97298,0,1601,637500,1501,637500,1500,0,1505,55,
1608,1,1608,49533,0,1702,688500,1604,637500,1602,0,1607,28,
1706,1,1706,65366,0,1802,637500,1704,688500,1703,0,1706,33,
1805,1,1805,53071,0,1903,1530000,1803,637500,1803,0,1805,30,
1908,1,1908,383724,0,2004,510000,1905,1530000,1904,0,1906,55,
2010,1,2010,23133,0,2104,1530000,2006,510000,2005,0,2009,18,
2105,1,2105,251164,0,2204,1530000,2104,1530000,2104,0,2105,36,
2205,1,2205,139536,0,2304,1530000,2204,1530000,2204,0,2205,20,
2306,1,2306,153489,0,2405,510000,2305,1530000,2305,0,2306,22,
2420,1,2417,12852,0,2505,1530000,2407,510000,2406,0,2415,10,
2506,1,2506,279072,0,2606,637500,2505,1530000,2505,0,2506,40,
2613,1,2612,53071,0,2710,510000,2609,637500,2608,0,2612,30,
2724,1,2724,313955,0,2810,510000,2720,1530000,2718,0,2723,45,
2822,1,2821,15422,0,2907,1530000,2817,510000,2812,0,2820,12,
2909,1,2909,279072,0,3008,969000,2908,1530000,2908,0,2909,40,
3012,1,3011,0,0,3109,561000,3009,969000,3009,0,3010,0,
3115,1,3115,32360,0,3210,561000,3111,561000,3110,0,3114,22,
3218,1,3218,36773,0,3310,637500,3213,561000,3211,0,3215,25,
3313,1,3313,77838,0,3412,510000,3311,637500,3311,0,3313,44,
3435,1,3435,46267,0,3512,1530000,3417,510000,3416,0,3424,36,
3514,1,3513,397677,0,3612,1428000,3513,1530000,3512,0,3513,57,
3614,1,3614,167949,0,3712,1530000,3613,1428000,3613,0,3614,27,
