App,Package,Start Time,Duration,Filename
"System",,"Oct 9, 2018 @ 12:17:23 AM","1 min 6 sec","Trepn_2018.10.09_001722.db"

Time  [ms],"Battery Status",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",
2,1,2,1132100,568963,87,2295000,1,2295000,1,0,2,81,
89,1,89,1397655,834518,188,1836000,88,2295000,88,0,89,100,
190,1,190,949579,386442,289,1836000,189,1836000,189,0,190,100,
290,1,290,949579,386442,389,1836000,289,1836000,289,0,290,100,
391,1,390,759663,196526,489,2295000,390,1836000,389,0,390,80,
491,1,491,1076194,513057,592,1836000,490,2295000,490,0,491,77,
593,1,593,417814,0,692,1836000,592,1836000,592,0,593,44,
694,1,694,949579,386442,793,2295000,693,1836000,693,0,693,100,
794,1,794,1397655,834518,893,2295000,793,2295000,793,0,794,100,
895,1,895,1118124,554987,994,1836000,894,2295000,894,0,895,80,
996,1,996,949579,386442,1095,2295000,996,1836000,994,0,996,100,
1096,1,1096,978358,415221,1195,2295000,1095,2295000,1095,0,1096,70,
1196,1,1196,978358,415221,1296,2295000,1196,2295000,1195,0,1196,70,
1297,1,1297,1132100,568963,1396,1734000,1296,2295000,1296,0,1297,81,
1398,1,1398,379038,0,1496,2295000,1397,1734000,1397,0,1398,44,
1498,1,1498,768710,205573,1597,2295000,1497,2295000,1497,0,1497,55,
1598,1,1598,167718,0,1697,2295000,1597,2295000,1597,0,1598,12,
1698,1,1698,419296,0,1798,2295000,1698,2295000,1698,0,1698,30,
1799,1,1799,419296,0,1898,2295000,1798,2295000,1798,0,1799,30,
1900,1,1900,838593,275456,1999,2295000,1899,2295000,1898,0,1900,60,
2000,1,2000,1118124,554987,2099,2295000,1999,2295000,1999,0,2000,80,
2101,1,2101,1118124,554987,2199,2295000,2099,2295000,2099,0,2100,80,
2201,1,2201,559062,0,2300,2295000,2200,2295000,2200,0,2200,40,
2301,1,2301,1076194,513057,2400,2295000,2300,2295000,2300,0,2301,77,
2401,1,2401,419296,0,2500,2295000,2400,2295000,2400,0,2401,30,
2502,1,2502,377366,0,2601,2295000,2501,2295000,2501,0,2501,27,
2602,1,2602,307484,0,2701,2295000,2601,2295000,2601,0,2602,22,
2702,1,2702,628944,65807,2802,2295000,2702,2295000,2701,0,2702,45,
2804,1,2804,698827,135690,2902,2295000,2802,2295000,2802,0,2804,50,
2903,1,2903,419296,0,3002,2295000,2902,2295000,2902,0,2903,30,
3004,1,3004,866546,303409,3103,2295000,3003,2295000,3003,0,3004,62,
3119,1,3119,419296,0,3203,2295000,3103,2295000,3103,0,3119,30,
3204,1,3204,866546,303409,3304,2295000,3204,2295000,3204,0,3204,62,
3305,1,3305,573038,9901,3404,2295000,3304,2295000,3304,0,3305,41,
3405,1,3405,307484,0,3506,2295000,3404,2295000,3404,0,3405,22,
3508,1,3508,1160053,596916,3607,2295000,3507,2295000,3506,0,3508,83,
3610,1,3609,1397655,834518,3707,2295000,3608,2295000,3608,0,3609,100,
3709,1,3709,698827,135690,3807,1836000,3708,2295000,3707,0,3709,50,
3810,1,3810,949579,386442,3913,2295000,3808,1836000,3808,0,3810,100,
3914,1,3914,1397655,834518,4016,2295000,3913,2295000,3913,0,3914,100,
4018,1,4017,1397655,834518,4116,1836000,4016,2295000,4016,0,4017,100,
4118,1,4118,854621,291484,4217,2295000,4117,1836000,4117,0,4118,90,
4219,1,4219,1118124,554987,4319,2295000,4218,2295000,4218,0,4219,80,
4320,1,4320,1397655,834518,4420,1836000,4319,2295000,4319,0,4320,100,
4421,1,4421,854621,291484,4520,2295000,4420,1836000,4420,0,4421,90,
4521,1,4521,1257889,694752,4621,2295000,4520,2295000,4520,0,4521,90,
4628,1,4628,1397655,834518,4722,2295000,4624,2295000,4624,0,4625,100,
4724,1,4724,1397655,834518,4822,1938000,4723,2295000,4723,0,4724,100,
