App,Package,Start Time,Duration,Filename
"System",,"Oct 13, 2018 @ 08:02:13 PM","1 min 6 sec","Trepn_2018.10.13_200212.db"

Time  [ms],"Battery Status",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",
36,1,36,1104938,374417,83,2091000,25,2091000,25,0,36,93,
85,1,85,1188106,457585,183,2091000,84,2091000,83,0,85,100,
185,1,185,1069295,338774,284,2295000,184,2091000,184,0,185,90,
285,1,285,922452,191931,384,2295000,284,2295000,284,0,285,66,
386,1,386,698827,0,485,2295000,385,2295000,384,0,386,50,
487,1,487,768710,38189,587,2295000,486,2295000,486,0,487,55,
589,1,589,1160053,429532,688,2295000,588,2295000,588,0,589,83,
691,1,691,1397655,667134,788,2295000,690,2295000,689,0,690,100,
790,1,790,1397655,667134,889,2091000,789,2295000,789,0,790,100,
890,1,890,1188106,457585,998,2295000,890,2091000,889,0,890,100,
999,1,999,1397655,667134,1097,2295000,999,2295000,998,0,999,100,
1099,1,1099,1397655,667134,1198,2295000,1098,2295000,1098,0,1099,100,
1205,1,1205,1397655,667134,1299,2295000,1203,2295000,1203,0,1205,100,
1300,1,1300,1397655,667134,1399,2295000,1299,2295000,1299,0,1300,100,
1401,1,1401,1397655,667134,1500,2295000,1400,2295000,1400,0,1401,100,
1501,1,1501,1397655,667134,1600,2295000,1500,2295000,1500,0,1501,100,
1602,1,1602,1397655,667134,1700,2295000,1600,2295000,1600,0,1601,100,
1702,1,1702,1397655,667134,1802,2295000,1701,2295000,1701,0,1702,100,
1805,1,1805,1397655,667134,1902,2295000,1804,2295000,1803,0,1805,100,
1904,1,1904,768710,38189,2003,2295000,1903,2295000,1903,0,1904,55,
2004,1,2004,1257889,527368,2103,2295000,2004,2295000,2003,0,2004,90,
2105,1,2105,1257889,527368,2204,2295000,2104,2295000,2104,0,2104,90,
2205,1,2205,1397655,667134,2305,2295000,2204,2295000,2204,0,2205,100,
2306,1,2306,1397655,667134,2405,2295000,2305,2295000,2305,0,2306,100,
2406,1,2406,1397655,667134,2505,2295000,2405,2295000,2405,0,2406,100,
2508,1,2508,1397655,667134,2605,2295000,2507,2295000,2506,0,2507,100,
2607,1,2607,1397655,667134,2707,2295000,2606,2295000,2606,0,2607,100,
2708,1,2708,880522,150001,2807,2295000,2707,2295000,2707,0,2708,63,
2808,1,2808,1397655,667134,2909,2295000,2808,2295000,2807,0,2808,100,
2911,1,2911,1397655,667134,3009,2295000,2909,2295000,2909,0,2911,100,
3010,1,3010,1257889,527368,3109,2295000,3009,2295000,3009,0,3010,90,
3110,1,3110,768710,38189,3210,2295000,3110,2295000,3110,0,3110,55,
3211,1,3211,1132100,401579,3310,2295000,3210,2295000,3210,0,3211,81,
3312,1,3312,1257889,527368,3411,2295000,3311,2295000,3311,0,3312,90,
3412,1,3412,1118124,387603,3511,2295000,3411,2295000,3411,0,3412,80,
3512,1,3512,880522,150001,3612,2295000,3512,2295000,3511,0,3512,63,
3614,1,3613,195671,0,3712,2295000,3612,2295000,3612,0,3613,14,
3713,1,3713,698827,0,3812,2295000,3713,2295000,3712,0,3713,50,
3814,1,3814,992335,261814,3913,2295000,3813,2295000,3813,0,3814,71,
3914,1,3914,1048241,317720,4014,2295000,3913,2295000,3913,0,3914,75,
4015,1,4015,1397655,667134,4114,2295000,4014,2295000,4014,0,4015,100,
4116,1,4116,1397655,667134,4215,2295000,4115,2295000,4115,0,4116,100,
4216,1,4216,1257889,527368,4315,2295000,4215,2295000,4215,0,4216,90,
4316,1,4316,698827,0,4416,2295000,4316,2295000,4315,0,4316,50,
4417,1,4417,419296,0,4516,2295000,4416,2295000,4416,0,4417,30,
4517,1,4517,838593,108072,4617,2295000,4517,2295000,4516,0,4517,60,
4618,1,4618,1229936,499415,4722,2295000,4617,2295000,4617,0,4618,88,
4727,1,4727,1397655,667134,4822,2295000,4726,2295000,4726,0,4727,100,
4824,1,4824,1397655,667134,4928,2295000,4823,2295000,4823,0,4824,100,
4944,1,4944,1397655,667134,5028,2295000,4932,2295000,4931,0,4943,100,
5030,1,5030,1397655,667134,5129,2295000,5029,2295000,5029,0,5030,100,
5130,1,5130,1397655,667134,5229,2091000,5129,2295000,5129,0,5130,100,
5231,1,5231,1188106,457585,5330,2295000,5230,2091000,5229,0,5231,100,
5333,1,5333,1397655,667134,5430,2295000,5331,2295000,5331,0,5332,100,
5433,1,5432,1397655,667134,5531,2295000,5432,2295000,5431,0,5432,100,
5532,1,5532,503155,0,5632,2295000,5531,2295000,5531,0,5532,36,
5633,1,5633,698827,0,5732,2295000,5632,2295000,5632,0,5633,50,
5733,1,5733,810639,80118,5832,2295000,5732,2295000,5732,0,5733,58,
5833,1,5833,125788,0,5933,2295000,5833,2295000,5832,0,5833,9,
5934,1,5934,838593,108072,6033,2295000,5933,2295000,5933,0,5934,60,
6034,1,6034,698827,0,6134,1530000,6033,2295000,6033,0,6034,50,
6135,1,6135,0,0,6244,1836000,6134,1530000,6134,0,6135,0,
6246,1,6246,427310,0,6344,1530000,6245,1836000,6245,0,6246,45,
6346,1,6346,0,0,6445,1530000,6345,1530000,6345,0,6346,0,
6447,1,6447,0,0,6545,510000,6446,1530000,6445,0,6447,0,
6549,1,6549,0,0,6646,586500,6547,510000,6546,0,6549,0,
6650,1,6650,28218,0,6746,1530000,6647,586500,6647,0,6649,18,
6748,1,6748,195350,0,6848,510000,6747,1530000,6747,0,6748,28,
6856,1,6855,12852,0,6949,535500,6851,510000,6850,0,6854,10,
6953,1,6953,30288,0,7049,714000,6950,535500,6950,0,6953,22,
7053,1,7053,96167,0,7150,510000,7051,714000,7050,0,7052,46,
7156,1,7155,42411,0,7250,1530000,7152,510000,7152,0,7155,33,
7252,1,7252,0,0,7351,1530000,7251,1530000,7251,0,7252,0,
7353,1,7352,230234,0,7452,1530000,7352,1530000,7351,0,7352,33,
7454,1,7454,188373,0,7553,510000,7453,1530000,7453,0,7454,27,
7562,1,7562,11566,0,7653,1530000,7558,510000,7557,0,7561,9,
7655,1,7655,251164,0,7753,1530000,7654,1530000,7653,0,7654,36,
7755,1,7755,258141,0,7854,1530000,7754,1530000,7754,0,7755,37,
7856,1,7856,306979,0,7954,1530000,7854,1530000,7854,0,7855,44,
7957,1,7956,209303,0,8055,510000,7955,1530000,7954,0,7956,30,
8060,1,8060,38556,0,8155,1530000,8057,510000,8056,0,8060,30,
8156,1,8156,0,0,8256,612000,8155,1530000,8155,0,8156,0,
8259,1,8259,0,0,8356,1530000,8257,612000,8257,0,8259,0,
8357,1,8357,69768,0,8456,1530000,8356,1530000,8356,0,8357,10,
8458,1,8458,0,0,8557,510000,8457,1530000,8457,0,8458,0,
8562,1,8561,0,0,8657,1530000,8559,510000,8558,0,8561,0,
8659,1,8659,69768,0,8758,637500,8658,1530000,8658,0,8659,10,
8762,1,8761,21228,0,8860,510000,8759,637500,8759,0,8761,12,
8866,1,8865,23133,0,8961,1530000,8861,510000,8861,0,8865,18,
8965,1,8965,139536,0,9060,1530000,8962,1530000,8962,0,8965,20,
9062,1,9062,0,0,9161,510000,9061,1530000,9061,0,9062,0,
9166,1,9166,11566,0,9262,561000,9163,510000,9162,0,9166,9,
9267,1,9267,29418,0,9362,1530000,9265,561000,9264,0,9267,20,
9365,1,9365,69768,0,9463,1530000,9363,1530000,9363,0,9365,10,
9464,1,9464,69768,0,9564,510000,9463,1530000,9463,0,9464,10,
9574,1,9574,0,0,9664,510000,9569,510000,9565,0,9573,0,
9672,1,9672,14137,0,9765,1530000,9666,510000,9665,0,9669,11,
9767,1,9766,0,0,9867,637500,9765,1530000,9765,0,9766,0,
9871,1,9871,28305,0,9966,1530000,9868,637500,9868,0,9871,16,
9968,1,9968,230234,0,10066,1530000,9967,1530000,9967,0,9968,33,
10068,1,10068,69768,0,10168,586500,10067,1530000,10067,0,10068,10,
10172,1,10172,0,0,10268,1530000,10169,586500,10168,0,10171,0,
10270,1,10270,125582,0,10369,510000,10269,1530000,10269,0,10270,18,
10377,1,10376,12852,0,10470,637500,10372,510000,10371,0,10375,10,
10475,1,10475,17690,0,10571,714000,10472,637500,10471,0,10474,10,
10575,1,10575,62717,0,10671,510000,10572,714000,10571,0,10574,30,
10678,1,10677,42411,0,10773,1530000,10673,510000,10672,0,10677,33,
10775,1,10774,279072,0,10874,1530000,10773,1530000,10773,0,10774,40,
10876,1,10876,0,0,10974,510000,10875,1530000,10874,0,10876,0,
10978,1,10978,0,0,11075,510000,10976,510000,10975,0,10978,0,
11079,1,11079,0,0,11175,510000,11076,510000,11076,0,11079,0,
11179,1,11179,0,0,11275,1530000,11176,510000,11176,0,11178,0,
11276,1,11276,209303,0,11376,510000,11275,1530000,11275,0,11276,30,
11380,1,11380,23133,0,11477,510000,11378,510000,11377,0,11380,18,
11484,1,11482,14137,0,11576,1530000,11479,510000,11478,0,11482,11,
11578,1,11578,125582,0,11678,510000,11577,1530000,11577,0,11578,18,
11682,1,11682,38556,0,11779,1530000,11679,510000,11679,0,11682,30,
11780,1,11780,153489,0,11880,510000,11779,1530000,11779,0,11780,22,
11885,1,11885,48837,0,11981,510000,11882,510000,11881,0,11884,38,
11988,1,11988,14137,0,12081,1530000,11983,510000,11982,0,11988,11,
12083,1,12083,83721,0,12181,2193000,12082,1530000,12081,0,12083,12,
12182,1,12182,141987,0,12281,2295000,12181,2193000,12181,0,12182,11,
12283,1,12283,153742,0,12382,510000,12282,2295000,12282,0,12283,11,
12390,1,12389,31843,0,12483,1530000,12384,637500,12384,0,12388,18,
12484,1,12484,69768,0,12583,1530000,12483,1530000,12483,0,12484,10,
12584,1,12584,69768,0,12684,637500,12584,1530000,12583,0,12584,10,
12687,1,12687,17690,0,12784,1530000,12685,637500,12685,0,12687,10,
12786,1,12786,83721,0,12885,510000,12785,1530000,12785,0,12786,12,
12890,1,12889,0,0,12985,1530000,12886,510000,12886,0,12889,0,
12986,1,12986,383724,0,13087,637500,12985,1530000,12985,0,12986,55,
13090,1,13090,0,0,13187,1530000,13088,637500,13087,0,13090,0,
13189,1,13189,83721,0,13288,510000,13188,1530000,13188,0,13189,12,
13291,1,13291,23133,0,13389,535500,13289,510000,13288,0,13291,18,
13393,1,13393,15144,0,13490,510000,13390,535500,13390,0,13393,11,
13494,1,13494,42411,0,13590,1530000,13491,510000,13491,0,13493,33,
13591,1,13591,0,0,13691,510000,13591,1530000,13590,0,13591,0,
13698,1,13697,15677,0,13791,1734000,13694,586500,13693,0,13697,10,
13793,1,13793,94759,0,13892,1530000,13792,1734000,13792,0,13793,11,
13894,1,13894,125582,0,13992,2193000,13893,1530000,13892,0,13894,18,
13993,1,13993,903559,173038,14093,1530000,13993,2193000,13992,0,13993,70,
14096,1,14096,69768,0,14194,510000,14094,1530000,14094,0,14095,10,
14197,1,14197,12852,0,14294,1530000,14195,510000,14194,0,14197,10,
14295,1,14295,153489,0,14394,1530000,14294,1530000,14294,0,14295,22,
14395,1,14395,0,0,14495,510000,14395,1530000,14394,0,14395,0,
14500,1,14499,12852,0,14596,1530000,14497,510000,14496,0,14499,10,
14598,1,14598,258141,0,14696,510000,14596,1530000,14596,0,14598,37,
14702,1,14702,0,0,14796,1530000,14698,510000,14697,0,14701,0,
14798,1,14798,153489,0,14897,586500,14797,1530000,14796,0,14797,22,
14901,1,14901,15677,0,14998,1530000,14899,586500,14898,0,14901,10,
15001,1,15001,69768,0,15099,637500,14999,1530000,14999,0,15000,10,
15103,1,15103,0,0,15199,1530000,15100,637500,15100,0,15102,0,
15201,1,15200,69768,0,15300,561000,15200,1530000,15199,0,15200,10,
15305,1,15305,14709,0,15401,510000,15302,561000,15301,0,15304,10,
15406,1,15406,25704,0,15502,510000,15403,510000,15402,0,15405,20,
15509,1,15509,12852,0,15602,1530000,15505,510000,15503,0,15508,10,
15604,1,15604,188373,0,15703,1530000,15603,1530000,15603,0,15604,27,
15704,1,15704,62791,0,15803,1530000,15703,1530000,15703,0,15704,9,
15805,1,15805,69768,0,15853,2193000,15804,1530000,15804,0,15804,10,
15854,1,15854,0,0,15954,2295000,15854,2193000,15853,0,15854,0,
15955,1,15955,0,0,16054,2295000,15954,2295000,15954,0,15954,0,
16055,1,16055,0,0,16154,2295000,16055,2295000,16054,0,16055,0,
16155,1,16155,0,0,16255,510000,16154,2295000,16154,0,16155,0,
16259,1,16259,11566,0,16355,510000,16256,510000,16256,0,16259,9,
16359,1,16359,0,0,16457,510000,16357,510000,16356,0,16359,0,
16464,1,16463,0,0,16556,1530000,16460,510000,16459,0,16462,0,
16557,1,16557,76744,0,16657,510000,16557,1530000,16556,0,16557,11,
16661,1,16661,23133,0,16758,1530000,16658,510000,16658,0,16661,18,
16760,1,16760,174420,0,16859,510000,16758,1530000,16758,0,16760,25,
16865,1,16865,11566,0,16958,1530000,16861,510000,16860,0,16864,9,
16960,1,16960,0,0,17059,510000,16959,1530000,16959,0,16960,0,
17063,1,17063,23133,0,17159,1530000,17061,510000,17060,0,17063,18,
17161,1,17161,125582,0,17260,1530000,17160,1530000,17160,0,17161,18,
17263,1,17263,0,0,17361,510000,17261,1530000,17261,0,17263,0,
17367,1,17366,20563,0,17462,510000,17363,510000,17362,0,17366,16,
17468,1,17468,14137,0,17563,510000,17465,510000,17464,0,17467,11,
17567,1,17567,12852,0,17663,1530000,17564,510000,17564,0,17567,10,
17666,1,17666,69768,0,17764,637500,17665,1530000,17664,0,17665,10,
17771,1,17771,0,0,17864,1530000,17766,637500,17765,0,17771,0,
17866,1,17866,0,0,17966,510000,17865,1530000,17864,0,17865,0,
17971,1,17971,0,0,18067,510000,17968,510000,17967,0,17970,0,
18071,1,18070,25704,0,18168,535500,18068,510000,18067,0,18070,20,
18174,1,18173,0,0,18268,1530000,18170,535500,18169,0,18172,0,
18269,1,18269,62791,0,18368,1530000,18268,1530000,18268,0,18269,9,
18370,1,18370,69768,0,18469,637500,18369,1530000,18369,0,18370,10,
18473,1,18473,0,0,18570,1530000,18471,637500,18470,0,18473,0,
18571,1,18571,69768,0,18671,510000,18570,1530000,18570,0,18571,10,
18685,1,18675,12852,0,18771,1836000,18672,510000,18672,0,18675,10,
18773,1,18773,474789,0,18872,637500,18772,1836000,18772,0,18773,50,
18877,1,18877,17690,0,18972,1530000,18874,637500,18874,0,18877,10,
18974,1,18974,209303,0,19074,510000,18973,1530000,18973,0,18974,30,
19081,1,19081,34700,0,19176,510000,19078,510000,19077,0,19080,27,
19185,1,19184,25704,0,19275,663000,19179,510000,19178,0,19183,20,
19279,1,19278,67450,0,19376,510000,19276,663000,19276,0,19278,36,
19397,1,19396,11566,0,19475,1530000,19377,510000,19377,0,19396,9,
19477,1,19477,83721,0,19577,510000,19476,1530000,19476,0,19477,12,
19581,1,19581,0,0,19677,510000,19578,510000,19578,0,19580,0,
19682,1,19682,0,0,19778,612000,19679,510000,19678,0,19682,0,
19782,1,19782,66683,0,19880,510000,19780,612000,19779,0,19782,40,
19887,1,19886,14137,0,19979,1530000,19882,510000,19881,0,19886,11,
19981,1,19981,76744,0,20080,1530000,19980,1530000,19980,0,19981,11,
20082,1,20082,125582,0,20181,510000,20081,1530000,20080,0,20081,18,
20187,1,20187,32130,0,20282,510000,20183,510000,20182,0,20186,25,
20286,1,20286,153489,0,20383,561000,20284,1530000,20283,0,20286,22,
20387,1,20387,12852,0,20483,1530000,20385,510000,20384,0,20387,10,
20484,1,20484,188373,0,20584,637500,20483,1530000,20483,0,20484,27,
20587,1,20587,19459,0,20686,510000,20585,637500,20584,0,20587,11,
20691,1,20691,14137,0,20785,1530000,20688,510000,20687,0,20691,11,
20786,1,20786,209303,0,20885,1530000,20785,1530000,20785,0,20786,30,
20886,1,20886,0,0,20986,510000,20885,1530000,20885,0,20886,0,
20990,1,20990,25704,0,21087,510000,20987,510000,20987,0,20990,20,
21092,1,21091,0,0,21187,2193000,21088,510000,21088,0,21091,0,
21188,1,21188,258159,0,21287,2295000,21187,2193000,21187,0,21188,20,
21288,1,21288,0,0,21387,2295000,21287,2295000,21287,0,21288,0,
21388,1,21388,153742,0,21488,1530000,21388,2295000,21387,0,21388,11,
21490,1,21489,125582,0,21588,1530000,21488,1530000,21488,0,21489,18,
21590,1,21590,76744,0,21690,586500,21589,1530000,21589,0,21590,11,
21695,1,21695,17244,0,21791,637500,21691,586500,21690,0,21694,11,
21798,1,21798,35381,0,21890,1530000,21794,637500,21791,0,21798,20,
21892,1,21891,69768,0,21991,663000,21891,1530000,21890,0,21891,10,
21995,1,21994,37472,0,22092,637500,21992,663000,21992,0,21994,20,
22105,1,22105,44226,0,22192,510000,22102,637500,22094,0,22104,25,
22196,1,22196,0,0,22293,1530000,22194,510000,22193,0,22196,0,
22295,1,22295,139536,0,22394,535500,22293,1530000,22293,0,22294,20,
22398,1,22398,15144,0,22494,510000,22395,535500,22395,0,22398,11,
22498,1,22498,14137,0,22596,510000,22496,510000,22495,0,22498,11,
22600,1,22600,0,0,22697,586500,22598,510000,22597,0,22600,0,
22701,1,22701,0,0,22798,586500,22698,586500,22698,0,22700,0,
22804,1,22804,17244,0,22899,510000,22799,586500,22799,0,22804,11,
22904,1,22904,0,0,22999,561000,22900,510000,22899,0,22903,0,
23004,1,23004,44128,0,23100,510000,23001,561000,23000,0,23003,30,
23104,1,23104,42411,0,23200,1530000,23101,510000,23101,0,23104,33,
23202,1,23202,251164,0,23301,510000,23201,1530000,23200,0,23202,36,
23307,1,23307,12852,0,23402,510000,23304,510000,23303,0,23307,10,
23406,1,23406,25704,0,23503,510000,23403,510000,23403,0,23406,20,
23507,1,23507,14137,0,23604,510000,23504,510000,23504,0,23507,11,
23609,1,23609,25704,0,23704,637500,23606,510000,23605,0,23609,20,
23710,1,23710,21228,0,23804,1530000,23706,637500,23705,0,23709,12,
23805,1,23805,153489,0,23904,1530000,23805,1530000,23804,0,23805,22,
23906,1,23906,0,0,24006,510000,23905,1530000,23905,0,23906,0,
24013,1,24012,0,0,24106,510000,24009,510000,24008,0,24012,0,
24111,1,24111,12852,0,24207,510000,24108,510000,24107,0,24111,10,
24211,1,24211,14137,0,24308,535500,24208,510000,24208,0,24210,11,
24312,1,24311,30288,0,24408,510000,24309,535500,24308,0,24311,22,
24412,1,24412,0,0,24509,510000,24410,510000,24409,0,24412,0,
24515,1,24515,25704,0,24609,637500,24511,510000,24511,0,24514,20,
24613,1,24613,31843,0,24710,1530000,24611,637500,24610,0,24613,18,
24712,1,24712,230234,0,24810,1836000,24711,1530000,24711,0,24712,33,
24811,1,24811,256386,0,24911,1428000,24811,1836000,24810,0,24811,27,
24912,1,24912,0,0,25012,637500,24911,1428000,24911,0,24912,0,
25016,1,25016,28305,0,25112,1530000,25014,637500,25013,0,25016,16,
25114,1,25114,69768,0,25213,1530000,25113,1530000,25112,0,25114,10,
25215,1,25215,0,0,25314,510000,25214,1530000,25214,0,25215,0,
25318,1,25318,23133,0,25414,510000,25315,510000,25315,0,25318,18,
25419,1,25419,15422,0,25515,510000,25416,510000,25415,0,25418,12,
25521,1,25520,0,0,25616,510000,25517,510000,25516,0,25519,0,
25621,1,25621,15422,0,25720,1530000,25617,510000,25617,0,25620,12,
25723,1,25722,0,0,25817,612000,25721,1530000,25721,0,25722,0,
25822,1,25822,0,0,25917,1530000,25819,612000,25818,0,25821,0,
25918,1,25918,0,0,26018,510000,25918,1530000,25917,0,25918,0,
26024,1,26023,0,0,26120,510000,26020,510000,26019,0,26022,0,
26125,1,26125,0,0,26220,510000,26122,510000,26121,0,26124,0,
26226,1,26226,25704,0,26321,510000,26222,510000,26221,0,26225,20,
26327,1,26327,32130,0,26421,510000,26324,510000,26323,0,26326,25,
26429,1,26429,15422,0,26522,535500,26423,510000,26422,0,26427,12,
26527,1,26527,0,0,26623,637500,26524,535500,26523,0,26526,0,
26627,1,26627,47764,0,26735,1530000,26624,637500,26624,0,26627,27,
26742,1,26742,188373,0,26825,510000,26739,1530000,26737,0,26742,27,
26833,1,26832,0,0,26926,1530000,26828,510000,26826,0,26832,0,
26928,1,26928,69768,0,27026,1530000,26926,1530000,26926,0,26927,10,
27027,1,27027,69768,0,27127,510000,27026,1530000,27026,0,27027,10,
27132,1,27132,0,0,27227,1530000,27129,510000,27128,0,27132,0,
27229,1,27229,69768,0,27328,510000,27228,1530000,27228,0,27229,10,
27336,1,27335,11566,0,27428,1530000,27331,510000,27330,0,27334,9,
27430,1,27430,153489,0,27530,535500,27429,1530000,27429,0,27430,22,
27536,1,27535,37172,0,27630,1530000,27532,535500,27531,0,27535,27,
27631,1,27631,69768,0,27731,510000,27630,1530000,27630,0,27631,10,
27735,1,27735,25704,0,27831,510000,27733,510000,27732,0,27735,20,
27843,1,27843,12852,0,27932,1530000,27833,510000,27832,0,27843,10,
27933,1,27933,0,0,28032,1530000,27932,1530000,27932,0,27933,0,
28034,1,28034,69768,0,28134,586500,28033,1530000,28033,0,28034,10,
28139,1,28139,15677,0,28237,510000,28137,586500,28136,0,28139,10,
28243,1,28243,12852,0,28336,1530000,28239,510000,28238,0,28242,10,
28338,1,28338,69768,0,28438,586500,28337,1530000,28337,0,28338,10,
28442,1,28441,0,0,28538,1530000,28439,586500,28439,0,28441,0,
28540,1,28540,0,0,28639,510000,28539,1530000,28539,0,28540,0,
28645,1,28644,0,0,28740,1530000,28641,510000,28640,0,28644,0,
28741,1,28741,69768,0,28840,1530000,28740,1530000,28740,0,28741,10,
28841,1,28841,0,0,28941,1530000,28840,1530000,28840,0,28841,0,
28943,1,28943,209303,0,29042,510000,28942,1530000,28941,0,28943,30,
29046,1,29046,125582,0,29143,510000,29044,1530000,29043,0,29046,18,
29147,1,29147,12852,0,29242,1530000,29144,510000,29144,0,29147,10,
29244,1,29244,69768,0,29344,510000,29243,1530000,29243,0,29244,10,
29349,1,29348,12852,0,29445,586500,29345,510000,29345,0,29348,10,
29449,1,29448,0,0,29546,510000,29446,586500,29445,0,29448,0,
29551,1,29551,0,0,29645,1530000,29548,510000,29547,0,29550,0,
29646,1,29646,69768,0,29746,637500,29645,1530000,29645,0,29646,10,
29750,1,29749,21228,0,29846,1530000,29747,637500,29747,0,29749,12,
