App,Package,Start Time,Duration,Filename
"System",,"Oct 10, 2018 @ 09:45:09 PM","1 min 5 sec","Trepn_2018.10.10_214508.db"

Time  [ms],"Battery Status",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",
16,1,16,1397655,445269,89,2295000,15,2295000,15,0,16,100,
90,1,90,1215959,263573,190,2295000,89,2295000,89,0,90,87,
191,1,191,1076194,123808,291,2295000,191,2295000,190,0,191,77,
292,1,292,1229936,277550,392,510000,291,2295000,291,0,292,88,
396,1,396,32130,0,495,1836000,393,510000,392,0,396,25,
497,1,497,731175,0,595,2295000,496,1836000,496,0,497,77,
597,1,597,1397655,445269,696,2091000,596,2295000,596,0,597,100,
699,1,699,1188106,235720,797,2295000,697,2091000,697,0,698,100,
800,1,800,1397655,445269,898,2295000,799,2295000,798,0,799,100,
900,1,900,1397655,445269,999,2295000,898,2295000,898,0,900,100,
1000,1,1000,1397655,445269,1100,2091000,999,2295000,999,0,1000,100,
1101,1,1101,1188106,235720,1200,2295000,1100,2091000,1100,0,1101,100,
1201,1,1201,1397655,445269,1300,2295000,1200,2295000,1200,0,1201,100,
1301,1,1301,1397655,445269,1401,2295000,1301,2295000,1300,0,1301,100,
1402,1,1402,1160053,207667,1501,2295000,1401,2295000,1401,0,1402,83,
1502,1,1502,1076194,123808,1601,2295000,1501,2295000,1501,0,1502,77,
1603,1,1603,1257889,305503,1702,2295000,1602,2295000,1602,0,1602,90,
1703,1,1703,1229936,277550,1802,2295000,1702,2295000,1702,0,1703,88,
1804,1,1804,754733,0,1903,2295000,1803,2295000,1803,0,1804,54,
1904,1,1904,1397655,445269,2003,2295000,1903,2295000,1903,0,1904,100,
2005,1,2004,1397655,445269,2104,2295000,2004,2295000,2004,0,2004,100,
2105,1,2105,1397655,445269,2204,2295000,2104,2295000,2104,0,2105,100,
2205,1,2205,1397655,445269,2304,2295000,2205,2295000,2204,0,2205,100,
2306,1,2306,880522,0,2405,2091000,2305,2295000,2305,0,2305,63,
2407,1,2407,1188106,235720,2505,2295000,2406,2091000,2405,0,2407,100,
2506,1,2506,1397655,445269,2606,2295000,2505,2295000,2505,0,2506,100,
2608,1,2607,1397655,445269,2706,2295000,2607,2295000,2606,0,2607,100,
2707,1,2707,1397655,445269,2807,2295000,2706,2295000,2706,0,2707,100,
2812,1,2812,1397655,445269,2907,2295000,2807,2295000,2807,0,2811,100,
2909,1,2909,1257889,305503,3009,2295000,2908,2295000,2908,0,2909,90,
3010,1,3010,1257889,305503,3110,2295000,3009,2295000,3009,0,3010,90,
3111,1,3111,1397655,445269,3210,2295000,3110,2295000,3110,0,3111,100,
3211,1,3211,1118124,165738,3310,2295000,3210,2295000,3210,0,3211,80,
3312,1,3312,1132100,179714,3411,2295000,3311,2295000,3311,0,3311,81,
3412,1,3412,1397655,445269,3511,2295000,3411,2295000,3411,0,3412,100,
3515,1,3515,1397655,445269,3612,2295000,3514,2295000,3514,0,3515,100,
3614,1,3614,1257889,305503,3712,2295000,3613,2295000,3612,0,3614,90,
3714,1,3714,1397655,445269,3813,2193000,3713,2295000,3713,0,3714,100,
3815,1,3814,1290799,338413,3913,2295000,3813,2193000,3813,0,3814,100,
3914,1,3914,1397655,445269,4013,2295000,3914,2295000,3913,0,3914,100,
4015,1,4015,1257889,305503,4114,2295000,4014,2295000,4014,0,4015,90,
4115,1,4115,1257889,305503,4214,2295000,4114,2295000,4114,0,4115,90,
4215,1,4215,922452,0,4316,2091000,4215,2295000,4214,0,4215,66,
4317,1,4317,534647,0,4417,1836000,4316,2091000,4316,0,4317,45,
4419,1,4419,569747,0,4519,2193000,4418,1836000,4417,0,4418,60,
4520,1,4520,1290799,338413,4619,2295000,4519,2193000,4519,0,4520,100,
4621,1,4620,1257889,305503,4720,1530000,4620,2295000,4620,0,4620,90,
4721,1,4721,111628,0,4820,1530000,4720,1530000,4720,0,4721,16,
4822,1,4821,76744,0,4921,510000,4820,1530000,4820,0,4821,11,
4928,1,4927,51408,0,5021,1530000,4923,510000,4922,0,4927,40,
5027,1,5027,537213,0,5122,2091000,5022,1530000,5022,0,5027,77,
5124,1,5124,962366,9980,5223,1428000,5123,2091000,5122,0,5124,81,
5225,1,5225,311018,0,5323,1428000,5223,1428000,5223,0,5224,50,
5325,1,5325,136848,0,5423,1428000,5324,1428000,5324,0,5325,22,
5432,1,5432,62203,0,5524,1428000,5430,1428000,5429,0,5431,10,
5525,1,5525,0,0,5624,1428000,5524,1428000,5524,0,5525,0,
5626,1,5626,186611,0,5724,1428000,5624,1428000,5624,0,5625,30,
5726,1,5726,99525,0,5825,1530000,5725,1428000,5725,0,5726,16,
5827,1,5827,209303,0,5925,1428000,5826,1530000,5825,0,5826,30,
5927,1,5927,186611,0,6026,1428000,5926,1428000,5926,0,5927,30,
6027,1,6027,0,0,6126,1428000,6026,1428000,6026,0,6027,0,
6127,1,6127,0,0,6226,1428000,6126,1428000,6126,0,6127,0,
6228,1,6228,62203,0,6326,1428000,6227,1428000,6226,0,6228,10,
6328,1,6328,0,0,6427,1428000,6327,1428000,6327,0,6328,0,
6431,1,6431,111966,0,6527,1428000,6430,1428000,6427,0,6431,18,
6529,1,6529,0,0,6627,2193000,6528,1428000,6527,0,6529,0,
6628,1,6628,141987,0,6728,1632000,6628,2193000,6627,0,6628,11,
6729,1,6729,124397,0,6828,1428000,6728,1632000,6728,0,6729,16,
6830,1,6830,111966,0,6928,1428000,6829,1428000,6828,0,6830,18,
6930,1,6930,167949,0,7029,1428000,6929,1428000,6929,0,6930,27,
7031,1,7031,111966,0,7130,1428000,7030,1428000,7029,0,7031,18,
7131,1,7131,111966,0,7231,510000,7130,1428000,7130,0,7131,18,
7237,1,7237,25704,0,7332,510000,7232,510000,7232,0,7236,20,
7354,1,7353,32130,0,7434,1530000,7334,510000,7333,0,7347,25,
7442,1,7442,537213,0,7535,510000,7435,1530000,7435,0,7440,77,
7540,1,7540,32130,0,7634,1530000,7537,510000,7537,0,7540,25,
7635,1,7635,279072,0,7735,637500,7635,1530000,7634,0,7635,40,
7739,1,7739,17690,0,7836,1530000,7736,637500,7736,0,7738,10,
7839,1,7839,209303,0,7937,561000,7837,1530000,7837,0,7838,30,
7945,1,7942,14709,0,8037,1530000,7939,561000,7938,0,7941,10,
8038,1,8038,139536,0,8138,612000,8037,1530000,8037,0,8038,20,
8142,1,8141,18337,0,8238,637500,8139,612000,8139,0,8141,11,
8242,1,8242,53071,0,8339,510000,8240,637500,8239,0,8242,30,
8351,1,8350,46267,0,8440,1530000,8341,510000,8340,0,8348,36,
8441,1,8441,153489,0,8541,561000,8440,1530000,8440,0,8441,22,
8548,1,8548,32360,0,8642,510000,8542,561000,8542,0,8547,22,
8648,1,8648,153489,0,8743,1530000,8646,1530000,8645,0,8647,22,
8745,1,8745,69768,0,8844,1530000,8743,1530000,8743,0,8745,10,
8846,1,8846,76744,0,8946,510000,8845,1530000,8844,0,8846,11,
8952,1,8952,14137,0,9048,637500,8948,510000,8947,0,8951,11,
9057,1,9057,53071,0,9147,510000,9051,637500,9048,0,9055,30,
