App,Package,Start Time,Duration,Filename
"System",,"Oct 9, 2018 @ 11:02:24 PM","1 min 5 sec","Trepn_2018.10.09_230223.db"

Time  [ms],"Battery Status",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",
56,1,56,1215959,321034,97,2295000,52,2295000,51,0,53,87,
99,1,99,1397655,502730,197,2295000,98,2295000,97,0,99,100,
199,1,199,1257889,362964,298,2295000,198,2295000,198,0,199,90,
299,1,299,1118124,223199,398,2295000,298,2295000,298,0,299,80,
399,1,399,1132100,237175,498,1632000,399,2295000,398,0,399,81,
500,1,500,171046,0,599,1938000,499,1632000,499,0,500,22,
600,1,600,562609,0,699,2295000,599,1938000,599,0,600,54,
701,1,701,1118124,223199,800,1734000,700,2295000,700,0,701,80,
802,1,802,258435,0,900,1530000,801,1734000,800,0,802,30,
902,1,902,69768,0,1001,1530000,901,1530000,900,0,902,10,
1003,1,1003,209303,0,1103,637500,1002,1530000,1002,0,1003,30,
1109,1,1109,19459,0,1205,1530000,1105,637500,1104,0,1108,11,
1211,1,1210,627911,0,1305,2295000,1207,1530000,1206,0,1210,90,
1312,1,1312,1397655,502730,1405,2295000,1306,2295000,1305,0,1311,100,
1407,1,1407,1397655,502730,1505,2295000,1405,2295000,1405,0,1407,100,
1506,1,1506,461226,0,1606,1938000,1506,2295000,1505,0,1506,33,
1607,1,1607,1041868,146943,1706,2295000,1606,1938000,1606,0,1607,100,
1707,1,1707,1397655,502730,1806,2295000,1706,2295000,1706,0,1707,100,
1808,1,1808,1397655,502730,1907,2295000,1807,2295000,1807,0,1807,100,
1908,1,1908,1397655,502730,2008,2295000,1907,2295000,1907,0,1908,100,
2010,1,2010,1397655,502730,2110,2295000,2009,2295000,2009,0,2010,100,
2119,1,2119,1397655,502730,2209,2295000,2110,2295000,2110,0,2111,100,
2211,1,2211,768710,0,2310,2295000,2210,2295000,2209,0,2211,55,
2311,1,2311,698827,0,2410,2295000,2310,2295000,2310,0,2311,50,
2411,1,2411,1132100,237175,2510,2295000,2410,2295000,2410,0,2411,81,
2512,1,2512,1257889,362964,2611,2295000,2511,2295000,2511,0,2512,90,
2612,1,2612,754733,0,2711,1530000,2611,2295000,2611,0,2612,54,
2713,1,2713,439538,0,2812,1734000,2712,1530000,2711,0,2713,63,
2813,1,2813,603015,0,2912,2295000,2812,1734000,2812,0,2813,70,
2913,1,2913,698827,0,3012,2295000,2913,2295000,2912,0,2913,50,
3014,1,3014,1257889,362964,3113,1938000,3013,2295000,3013,0,3014,90,
3115,1,3115,687633,0,3214,2295000,3114,1938000,3114,0,3115,66,
3215,1,3215,1397655,502730,3314,2295000,3214,2295000,3214,0,3215,100,
3316,1,3316,1397655,502730,3420,2295000,3315,2295000,3314,0,3316,100,
3422,1,3422,1397655,502730,3520,2295000,3420,2295000,3420,0,3421,100,
3522,1,3522,1397655,502730,3621,2091000,3521,2295000,3521,0,3521,100,
3623,1,3622,1069295,174370,3721,2295000,3621,2091000,3621,0,3622,90,
3723,1,3722,1397655,502730,3822,2295000,3722,2295000,3722,0,3722,100,
3824,1,3824,1397655,502730,3922,2295000,3822,2295000,3822,0,3823,100,
3923,1,3923,1257889,362964,4023,2295000,3922,2295000,3922,0,3923,90,
4025,1,4025,1257889,362964,4124,2295000,4024,2295000,4024,0,4024,90,
4126,1,4126,377366,0,4224,2295000,4124,2295000,4124,0,4125,27,
4225,1,4225,559062,0,4325,2295000,4225,2295000,4224,0,4225,40,
4328,1,4328,978358,83433,4425,2295000,4325,2295000,4325,0,4328,70,
4427,1,4427,1076194,181269,4525,2295000,4425,2295000,4425,0,4427,77,
4527,1,4527,1132100,237175,4629,2295000,4526,2295000,4526,0,4526,81,
4631,1,4631,880522,0,4729,2295000,4630,2295000,4630,0,4631,63,
4736,1,4736,1257889,362964,4833,2295000,4732,2295000,4731,0,4734,90,
4835,1,4835,1397655,502730,4934,2295000,4834,2295000,4834,0,4835,100,
4935,1,4935,1397655,502730,5034,2295000,4934,2295000,4934,0,4935,100,
5035,1,5035,768710,0,5134,2295000,5034,2295000,5034,0,5035,55,
5136,1,5135,517132,0,5234,2295000,5135,2295000,5135,0,5135,37,
5236,1,5236,880522,0,5335,1530000,5235,2295000,5235,0,5236,63,
5337,1,5336,0,0,5435,1836000,5335,1530000,5335,0,5336,0,
5436,1,5436,85462,0,5535,1428000,5436,1836000,5435,0,5436,9,
5537,1,5537,0,0,5636,1428000,5536,1428000,5536,0,5537,0,
5638,1,5637,62203,0,5736,1530000,5636,1428000,5636,0,5637,10,
5738,1,5738,69768,0,5836,1428000,5737,1530000,5736,0,5738,10,
5838,1,5838,74644,0,5937,1530000,5837,1428000,5837,0,5838,12,
5938,1,5938,279072,0,6037,1530000,5937,1530000,5937,0,5938,40,
6039,1,6039,418607,0,6137,1938000,6038,1530000,6037,0,6038,60,
6139,1,6139,416747,0,6238,1428000,6138,1938000,6138,0,6139,40,
6240,1,6240,0,0,6338,1428000,6238,1428000,6238,0,6239,0,
6340,1,6340,0,0,6439,1428000,6339,1428000,6339,0,6340,0,
6441,1,6441,55983,0,6540,1530000,6440,1428000,6439,0,6440,9,
6541,1,6541,69768,0,6640,1530000,6540,1530000,6540,0,6541,10,
6642,1,6642,125582,0,6740,1428000,6641,1530000,6640,0,6642,18,
6742,1,6742,0,0,6841,1428000,6741,1428000,6741,0,6742,0,
6843,1,6843,155509,0,6942,1428000,6842,1428000,6841,0,6843,25,
6944,1,6944,62203,0,7042,1428000,6943,1428000,6942,0,6944,10,
7044,1,7044,0,0,7142,1428000,7043,1428000,7043,0,7044,0,
7145,1,7145,0,0,7243,1428000,7143,1428000,7143,0,7144,0,
7245,1,7245,68424,0,7343,1734000,7244,1428000,7243,0,7245,11,
7345,1,7345,155061,0,7443,2295000,7344,1734000,7344,0,7345,18,
7445,1,7445,0,0,7544,2295000,7444,2295000,7444,0,7445,0,
7545,1,7545,0,0,7644,2295000,7544,2295000,7544,0,7545,0,
7645,1,7645,139765,0,7745,510000,7644,2295000,7644,0,7645,10,
7750,1,7750,0,0,7845,1530000,7747,510000,7746,0,7750,0,
7846,1,7846,69768,0,7945,1530000,7845,1530000,7845,0,7846,10,
7947,1,7947,0,0,8047,510000,7946,1530000,7946,0,7947,0,
8054,1,8053,34700,0,8147,510000,8048,510000,8048,0,8053,27,
8153,1,8153,34700,0,8247,1530000,8149,510000,8148,0,8152,27,
8249,1,8249,0,0,8348,1530000,8248,1530000,8248,0,8249,0,
8350,1,8350,0,0,8448,1530000,8349,1530000,8348,0,8349,0,
8450,1,8450,174420,0,8549,1326000,8449,1530000,8449,0,8450,25,
8551,1,8551,55055,0,8649,1326000,8550,1326000,8549,0,8551,10,
8653,1,8653,188373,0,8750,510000,8650,1530000,8650,0,8652,27,
8761,1,8761,32130,0,8851,586500,8757,510000,8755,0,8760,25,
8856,1,8856,47031,0,8952,561000,8853,586500,8852,0,8856,30,
8956,1,8956,44128,0,9052,510000,8953,561000,8952,0,8956,30,
9057,1,9057,14137,0,9152,510000,9054,510000,9053,0,9057,11,
9156,1,9156,28274,0,9253,561000,9154,510000,9153,0,9156,22,
9257,1,9257,16180,0,9353,1530000,9255,561000,9254,0,9257,11,
9354,1,9354,125582,0,9453,1530000,9353,1530000,9353,0,9354,18,
9455,1,9455,69768,0,9554,510000,9454,1530000,9453,0,9454,10,
9558,1,9557,0,0,9655,535500,9555,510000,9555,0,9557,0,
9660,1,9659,55070,0,9756,535500,9657,535500,9656,0,9659,40,
9762,1,9761,37172,0,9857,535500,9758,535500,9757,0,9761,27,
9865,1,9864,15144,0,9960,1530000,9860,535500,9859,0,9864,11,
9962,1,9962,76744,0,10059,1938000,9961,1530000,9960,0,9962,11,
10061,1,10060,0,0,10160,1530000,10060,1938000,10059,0,10060,0,
10161,1,10161,125582,0,10260,1530000,10160,1530000,10160,0,10161,18,
10263,1,10262,0,0,10361,510000,10261,1530000,10261,0,10262,0,
10366,1,10366,0,0,10461,1530000,10363,510000,10362,0,10365,0,
10463,1,10463,0,0,10562,1530000,10462,1530000,10462,0,10463,0,
10570,1,10570,69768,0,10662,1530000,10562,1530000,10562,0,10570,10,
10663,1,10663,153489,0,10762,1530000,10662,1530000,10662,0,10663,22,
10764,1,10764,69768,0,10863,510000,10763,1530000,10763,0,10764,10,
10867,1,10867,14137,0,10963,1530000,10865,510000,10864,0,10867,11,
10965,1,10965,251164,0,11064,1530000,10964,1530000,10964,0,10964,36,
11065,1,11065,69768,0,11165,1530000,11064,1530000,11064,0,11065,10,
11167,1,11166,76744,0,11265,1530000,11166,1530000,11165,0,11166,11,
11267,1,11267,0,0,11366,1530000,11266,1530000,11266,0,11267,0,
11367,1,11367,0,0,11467,510000,11366,1530000,11366,0,11367,0,
11471,1,11470,25704,0,11567,1836000,11468,510000,11468,0,11470,20,
11568,1,11568,284873,0,11667,2193000,11567,1836000,11567,0,11568,30,
11668,1,11668,567951,0,11768,2295000,11668,2193000,11668,0,11668,44,
11769,1,11769,1397655,502730,11868,1428000,11768,2295000,11768,0,11769,100,
11870,1,11870,167949,0,11969,1530000,11869,1428000,11869,0,11870,27,
11970,1,11970,139536,0,12070,510000,11969,1530000,11969,0,11970,20,
12078,1,12078,12852,0,12170,1530000,12074,510000,12073,0,12077,10,
12172,1,12172,69768,0,12271,1530000,12171,1530000,12170,0,12172,10,
