App,Package,Start Time,Duration,Filename
"System",,"Oct 9, 2018 @ 09:50:00 PM","1 min 5 sec","Trepn_2018.10.09_214959.db"

Time  [ms],"Battery Status",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",
46,1,45,1271866,843055,4,2295000,42,2295000,42,0,44,91,
106,1,106,1188106,759295,104,2091000,105,2091000,105,0,106,100,
207,1,206,1257889,829078,205,2295000,206,2295000,205,0,206,90,
307,1,307,1397655,968844,305,2295000,306,2295000,306,0,307,100,
409,1,409,1118124,689313,408,2295000,408,2295000,408,0,409,80,
509,1,509,419296,0,508,2295000,508,2295000,508,0,509,30,
613,1,613,139536,0,611,1530000,612,1530000,611,0,612,20,
713,1,713,230234,0,711,1530000,712,1530000,712,0,713,33,
813,1,813,550755,121944,812,1836000,813,1836000,812,0,813,58,
914,1,914,209303,0,912,1530000,913,1530000,913,0,914,30,
1014,1,1014,230234,0,1013,1530000,1013,1530000,1013,0,1014,33,
1118,1,1118,33341,0,1114,612000,1115,612000,1114,0,1118,20,
1215,1,1215,598234,169423,1213,1836000,1214,1836000,1214,0,1215,63,
1321,1,1321,1397655,968844,1315,2295000,1316,2295000,1315,0,1321,100,
1366,1,1366,891079,462268,1365,2091000,1365,2091000,1365,0,1366,75,
1467,1,1467,810639,381828,1465,2295000,1466,2295000,1466,0,1467,58,
1573,1,1573,28274,0,1568,510000,1570,510000,1569,0,1573,22,
1669,1,1669,174420,0,1667,1530000,1668,1530000,1667,0,1668,25,
1772,1,1772,79607,0,1768,637500,1770,637500,1769,0,1772,45,
1870,1,1870,153489,0,1868,1530000,1869,1530000,1868,0,1869,22,
1969,1,1969,139765,0,1968,2295000,1969,2295000,1969,0,1969,10,
2070,1,2070,307484,0,2069,2295000,2069,2295000,2069,0,2070,22,
2170,1,2170,153489,0,2169,1530000,2170,1530000,2169,0,2170,22,
2274,1,2274,46267,0,2270,510000,2272,510000,2271,0,2274,36,
2376,1,2376,77351,0,2371,714000,2372,714000,2372,0,2375,37,
2473,1,2473,230234,0,2471,1530000,2472,1530000,2471,0,2473,33,
2591,1,2591,46267,0,2573,510000,2575,510000,2574,0,2588,36,
2677,1,2677,87155,0,2673,688500,2675,688500,2674,0,2677,44,
2775,1,2775,258141,0,2774,1530000,2774,1530000,2774,0,2775,37,
2876,1,2876,155061,0,2874,1734000,2875,1734000,2875,0,2876,18,
2980,1,2980,209303,0,2975,612000,2977,1530000,2976,0,2980,30,
3077,1,3077,188373,0,3075,1530000,3076,1530000,3076,0,3077,27,
3177,1,3177,188373,0,3176,1530000,3176,1530000,3176,0,3177,27,
3277,1,3277,188373,0,3276,1530000,3277,1530000,3276,0,3277,27,
3378,1,3378,188373,0,3376,1530000,3377,1530000,3377,0,3378,27,
3478,1,3478,188373,0,3477,1530000,3477,1530000,3477,0,3478,27,
3581,1,3580,76744,0,3577,1530000,3579,1530000,3577,0,3580,11,
3679,1,3679,265882,0,3677,1836000,3678,1836000,3678,0,3679,28,
3763,1,3779,993915,565104,3778,2193000,3778,2193000,3778,0,3779,77,
3779,1,3879,1041868,613057,3878,1938000,3879,1938000,3878,0,3879,100,
3879,1,3980,1397655,968844,3978,2295000,3979,2295000,3979,0,3980,100,
3980,1,4080,1397655,968844,4079,2295000,4079,2295000,4079,0,4080,100,
4080,1,4181,754733,325922,4180,2295000,4180,2295000,4180,0,4181,54,
