App,Package,Start Time,Duration,Filename
"System",,"Oct 10, 2018 @ 12:28:34 AM","1 min 6 sec","Trepn_2018.10.10_002833.db"

Time  [ms],"Battery Status",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",
64,1,64,503155,265937,35,2295000,64,2295000,63,0,64,36,
136,1,136,1397655,1160437,135,2295000,136,2295000,135,0,136,100,
237,1,237,1397655,1160437,236,2295000,236,2295000,236,0,237,100,
337,1,337,1397655,1160437,336,2295000,336,2295000,336,0,337,100,
390,1,390,1397655,1160437,388,2295000,389,2295000,389,0,390,100,
491,1,491,1076194,838976,489,2295000,489,2295000,489,0,491,77,
591,1,591,802238,565020,589,1938000,590,1938000,590,0,591,77,
692,1,692,275277,38059,690,1326000,691,1326000,690,0,692,50,
793,1,793,489815,252597,791,1632000,792,1632000,791,0,793,63,
893,1,893,1041868,804650,891,1938000,892,1938000,892,0,893,100,
993,1,993,1397655,1160437,992,2295000,992,2295000,992,0,993,100,
1146,1,1145,1397655,1160437,1143,2295000,1143,2295000,1143,0,1145,100,
1244,1,1244,1397655,1160437,1243,2295000,1244,2295000,1243,0,1244,100,
1348,1,1347,1397655,1160437,1345,2295000,1347,2295000,1346,0,1347,100,
1452,1,1452,1397655,1160437,1451,2295000,1451,2295000,1451,0,1452,100,
1502,1,1502,1397655,1160437,1501,2295000,1501,2295000,1501,0,1502,100,
1604,1,1604,1069295,832077,1601,2091000,1603,2091000,1603,0,1604,90,
1704,1,1704,475242,238024,1702,2091000,1703,2091000,1703,0,1704,40,
1805,1,1805,698827,461609,1802,2295000,1803,2295000,1803,0,1804,50,
1904,1,1904,1397655,1160437,1903,2295000,1904,2295000,1903,0,1904,100,
2005,1,2005,1397655,1160437,2004,2295000,2005,2295000,2004,0,2005,100,
2106,1,2106,1397655,1160437,2104,2295000,2105,2295000,2105,0,2106,100,
2207,1,2207,1257889,1020671,2205,2295000,2205,2295000,2205,0,2207,90,
2308,1,2308,1397655,1160437,2307,2295000,2307,2295000,2307,0,2308,100,
2409,1,2408,1397655,1160437,2407,2295000,2408,2295000,2408,0,2408,100,
2509,1,2509,1069295,832077,2507,2091000,2508,2091000,2508,0,2509,90,
2610,1,2610,1397655,1160437,2608,2295000,2609,2295000,2609,0,2610,100,
2710,1,2710,1257889,1020671,2709,2295000,2709,2295000,2709,0,2710,90,
2814,1,2814,1397655,1160437,2811,2295000,2813,2295000,2812,0,2814,100,
2913,1,2913,1257889,1020671,2911,2295000,2912,2295000,2912,0,2913,90,
3014,1,3014,1397655,1160437,3012,2295000,3014,2295000,3013,0,3014,100,
3119,1,3119,1397655,1160437,3112,2295000,3113,2295000,3113,0,3117,100,
3216,1,3216,1397655,1160437,3213,2295000,3214,2295000,3213,0,3216,100,
3316,1,3316,937681,700463,3314,1938000,3315,1938000,3315,0,3316,90,
3418,1,3418,1397655,1160437,3417,2295000,3417,2295000,3417,0,3418,100,
3518,1,3518,1397655,1160437,3517,2295000,3517,2295000,3517,0,3518,100,
3619,1,3619,1069295,832077,3617,2091000,3618,2091000,3618,0,3619,90,
3719,1,3719,838593,601375,3718,2295000,3718,2295000,3718,0,3719,60,
3820,1,3820,1257889,1020671,3818,2295000,3819,2295000,3819,0,3820,90,
3920,1,3920,1257889,1020671,3919,2295000,3919,2295000,3919,0,3920,90,
4020,1,4020,1397655,1160437,4019,2295000,4019,2295000,4019,0,4020,100,
4121,1,4121,1118124,880906,4119,2295000,4120,2295000,4120,0,4121,80,
4221,1,4221,1076194,838976,4220,2295000,4220,2295000,4220,0,4221,77,
4321,1,4321,978358,741140,4320,2295000,4320,2295000,4320,0,4321,70,
4426,1,4426,425963,188745,4420,2193000,4421,2193000,4421,0,4425,33,
4522,1,4522,1188106,950888,4521,2091000,4521,2091000,4521,0,4522,100,
4624,1,4624,1257889,1020671,4622,2295000,4623,2295000,4623,0,4624,90,
4724,1,4724,1397655,1160437,4722,2295000,4723,2295000,4722,0,4724,100,
4823,1,4823,1397655,1160437,4822,2295000,4823,2295000,4822,0,4823,100,
4924,1,4924,1397655,1160437,4922,2295000,4923,2295000,4923,0,4924,100,
5024,1,5024,1118124,880906,5023,2295000,5023,2295000,5023,0,5024,80,
5125,1,5125,978358,741140,5123,2295000,5124,2295000,5124,0,5125,70,
5225,1,5225,1397655,1160437,5224,2295000,5224,2295000,5224,0,5225,100,
