App,Package,Start Time,Duration,Filename
"System",,"Oct 13, 2018 @ 10:20:02 PM","1 min 5 sec","Trepn_2018.10.13_222001.db"

Time  [ms],"Battery Status",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",
59,1,59,1271866,999178,33,2295000,58,2295000,58,0,59,91,
87,1,87,1048241,775553,86,2295000,87,2295000,86,0,87,75,
189,1,189,992335,719647,188,2295000,189,2295000,188,0,189,71,
290,1,290,1229936,957248,288,2295000,289,2295000,289,0,290,88,
392,1,392,1397655,1124967,389,2295000,389,2295000,389,0,392,100,
490,1,490,461226,188538,489,2295000,489,2295000,489,0,490,33,
592,1,592,768710,496022,589,2295000,590,2295000,590,0,592,55,
691,1,691,1397655,1124967,690,2295000,690,2295000,690,0,691,100,
793,1,793,1257889,985201,790,2295000,790,2295000,790,0,792,90,
891,1,891,1229936,957248,890,2295000,891,2295000,890,0,891,88,
1043,1,1043,1397655,1124967,1041,2295000,1041,2295000,1041,0,1042,100,
1117,1,1117,1397655,1124967,1115,2295000,1115,2295000,1115,0,1117,100,
1215,1,1215,855436,582748,1213,2091000,1214,2091000,1214,0,1215,72,
1315,1,1315,1397655,1124967,1314,2295000,1314,2295000,1314,0,1315,100,
1421,1,1420,1076194,803506,1414,2295000,1414,2295000,1414,0,1420,77,
1521,1,1521,559062,286374,1515,2295000,1515,2295000,1515,0,1521,40,
1618,1,1618,419296,146608,1617,2295000,1617,2295000,1617,0,1618,30,
1719,1,1719,1118124,845436,1717,2295000,1718,2295000,1718,0,1718,80,
1819,1,1819,1397655,1124967,1818,2295000,1818,2295000,1818,0,1819,100,
1920,1,1920,419296,146608,1918,2295000,1918,2295000,1918,0,1919,30,
2023,1,2023,978358,705670,2022,2295000,2022,2295000,2022,0,2023,70,
2123,1,2123,754733,482045,2122,2295000,2122,2295000,2122,0,2123,54,
2226,1,2226,62203,0,2222,1428000,2223,1428000,2223,0,2226,10,
2325,1,2324,558144,285456,2323,1530000,2323,1530000,2323,0,2324,80,
2425,1,2425,474789,202101,2424,1836000,2424,1836000,2424,0,2425,50,
2533,1,2533,903559,630871,2524,2193000,2525,2193000,2525,0,2533,70,
2628,1,2628,1257889,985201,2625,2295000,2627,2295000,2626,0,2628,90,
2727,1,2726,1397655,1124967,2725,2295000,2726,2295000,2726,0,2726,100,
2827,1,2827,1257889,985201,2826,2295000,2826,2295000,2826,0,2827,90,
2929,1,2929,1188106,915418,2926,2091000,2926,2091000,2926,0,2927,100,
3028,1,3027,1397655,1124967,3026,2295000,3027,2295000,3027,0,3027,100,
3128,1,3128,653458,380770,3127,2091000,3127,2091000,3127,0,3128,55,
3229,1,3229,1229936,957248,3227,2295000,3228,2295000,3228,0,3229,88,
3330,1,3330,1397655,1124967,3327,2295000,3329,2295000,3328,0,3329,100,
3432,1,3432,1397655,1124967,3430,2295000,3431,2295000,3430,0,3431,100,
3532,1,3532,1397655,1124967,3531,2295000,3531,2295000,3531,0,3532,100,
3632,1,3632,1257889,985201,3631,2295000,3631,2295000,3631,0,3632,90,
3733,1,3733,1006311,733623,3732,2295000,3732,2295000,3732,0,3733,72,
3834,1,3833,559062,286374,3832,2295000,3833,2295000,3833,0,3833,40,
3934,1,3934,419296,146608,3933,2295000,3933,2295000,3933,0,3934,30,
4034,1,4034,880522,607834,4033,2295000,4033,2295000,4033,0,4034,63,
4135,1,4135,962366,689678,4133,2091000,4134,2091000,4134,0,4135,81,
4235,1,4235,831674,558986,4234,2091000,4234,2091000,4234,0,4235,70,
4335,1,4335,461226,188538,4334,2295000,4335,2295000,4334,0,4335,33,
4436,1,4436,419296,146608,4435,2295000,4435,2295000,4435,0,4436,30,
4542,1,4542,461226,188538,4536,2295000,4536,2295000,4536,0,4542,33,
4638,1,4638,1215959,943271,4636,2295000,4637,2295000,4637,0,4638,87,
4738,1,4738,1257889,985201,4736,2295000,4737,2295000,4737,0,4738,90,
4838,1,4838,1397655,1124967,4836,2295000,4837,2295000,4837,0,4838,100,
4940,1,4940,1257889,985201,4939,2295000,4939,2295000,4939,0,4940,90,
5040,1,5040,838593,565905,5039,2295000,5040,2295000,5039,0,5040,60,
5142,1,5141,1397655,1124967,5140,2295000,5140,2295000,5140,0,5141,100,
5242,1,5242,922452,649764,5240,2295000,5241,2295000,5240,0,5242,66,
5342,1,5342,1257889,985201,5340,2295000,5341,2295000,5341,0,5342,90,
5442,1,5442,880522,607834,5441,2295000,5441,2295000,5441,0,5442,63,
5542,1,5542,375072,102384,5541,1938000,5541,1938000,5541,0,5542,36,
5643,1,5643,838593,565905,5642,2295000,5642,2295000,5642,0,5643,60,
5743,1,5743,698827,426139,5742,2295000,5742,2295000,5742,0,5743,50,
5844,1,5844,922452,649764,5842,2295000,5843,2295000,5843,0,5844,66,
5947,1,5946,1132100,859412,5943,2295000,5943,2295000,5943,0,5945,81,
6044,1,6044,461226,188538,6043,2295000,6043,2295000,6043,0,6044,33,
6145,1,6145,167949,0,6144,1428000,6144,1428000,6144,0,6145,27,
6245,1,6245,230234,0,6244,1530000,6244,1530000,6244,0,6245,33,
6346,1,6346,104453,0,6344,1836000,6345,1836000,6344,0,6346,11,
6447,1,6446,283975,11287,6444,2193000,6445,2193000,6445,0,6446,22,
6547,1,6547,461226,188538,6546,2295000,6546,2295000,6546,0,6547,33,
6648,1,6648,0,0,6646,1428000,6647,1428000,6646,0,6647,0,
6748,1,6748,209303,0,6746,1530000,6747,1530000,6747,0,6748,30,
6849,1,6849,0,0,6847,1428000,6848,1428000,6847,0,6849,0,
6949,1,6949,223933,0,6947,1428000,6948,1428000,6948,0,6949,36,
7049,1,7049,0,0,7047,1428000,7048,1428000,7048,0,7049,0,
7149,1,7149,0,0,7148,1530000,7148,1530000,7148,0,7149,0,
7250,1,7250,0,0,7248,1428000,7249,1428000,7248,0,7249,0,
7353,1,7353,0,0,7349,637500,7351,637500,7350,0,7353,0,
7451,1,7451,69768,0,7450,1530000,7450,1530000,7450,0,7451,10,
7552,1,7552,153489,0,7550,1530000,7551,1530000,7550,0,7551,22,
7659,1,7658,22028,0,7651,535500,7653,535500,7652,0,7657,16,
7753,1,7753,174420,0,7751,1530000,7752,1530000,7752,0,7753,25,
7853,1,7853,139536,0,7852,1530000,7852,1530000,7852,0,7853,20,
7954,1,7954,139536,0,7952,1530000,7953,1530000,7953,0,7954,20,
8059,1,8059,27535,0,8054,535500,8055,535500,8055,0,8059,20,
8156,1,8156,209303,0,8154,1530000,8155,1530000,8154,0,8155,30,
8259,1,8259,79232,0,8255,688500,8257,688500,8256,0,8259,40,
8357,1,8357,139536,0,8355,1530000,8356,1530000,8355,0,8356,20,
8460,1,8459,12852,0,8456,510000,8457,510000,8457,0,8459,10,
8558,1,8558,69768,0,8556,1530000,8557,1530000,8556,0,8558,10,
8659,1,8658,69768,0,8657,1530000,8657,1530000,8657,0,8658,10,
8764,1,8764,25704,0,8758,510000,8760,510000,8759,0,8763,20,
8864,1,8864,38556,0,8858,510000,8860,510000,8859,0,8862,30,
8966,1,8966,34700,0,8959,510000,8961,510000,8960,0,8965,27,
9065,1,9065,29418,0,9060,561000,9062,561000,9061,0,9064,20,
9166,1,9165,46267,0,9161,510000,9163,510000,9162,0,9165,36,
9269,1,9269,23133,0,9262,510000,9265,510000,9264,0,9268,18,
