App,Package,Start Time,Duration,Filename
"System",,"Oct 10, 2018 @ 01:23:49 AM","1 min 5 sec","Trepn_2018.10.10_012347.db"

Time  [ms],"Battery Status",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",
65,1,65,1397655,580028,26,2295000,54,2295000,53,0,65,100,
140,1,140,1397655,580028,127,2295000,127,2295000,127,0,140,100,
229,1,229,1397655,580028,227,2295000,228,2295000,227,0,228,100,
331,1,331,1215959,398332,328,2295000,329,2295000,329,0,330,87,
384,1,384,922452,104825,379,2295000,382,2295000,381,0,383,66,
480,1,480,1188106,370479,479,2091000,479,2091000,479,0,480,100,
580,1,580,1397655,580028,579,2295000,580,2295000,580,0,580,100,
682,1,681,1397655,580028,680,2295000,681,2295000,680,0,681,100,
782,1,782,1397655,580028,780,2295000,781,2295000,781,0,782,100,
883,1,883,1006311,188684,882,2295000,882,2295000,882,0,883,72,
983,1,983,1397655,580028,982,2295000,983,2295000,982,0,983,100,
1085,1,1085,1397655,580028,1083,2295000,1083,2295000,1083,0,1085,100,
1212,1,1212,1188006,370379,1209,2295000,1210,2295000,1210,0,1211,85,
1313,1,1313,1397655,580028,1309,2295000,1312,2295000,1310,0,1313,100,
1411,1,1411,1257889,440262,1410,2295000,1410,2295000,1410,0,1411,90,
1514,1,1514,978358,160731,1510,2295000,1513,2295000,1510,0,1513,70,
1615,1,1615,1397655,580028,1612,2295000,1614,2295000,1614,0,1615,100,
1719,1,1718,1397655,580028,1712,2295000,1713,2295000,1713,0,1715,100,
1814,1,1814,1397655,580028,1813,2295000,1814,2295000,1813,0,1814,100,
1915,1,1915,838593,20966,1913,2295000,1914,2295000,1914,0,1915,60,
2015,1,2015,698827,0,2014,2295000,2014,2295000,2014,0,2015,50,
2115,1,2115,153742,0,2114,2295000,2115,2295000,2114,0,2115,11,
2216,1,2216,461226,0,2215,2295000,2215,2295000,2215,0,2216,33,
2316,1,2316,461226,0,2315,2295000,2315,2295000,2315,0,2316,33,
2417,1,2417,1397655,580028,2416,2295000,2416,2295000,2416,0,2417,100,
2517,1,2517,534647,0,2516,2091000,2517,2091000,2516,0,2517,45,
2618,1,2618,0,0,2617,2295000,2617,2295000,2617,0,2618,0,
2719,1,2719,880522,62895,2717,2295000,2718,2295000,2718,0,2719,63,
