App,Package,Start Time,Duration,Filename
"System",,"Oct 9, 2018 @ 12:27:43 AM","1 min 6 sec","Trepn_2018.10.09_002742.db"

Time  [ms],"Battery Status",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",
17,1,17,949579,14564,87,2295000,15,1836000,14,0,17,100,
88,1,88,922452,0,188,2295000,87,2295000,87,0,88,66,
195,1,194,1062217,127202,288,2295000,189,2295000,188,0,194,76,
289,1,289,461226,0,388,2295000,289,2295000,288,0,289,33,
391,1,391,1048241,113226,489,1836000,389,2295000,389,0,391,75,
491,1,491,626722,0,591,1632000,490,1836000,490,0,491,66,
592,1,592,85523,0,691,1530000,591,1632000,591,0,592,11,
693,1,693,139536,0,792,637500,692,1530000,691,0,692,20,
799,1,799,88453,0,896,1530000,793,637500,793,0,798,50,
901,1,901,418607,0,996,1734000,898,1530000,897,0,900,60,
999,1,999,284278,0,1098,586500,997,1734000,996,0,997,33,
1105,1,1104,51734,0,1198,739500,1101,586500,1101,0,1104,33,
1207,1,1207,110148,0,1298,1530000,1199,739500,1199,0,1206,50,
1287,1,1300,376747,0,1399,1836000,1299,1530000,1298,0,1299,54,
1300,1,1400,854621,0,1499,2295000,1399,1836000,1399,0,1400,90,
1400,1,1500,1132100,197085,1600,510000,1499,2295000,1499,0,1500,81,
1500,1,1604,14137,0,1701,714000,1602,510000,1601,0,1604,11,
1605,1,1705,77351,0,1803,637500,1702,714000,1702,0,1705,37,
1705,1,1809,97298,0,1901,1530000,1806,637500,1805,0,1808,55,
1809,1,1903,139536,0,2008,1836000,1902,1530000,1902,0,1903,20,
1903,1,2014,655209,0,2109,2193000,2009,1836000,2009,0,2014,69,
2014,1,2111,1135903,200888,2209,2295000,2110,2193000,2110,0,2111,88,
2111,1,2211,1132100,197085,2310,1836000,2210,2295000,2210,0,2211,81,
2211,1,2312,664705,0,2411,2295000,2311,1836000,2311,0,2312,70,
2312,1,2413,1257889,322874,2510,2295000,2411,2295000,2411,0,2413,90,
2413,1,2511,698827,0,2612,510000,2511,2295000,2511,0,2511,50,
2512,1,2622,14137,0,2711,1530000,2613,510000,2613,0,2621,11,
2622,1,2714,313955,0,2812,1836000,2712,1530000,2712,0,2713,45,
2714,1,2814,351344,0,2912,2295000,2813,1836000,2812,0,2814,37,
2814,1,2913,698827,0,3013,2295000,2913,2295000,2913,0,2913,50,
2913,1,3014,559062,0,3114,2295000,3013,2295000,3013,0,3014,40,
3014,1,3115,880522,0,3215,2295000,3115,2295000,3114,0,3115,63,
3115,1,3216,1397655,462640,3315,2295000,3215,2295000,3215,0,3216,100,
3216,1,3316,880522,0,3415,2295000,3315,2295000,3315,0,3316,63,
3316,1,3417,1132100,197085,3516,1938000,3416,2295000,3416,0,3417,81,
3417,1,3519,729308,0,3616,1836000,3517,1938000,3517,0,3518,70,
3519,1,3619,854621,0,3717,1836000,3618,1836000,3617,0,3619,90,
3619,1,3719,854621,0,3818,2295000,3717,1836000,3717,0,3719,90,
3719,1,3819,1397655,462640,3918,2295000,3818,2295000,3818,0,3819,100,
3819,1,3919,1397655,462640,4018,2295000,3919,2295000,3918,0,3919,100,
3919,1,4020,1397655,462640,4119,2295000,4019,2295000,4019,0,4020,100,
4020,1,4120,1397655,462640,4219,2295000,4119,2295000,4119,0,4120,100,
4120,1,4221,1397655,462640,4320,2193000,4220,2295000,4220,0,4221,100,
4221,1,4322,1290799,355784,4420,2295000,4320,2193000,4320,0,4321,100,
4322,1,4422,1397655,462640,4521,1836000,4421,2295000,4420,0,4421,100,
4422,1,4524,949579,14564,4621,2295000,4521,1836000,4521,0,4524,100,
4524,1,4622,1397655,462640,4722,2295000,4622,2295000,4621,0,4622,100,
