App,Package,Start Time,Duration,Filename
"System",,"Oct 10, 2018 @ 11:25:07 PM","1 min 6 sec","Trepn_2018.10.10_232506.db"

Time  [ms],"Battery Status",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",
38,1,38,1174030,437905,15,2014500,37,2295000,36,0,37,84,
67,1,67,1397655,661530,66,2295000,66,2295000,66,0,67,100,
167,1,167,1397655,661530,166,2295000,166,2295000,166,0,167,100,
267,1,267,503155,0,266,2295000,266,2295000,266,0,267,36,
367,1,367,377366,0,366,2295000,367,2295000,366,0,367,27,
468,1,468,230234,0,467,1530000,467,1530000,467,0,468,33,
569,1,569,348840,0,567,1530000,568,1530000,568,0,569,50,
668,1,668,922452,186327,667,2295000,668,2295000,667,0,668,66,
768,1,768,419296,0,767,2295000,768,2295000,768,0,768,30,
869,1,869,279072,0,868,1530000,868,1530000,868,0,869,40,
970,1,970,230234,0,968,1530000,969,1530000,969,0,970,33,
1076,1,1076,68989,0,1069,714000,1072,714000,1071,0,1074,33,
1172,1,1172,209303,0,1170,1530000,1171,1530000,1170,0,1172,30,
1293,1,1293,48837,0,1272,510000,1275,510000,1274,0,1293,38,
1373,1,1373,97675,0,1371,1530000,1372,1530000,1371,0,1372,14,
1480,1,1480,58379,0,1473,637500,1474,637500,1474,0,1476,33,
1574,1,1574,97675,0,1573,1530000,1573,1530000,1573,0,1574,14,
1676,1,1676,1257889,521764,1674,2295000,1675,2295000,1675,0,1675,90,
1778,1,1777,1397655,661530,1775,2295000,1776,2295000,1776,0,1777,100,
1882,1,1881,1397655,661530,1876,2295000,1877,2295000,1876,0,1878,100,
1977,1,1977,1076194,340069,1976,2295000,1976,2295000,1976,0,1977,77,
2078,1,2078,978358,242233,2076,2295000,2076,2295000,2076,0,2078,70,
2179,1,2179,838593,102468,2177,2295000,2177,2295000,2177,0,2179,60,
2281,1,2281,139536,0,2278,943500,2280,1530000,2279,0,2281,20,
2380,1,2380,69768,0,2378,1530000,2378,1530000,2378,0,2380,10,
2485,1,2485,70762,0,2480,637500,2482,637500,2481,0,2484,40,
2581,1,2581,230234,0,2580,1530000,2580,1530000,2580,0,2581,33,
2682,1,2682,230234,0,2680,1530000,2681,1530000,2681,0,2682,33,
2782,1,2782,0,0,2781,1530000,2781,1530000,2781,0,2782,0,
2888,1,2887,0,0,2882,612000,2883,612000,2883,0,2887,0,
2993,1,2993,14137,0,2983,510000,2985,510000,2984,0,2991,11,
3084,1,3084,153489,0,3082,1530000,3083,1530000,3083,0,3084,22,
3185,1,3185,209303,0,3184,1530000,3184,1530000,3184,0,3185,30,
3286,1,3286,0,0,3284,1530000,3285,1530000,3284,0,3285,0,
3395,1,3395,25704,0,3387,510000,3390,510000,3388,0,3394,20,
3487,1,3487,209303,0,3486,1530000,3486,1530000,3486,0,3487,30,
3593,1,3593,53071,0,3587,637500,3590,637500,3588,0,3593,30,
3689,1,3689,348840,0,3687,1530000,3687,1530000,3687,0,3689,50,
3793,1,3793,50588,0,3787,663000,3789,663000,3789,0,3792,27,
3890,1,3890,759663,23538,3888,1836000,3889,1836000,3889,0,3890,80,
3991,1,3991,96647,0,3989,1224000,3989,1224000,3989,0,3990,20,
4091,1,4091,83721,0,4089,1530000,4090,1530000,4089,0,4091,12,
4207,1,4207,188373,0,4196,535500,4204,1530000,4198,0,4206,27,
4292,1,4292,237394,0,4291,1836000,4291,1836000,4291,0,4292,25,
4400,1,4397,36675,0,4392,612000,4393,612000,4392,0,4396,22,
4494,1,4494,209303,0,4492,1530000,4492,1530000,4492,0,4493,30,
4594,1,4594,348840,0,4593,1530000,4593,1530000,4593,0,4594,50,
4698,1,4698,15422,0,4694,510000,4695,510000,4694,0,4698,12,
4795,1,4795,174420,0,4794,1530000,4794,1530000,4794,0,4795,25,
4899,1,4899,348840,0,4895,1530000,4896,1530000,4896,0,4897,50,
4997,1,4997,1257889,521764,4996,2295000,4996,2295000,4996,0,4997,90,
5097,1,5097,1257889,521764,5096,2295000,5096,2295000,5096,0,5097,90,
5197,1,5197,614968,0,5196,2295000,5196,2295000,5196,0,5197,44,
5299,1,5299,279072,0,5297,1530000,5298,1530000,5297,0,5299,40,
5410,1,5409,14137,0,5398,510000,5400,510000,5399,0,5408,11,
5504,1,5503,106143,0,5499,637500,5500,637500,5500,0,5502,60,
5606,1,5605,70762,0,5600,637500,5601,637500,5601,0,5604,40,
5719,1,5718,488375,0,5700,1530000,5702,1530000,5701,0,5712,70,
5802,1,5802,1397655,661530,5800,2295000,5801,2295000,5801,0,5802,100,
5902,1,5902,1118124,381999,5901,2295000,5901,2295000,5901,0,5902,80,
6002,1,6002,517132,0,6001,2295000,6002,2295000,6001,0,6002,37,
6107,1,6107,614968,0,6102,2295000,6106,2295000,6103,0,6107,44,
6203,1,6203,559062,0,6202,2295000,6202,2295000,6202,0,6203,40,
6304,1,6304,279531,0,6302,2295000,6303,2295000,6303,0,6304,20,
6413,1,6413,922452,186327,6405,2295000,6410,2295000,6410,0,6413,66,
6507,1,6507,1132100,395975,6505,2295000,6506,2295000,6505,0,6507,81,
6612,1,6612,1397655,661530,6605,2295000,6609,2295000,6606,0,6612,100,
6707,1,6707,1397655,661530,6706,2295000,6706,2295000,6706,0,6707,100,
6828,1,6822,1397655,661530,6806,2295000,6815,2295000,6815,0,6821,100,
6911,1,6911,1257889,521764,6907,2295000,6908,2295000,6908,0,6910,90,
7013,1,7013,1118124,381999,7008,2295000,7008,2295000,7008,0,7012,80,
7111,1,7111,1188106,451981,7109,2091000,7109,2091000,7109,0,7110,100,
7213,1,7213,1397655,661530,7207,2295000,7212,2295000,7212,0,7213,100,
7310,1,7310,1076194,340069,7308,2295000,7309,2295000,7308,0,7310,77,
7417,1,7417,1397655,661530,7408,2295000,7410,2295000,7409,0,7415,100,
7556,1,7556,1397655,661530,7509,2295000,7510,2295000,7510,0,7556,100,
7620,1,7620,1188106,451981,7618,2091000,7618,2091000,7618,0,7620,100,
7722,1,7722,1271866,535741,7721,2295000,7721,2295000,7721,0,7722,91,
7822,1,7822,1397655,661530,7821,2295000,7822,2295000,7821,0,7822,100,
7927,1,7927,1397655,661530,7921,2295000,7922,2295000,7922,0,7926,100,
8029,1,8029,1397655,661530,8024,2295000,8026,2295000,8026,0,8029,100,
8167,1,8167,1397655,661530,8123,2295000,8125,2295000,8125,0,8166,100,
8225,1,8224,1188106,451981,8223,2091000,8224,2091000,8224,0,8224,100,
8325,1,8325,1397655,661530,8324,2295000,8324,2295000,8324,0,8325,100,
8426,1,8426,1397655,661530,8424,2295000,8424,2295000,8424,0,8426,100,
8534,1,8534,1397655,661530,8524,2295000,8525,2295000,8525,0,8533,100,
8626,1,8626,1397655,661530,8624,2295000,8625,2295000,8625,0,8625,100,
8733,1,8733,880522,144397,8728,2295000,8728,2295000,8728,0,8733,63,
8834,1,8834,1076194,340069,8828,2295000,8833,2295000,8830,0,8833,77,
8930,1,8930,1257889,521764,8928,2295000,8929,2295000,8929,0,8930,90,
9035,1,9035,614968,0,9029,2295000,9033,2295000,9031,0,9035,44,
9132,1,9132,1257889,521764,9130,2295000,9131,2295000,9130,0,9131,90,
9232,1,9232,992335,256210,9230,2295000,9231,2295000,9231,0,9231,71,
9333,1,9333,1397655,661530,9331,2295000,9332,2295000,9332,0,9333,100,
9433,1,9433,1006311,270186,9432,2295000,9433,2295000,9432,0,9433,72,
9537,1,9537,35381,0,9533,637500,9534,637500,9534,0,9536,20,
9637,1,9636,209303,0,9633,1530000,9634,1530000,9634,0,9635,30,
9737,1,9736,83721,0,9734,1530000,9735,1530000,9735,0,9736,12,
9854,1,9854,579243,0,9838,1530000,9847,1836000,9846,0,9852,61,
9944,1,9944,1397655,661530,9937,2295000,9938,2295000,9938,0,9939,100,
10041,1,10041,1160053,423928,10039,2295000,10040,2295000,10040,0,10041,83,
10141,1,10141,349413,0,10140,2295000,10141,2295000,10141,0,10141,25,
10242,1,10242,318768,0,10241,1632000,10241,1632000,10241,0,10242,41,
10345,1,10345,38919,0,10341,637500,10343,637500,10342,0,10345,22,
10447,1,10447,32360,0,10442,561000,10443,561000,10443,0,10446,22,
10553,1,10553,44226,0,10543,637500,10544,637500,10544,0,10551,25,
10647,1,10647,306979,0,10644,1530000,10646,1530000,10645,0,10647,44,
10745,1,10745,188373,0,10743,1530000,10744,1530000,10744,0,10745,27,
10848,1,10847,25497,0,10845,765000,10846,765000,10845,0,10847,11,
10948,1,10947,174420,0,10945,1530000,10946,1530000,10946,0,10947,25,
11048,1,11047,69768,0,11046,1530000,11046,1530000,11046,0,11047,10,
11148,1,11148,230234,0,11146,1530000,11147,1530000,11147,0,11148,33,
11253,1,11252,23133,0,11248,688500,11250,510000,11249,0,11252,18,
11353,1,11353,77838,0,11349,637500,11351,637500,11350,0,11353,44,
11453,1,11453,313955,0,11449,1530000,11451,1530000,11451,0,11452,45,
11553,1,11553,1397655,661530,11551,2295000,11551,2295000,11551,0,11552,100,
11652,1,11652,439599,0,11651,2091000,11652,2091000,11651,0,11652,37,
11753,1,11753,209303,0,11751,1530000,11752,1530000,11752,0,11753,30,
11857,1,11857,937681,201556,11853,1938000,11856,1938000,11856,0,11857,90,
11955,1,11955,1257889,521764,11954,2295000,11954,2295000,11954,0,11955,90,
12057,1,12057,1257889,521764,12054,2295000,12056,2295000,12055,0,12057,90,
12157,1,12157,1397655,661530,12155,2295000,12156,2295000,12156,0,12157,100,
12260,1,12260,1397655,661530,12257,2295000,12258,2295000,12258,0,12260,100,
12358,1,12358,1397655,661530,12357,2295000,12357,2295000,12357,0,12358,100,
12461,1,12461,964381,228256,12460,2295000,12461,2295000,12460,0,12461,69,
12561,1,12561,307484,0,12560,2295000,12561,2295000,12560,0,12561,22,
12636,1,12635,132679,0,12615,586500,12620,637500,12619,0,12635,75,
12720,1,12719,279072,0,12715,1530000,12715,1530000,12715,0,12719,40,
12820,1,12820,63686,0,12816,637500,12817,637500,12817,0,12819,36,
12919,1,12919,348840,0,12917,1530000,12918,1530000,12918,0,12919,50,
13019,1,13019,189519,0,13017,1734000,13018,1734000,13018,0,13019,22,
13124,1,13124,541260,0,13121,1836000,13122,1836000,13122,0,13124,57,
