App,Package,Start Time,Duration,Filename
"System",,"Oct 9, 2018 @ 12:41:32 AM","1 min 6 sec","Trepn_2018.10.09_004131.db"

Time  [ms],"Battery Status",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",
27,1,27,1041868,147615,94,1938000,26,1938000,26,0,27,100,
100,1,100,906425,12172,194,2295000,94,1938000,94,0,100,87,
195,1,195,1076194,181941,294,2295000,194,2295000,194,0,195,77,
297,1,297,768710,0,394,2091000,295,2295000,295,0,296,55,
396,1,396,712863,0,495,2295000,395,2091000,395,0,396,60,
496,1,496,810639,0,595,1530000,495,2295000,495,0,496,58,
597,1,597,313955,0,700,510000,596,1530000,596,0,597,45,
735,1,735,72531,0,797,1836000,713,637500,704,0,721,41,
802,1,802,674201,0,900,2091000,798,1836000,797,0,800,71,
904,1,904,855436,0,999,2295000,903,2091000,902,0,904,72,
1001,1,1000,1257889,363636,1099,2295000,999,2295000,999,0,1000,90,
1101,1,1101,768710,0,1200,1530000,1100,2295000,1099,0,1101,55,
1203,1,1202,139536,0,1302,1836000,1200,1530000,1200,0,1202,20,
1304,1,1303,664705,0,1405,1836000,1302,1836000,1302,0,1303,70,
1416,1,1415,864117,0,1504,1836000,1408,1836000,1407,0,1415,91,
1505,1,1505,949579,55326,1607,2295000,1504,1836000,1504,0,1505,100,
1609,1,1609,1397655,503402,1707,2295000,1607,2295000,1607,0,1609,100,
1708,1,1708,1118124,223871,1807,2295000,1708,2295000,1707,0,1708,80,
1808,1,1808,503155,0,1908,2295000,1808,2295000,1808,0,1808,36,
1909,1,1909,167718,0,2008,2295000,1908,2295000,1908,0,1909,12,
2009,1,2009,559062,0,2108,2295000,2009,2295000,2008,0,2009,40,
2110,1,2110,922452,28199,2210,2295000,2109,2295000,2109,0,2110,66,
2211,1,2211,419296,0,2310,2295000,2210,2295000,2210,0,2211,30,
2312,1,2312,461226,0,2410,2295000,2311,2295000,2310,0,2311,33,
2412,1,2412,978358,84105,2511,2295000,2411,2295000,2411,0,2412,70,
2512,1,2512,838593,0,2611,2295000,2512,2295000,2511,0,2512,60,
2613,1,2613,1257889,363636,2712,2295000,2612,2295000,2612,0,2612,90,
2713,1,2713,1397655,503402,2812,2295000,2712,2295000,2712,0,2713,100,
2813,1,2813,1397655,503402,2913,2295000,2813,2295000,2812,0,2813,100,
2914,1,2914,1397655,503402,3013,2295000,2913,2295000,2913,0,2914,100,
3015,1,3015,1397655,503402,3120,2295000,3014,2295000,3014,0,3014,100,
3122,1,3122,1257889,363636,3220,2295000,3121,2295000,3120,0,3122,90,
3222,1,3221,1397655,503402,3320,2295000,3221,2295000,3220,0,3221,100,
3322,1,3322,1257889,363636,3421,2295000,3321,2295000,3321,0,3322,90,
3423,1,3423,1397655,503402,3521,2295000,3422,2295000,3422,0,3423,100,
3523,1,3523,1006311,112058,3622,2295000,3522,2295000,3521,0,3523,72,
3623,1,3623,1397655,503402,3722,2295000,3622,2295000,3622,0,3623,100,
3724,1,3724,978358,84105,3822,2295000,3722,2295000,3722,0,3724,70,
3824,1,3824,1397655,503402,3924,1836000,3823,2295000,3823,0,3824,100,
3926,1,3926,949579,55326,4024,2295000,3924,1836000,3924,0,3926,100,
4025,1,4025,1397655,503402,4124,2295000,4024,2295000,4024,0,4025,100,
4126,1,4125,1397655,503402,4225,2295000,4125,2295000,4125,0,4125,100,
4227,1,4227,1397655,503402,4325,1836000,4226,2295000,4226,0,4227,100,
4328,1,4328,949579,55326,4430,2295000,4326,1836000,4326,0,4328,100,
4431,1,4431,1118124,223871,4530,2295000,4430,2295000,4430,0,4431,80,
4531,1,4531,1397655,503402,4630,2295000,4531,2295000,4530,0,4531,100,
4632,1,4632,1257889,363636,4731,2295000,4631,2295000,4631,0,4632,90,
4732,1,4732,978358,84105,4831,2295000,4731,2295000,4731,0,4732,70,
4832,1,4832,978358,84105,4932,2295000,4832,2295000,4831,0,4832,70,
4933,1,4933,1118124,223871,5032,1836000,4932,2295000,4932,0,4933,80,
5045,1,5044,854621,0,5134,1836000,5037,1836000,5037,0,5044,90,
5138,1,5138,759663,0,5234,2295000,5135,1836000,5134,0,5138,80,
5236,1,5235,1397655,503402,5334,1836000,5235,2295000,5234,0,5235,100,
5336,1,5336,949579,55326,5435,2193000,5335,1836000,5335,0,5336,100,
5436,1,5436,903559,9306,5535,2295000,5435,2193000,5435,0,5436,70,
5538,1,5538,838593,0,5635,2295000,5536,2295000,5536,0,5538,60,
5637,1,5637,1118124,223871,5736,2295000,5636,2295000,5636,0,5637,80,
5737,1,5737,1229936,335683,5836,2295000,5736,2295000,5736,0,5737,88,
5837,1,5837,1132100,237847,5937,2295000,5837,2295000,5836,0,5837,81,
5938,1,5938,1229936,335683,6039,2295000,5937,2295000,5937,0,5938,88,
6042,1,6042,1257889,363636,6140,2295000,6041,2295000,6040,0,6042,90,
6141,1,6141,1160053,265800,6240,2295000,6140,2295000,6140,0,6141,83,
6241,1,6241,1257889,363636,6342,1836000,6240,2295000,6240,0,6241,90,
6343,1,6343,854621,0,6442,1836000,6342,1836000,6342,0,6343,90,
6444,1,6444,949579,55326,6542,2295000,6443,1836000,6443,0,6444,100,
6544,1,6544,1397655,503402,6643,2295000,6543,2295000,6543,0,6544,100,
6644,1,6644,628944,0,6744,1428000,6644,2295000,6643,0,6644,45,
6745,1,6745,0,0,6844,1428000,6744,1428000,6744,0,6745,0,
6846,1,6846,167949,0,6945,1428000,6845,1428000,6845,0,6846,27,
6947,1,6947,55983,0,7045,1428000,6946,1428000,6945,0,6946,9,
7047,1,7047,0,0,7146,1428000,7046,1428000,7046,0,7047,0,
7147,1,7147,0,0,7246,1428000,7146,1428000,7146,0,7147,0,
7248,1,7248,0,0,7347,1428000,7247,1428000,7247,0,7248,0,
7348,1,7348,0,0,7448,535500,7347,1428000,7347,0,7348,0,
7452,1,7452,13767,0,7549,612000,7449,535500,7449,0,7452,10,
7553,1,7552,16670,0,7650,1530000,7550,612000,7550,0,7552,10,
7652,1,7652,62791,0,7751,510000,7651,1530000,7650,0,7652,9,
7757,1,7757,0,0,7851,1530000,7753,510000,7752,0,7756,0,
7852,1,7852,174420,0,7952,1530000,7851,1530000,7851,0,7852,25,
7953,1,7953,0,0,8056,1530000,7952,1530000,7952,0,7953,0,
8060,1,8060,0,0,8153,535500,8058,1530000,8058,0,8060,0,
8159,1,8158,0,0,8253,1530000,8155,535500,8154,0,8158,0,
8255,1,8255,0,0,8354,1530000,8254,1530000,8254,0,8255,0,
8356,1,8356,279072,0,8454,1836000,8355,1530000,8355,0,8356,40,
8455,1,8455,417814,0,8555,637500,8455,1836000,8454,0,8455,44,
8562,1,8562,63686,0,8655,1530000,8556,637500,8556,0,8561,36,
8657,1,8657,523260,0,8755,1530000,8656,1530000,8655,0,8656,75,
8757,1,8757,439538,0,8856,510000,8756,1530000,8756,0,8757,63,
8862,1,8862,28274,0,8957,535500,8858,510000,8857,0,8861,22,
8961,1,8961,24781,0,9058,510000,8959,535500,8958,0,8961,18,
9062,1,9062,28274,0,9158,510000,9059,510000,9058,0,9062,22,
9162,1,9161,125582,0,9258,1530000,9160,1530000,9159,0,9161,18,
9260,1,9260,83721,0,9359,586500,9259,1530000,9258,0,9260,12,
9363,1,9362,31354,0,9460,510000,9360,586500,9360,0,9362,20,
9464,1,9464,11566,0,9562,1530000,9461,510000,9461,0,9463,9,
9564,1,9564,125582,0,9663,2193000,9563,1530000,9563,0,9564,18,
9664,1,9664,129079,0,9764,510000,9663,2193000,9663,0,9664,10,
9768,1,9768,11566,0,9864,1530000,9766,510000,9765,0,9768,9,
9865,1,9865,258141,0,9964,1530000,9864,1530000,9864,0,9865,37,
9966,1,9966,125582,0,10065,510000,9965,1530000,9964,0,9965,18,
10072,1,10072,0,0,10165,1530000,10067,510000,10066,0,10071,0,
10167,1,10167,69768,0,10266,510000,10166,1530000,10166,0,10167,10,
10273,1,10273,12852,0,10368,510000,10268,510000,10267,0,10272,10,
10374,1,10373,34700,0,10469,510000,10370,510000,10369,0,10373,27,
10482,1,10481,32130,0,10567,1530000,10478,510000,10476,0,10481,25,
10569,1,10569,83721,0,10669,535500,10568,1530000,10568,0,10569,12,
10674,1,10674,37172,0,10771,510000,10671,535500,10670,0,10674,27,
10793,1,10792,12852,0,10870,1530000,10773,510000,10772,0,10776,10,
10873,1,10873,153489,0,10971,510000,10871,1530000,10871,0,10872,22,
10977,1,10976,12852,0,11072,510000,10973,510000,10972,0,10976,10,
11077,1,11077,0,0,11173,510000,11074,510000,11073,0,11076,0,
11178,1,11178,23133,0,11273,561000,11174,510000,11174,0,11177,18,
11277,1,11276,17651,0,11373,1530000,11274,561000,11274,0,11276,12,
11374,1,11374,139536,0,11474,612000,11373,1530000,11373,0,11374,20,
11478,1,11477,36675,0,11575,586500,11475,612000,11475,0,11477,22,
11578,1,11578,62708,0,11676,510000,11576,586500,11576,0,11578,40,
11682,1,11682,12852,0,11776,1530000,11678,510000,11677,0,11681,10,
11778,1,11778,0,0,11826,561000,11776,1530000,11776,0,11777,0,
11833,1,11832,48541,0,11927,637500,11828,561000,11827,0,11832,33,
11932,1,11931,19459,0,12027,1530000,11929,637500,11928,0,11931,11,
12028,1,12028,69768,0,12128,510000,12027,1530000,12027,0,12028,10,
12133,1,12133,12852,0,12228,561000,12129,510000,12129,0,12132,10,
12232,1,12232,29418,0,12330,510000,12229,561000,12229,0,12232,20,
12336,1,12336,25704,0,12430,1530000,12333,510000,12331,0,12335,20,
12432,1,12431,0,0,12531,586500,12430,1530000,12430,0,12431,0,
12535,1,12535,0,0,12632,510000,12532,586500,12532,0,12534,0,
12636,1,12636,14137,0,12732,510000,12633,510000,12632,0,12636,11,
12736,1,12736,0,0,12832,1530000,12734,510000,12733,0,12736,0,
12835,1,12835,348840,0,12933,1428000,12833,1530000,12833,0,12834,50,
12882,1,12934,167949,0,13034,510000,12933,1428000,12933,0,12934,27,
12934,1,13038,12852,0,13134,1530000,13036,510000,13035,0,13038,10,
13039,1,13136,69768,0,13236,561000,13135,1530000,13135,0,13135,10,
13136,1,13240,0,0,13337,510000,13237,561000,13236,0,13240,0,
13240,1,13341,23133,0,13437,1530000,13338,510000,13337,0,13341,18,
13341,1,13440,174420,0,13538,510000,13438,1530000,13438,0,13439,25,
13440,1,13543,26673,0,13639,714000,13540,612000,13539,0,13543,16,
13544,1,13643,20905,0,13740,586500,13640,714000,13640,0,13642,10,
13643,1,13745,15677,0,13840,1530000,13742,586500,13741,0,13744,10,
13745,1,13842,153489,0,13941,1530000,13841,1530000,13841,0,13842,22,
13843,1,13943,188373,0,14041,1530000,13942,1530000,13941,0,13943,27,
13943,1,14043,139536,0,14144,2295000,14042,1530000,14042,0,14043,20,
14043,1,14145,559062,0,14244,2295000,14145,2295000,14144,0,14145,40,
14145,1,14246,559062,0,14345,2295000,14245,2295000,14245,0,14246,40,
14246,1,14346,1257889,363636,14445,1530000,14345,2295000,14345,0,14346,90,
14346,1,14447,0,0,14547,510000,14446,1530000,14446,0,14447,0,
14447,1,14552,11566,0,14647,637500,14548,510000,14548,0,14551,9,
14552,1,14652,17690,0,14748,510000,14649,637500,14648,0,14652,10,
14652,1,14754,23133,0,14848,1530000,14751,510000,14749,0,14754,18,
14754,1,14850,209303,0,14950,510000,14849,1530000,14848,0,14850,30,
14850,1,14954,38556,0,15050,1530000,14952,510000,14951,0,14954,30,
14955,1,15053,83721,0,15151,510000,15051,1530000,15051,0,15053,12,
15053,1,15154,0,0,15253,510000,15152,510000,15151,0,15154,0,
15155,1,15257,23133,0,15354,510000,15254,510000,15254,0,15257,18,
15257,1,15360,11566,0,15454,612000,15357,510000,15356,0,15360,9,
15361,1,15458,0,0,15555,510000,15456,612000,15455,0,15458,0,
15459,1,15561,11566,0,15656,637500,15557,510000,15556,0,15560,9,
