App,Package,Start Time,Duration,Filename
"System",,"Oct 13, 2018 @ 09:11:06 PM","1 min 6 sec","Trepn_2018.10.13_211105.db"

Time  [ms],"Battery Status",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",
40,1,40,1397655,1075559,87,2295000,39,2295000,39,0,40,100,
90,1,90,838593,516497,188,2295000,88,2295000,88,0,90,60,
189,1,189,922452,600356,290,2091000,188,2295000,188,0,189,66,
291,1,291,748506,426410,390,2295000,290,2091000,290,0,291,63,
391,1,391,279531,0,490,1530000,390,2295000,390,0,391,20,
493,1,492,83721,0,590,1530000,491,1530000,491,0,492,12,
593,1,592,251164,0,697,510000,591,1530000,591,0,592,36,
717,1,714,286048,0,793,1530000,703,1530000,701,0,711,41,
819,1,819,293025,0,893,1836000,797,1530000,795,0,818,42,
895,1,895,949579,627483,993,2295000,894,1836000,894,0,895,100,
995,1,995,1118124,796028,1094,2295000,994,2295000,994,0,994,80,
1095,1,1095,419296,97200,1195,510000,1094,2295000,1094,0,1095,30,
1215,1,1215,33341,0,1295,1530000,1200,612000,1198,0,1212,20,
1297,1,1297,83721,0,1396,1530000,1296,1530000,1295,0,1297,12,
1399,1,1399,188373,0,1496,2295000,1396,1530000,1396,0,1399,27,
1497,1,1497,1229936,907840,1597,2295000,1497,2295000,1496,0,1497,88,
1598,1,1598,1397655,1075559,1697,2295000,1597,2295000,1597,0,1598,100,
1698,1,1698,698827,376731,1798,1530000,1698,2295000,1697,0,1698,50,
1802,1,1801,313955,0,1899,1530000,1799,1530000,1799,0,1800,45,
1901,1,1901,502329,180233,1999,1734000,1899,1530000,1899,0,1900,72,
2001,1,2001,663317,341221,2099,2295000,2000,1734000,2000,0,2001,77,
2101,1,2101,1397655,1075559,2200,2295000,2100,2295000,2100,0,2101,100,
2202,1,2202,1257889,935793,2300,2295000,2201,2295000,2200,0,2201,90,
2302,1,2302,1397655,1075559,2401,2295000,2301,2295000,2301,0,2302,100,
2404,1,2402,1397655,1075559,2501,2295000,2401,2295000,2401,0,2402,100,
2503,1,2502,978358,656262,2602,2295000,2502,2295000,2501,0,2502,70,
2603,1,2603,1397655,1075559,2702,2295000,2603,2295000,2602,0,2603,100,
2704,1,2704,1397655,1075559,2802,2295000,2702,2295000,2702,0,2704,100,
2804,1,2804,1397655,1075559,2903,2295000,2803,2295000,2803,0,2804,100,
2906,1,2906,1397655,1075559,3003,2295000,2904,2295000,2904,0,2906,100,
3018,1,3018,1397655,1075559,3104,2295000,3003,2295000,3003,0,3017,100,
3106,1,3106,1257889,935793,3204,2295000,3105,2295000,3104,0,3106,90,
3205,1,3205,922452,600356,3305,2295000,3204,2295000,3204,0,3205,66,
3306,1,3306,1257889,935793,3405,2295000,3305,2295000,3305,0,3306,90,
3406,1,3406,1132100,810004,3505,2295000,3405,2295000,3405,0,3406,81,
3511,1,3507,880522,558426,3606,2295000,3506,2295000,3506,0,3507,63,
3610,1,3609,419296,97200,3706,2295000,3606,2295000,3606,0,3607,30,
3709,1,3709,531108,209012,3807,2295000,3707,2295000,3707,0,3708,38,
3813,1,3813,307484,0,3908,2295000,3807,2295000,3807,0,3813,22,
3909,1,3909,964381,642285,4008,2295000,3908,2295000,3908,0,3909,69,
4011,1,4011,978358,656262,4109,2295000,4010,2295000,4008,0,4011,70,
4110,1,4110,838593,516497,4209,2295000,4109,2295000,4109,0,4110,60,
4210,1,4210,153742,0,4310,2295000,4210,2295000,4209,0,4210,11,
4311,1,4311,559062,236966,4413,2295000,4311,2295000,4310,0,4311,40,
4414,1,4414,1229936,907840,4514,2295000,4414,2295000,4414,0,4414,88,
4516,1,4516,1257889,935793,4615,2295000,4515,2295000,4514,0,4516,90,
4624,1,4624,1397655,1075559,4715,2295000,4616,2295000,4616,0,4619,100,
4716,1,4716,698827,376731,4815,2295000,4716,2295000,4715,0,4716,50,
4817,1,4817,153742,0,4916,2295000,4816,2295000,4816,0,4817,11,
4919,1,4919,503155,181059,5016,2295000,4917,2295000,4917,0,4919,36,
5019,1,5019,796663,474567,5117,2295000,5017,2295000,5017,0,5019,57,
5119,1,5119,1397655,1075559,5218,2091000,5118,2295000,5118,0,5119,100,
5220,1,5220,950484,628388,5319,2295000,5219,2091000,5219,0,5220,80,
5320,1,5320,1229936,907840,5420,2295000,5319,2295000,5319,0,5320,88,
5422,1,5422,1076194,754098,5520,2014500,5421,2295000,5421,0,5422,77,
5521,1,5521,1002435,680339,5620,2295000,5520,2014500,5520,0,5521,90,
5622,1,5622,922452,600356,5721,2295000,5621,2295000,5620,0,5622,66,
5722,1,5722,1257889,935793,5822,2295000,5721,2295000,5721,0,5722,90,
5828,1,5827,698827,376731,5922,2295000,5823,2295000,5822,0,5826,50,
5925,1,5924,1006311,684215,6022,2295000,5922,2295000,5922,0,5924,72,
6025,1,6025,1188006,865910,6122,2295000,6022,2295000,6022,0,6025,85,
6124,1,6124,866546,544450,6223,2295000,6123,2295000,6123,0,6124,62,
6224,1,6224,978358,656262,6323,2295000,6223,2295000,6223,0,6224,70,
