App,Package,Start Time,Duration,Filename
"System",,"Oct 10, 2018 @ 12:59:37 AM","1 min 6 sec","Trepn_2018.10.10_005935.db"

Time  [ms],"Battery Status",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",
14,1,14,1257889,390441,93,2295000,12,2295000,10,0,14,90,
94,1,94,1076194,208746,193,2295000,93,2295000,93,0,94,77,
195,1,195,1076194,208746,294,2295000,194,2295000,193,0,194,77,
295,1,295,740757,0,394,1530000,294,2295000,294,0,295,53,
396,1,396,153489,0,494,1836000,395,1530000,394,0,395,22,
496,1,496,313361,0,598,1530000,495,1836000,495,0,496,33,
602,1,602,439538,0,696,2295000,600,1530000,599,0,602,63,
698,1,698,1397655,530207,796,1938000,696,2295000,696,0,698,100,
800,1,800,1041868,174420,897,2295000,797,1938000,797,0,800,100,
898,1,898,1397655,530207,997,2295000,897,2295000,897,0,898,100,
998,1,998,1397655,530207,1097,2091000,997,2295000,997,0,998,100,
1099,1,1099,1188106,320658,1198,2295000,1098,2091000,1098,0,1099,100,
1199,1,1199,1397655,530207,1298,2295000,1198,2295000,1198,0,1199,100,
1300,1,1300,1397655,530207,1398,2295000,1298,2295000,1298,0,1299,100,
1400,1,1400,1118124,250676,1499,2295000,1399,2295000,1399,0,1400,80,
1501,1,1501,1397655,530207,1599,2295000,1499,2295000,1499,0,1501,100,
1601,1,1601,978358,110910,1699,2295000,1599,2295000,1599,0,1601,70,
1702,1,1702,1397655,530207,1800,2295000,1700,2295000,1700,0,1701,100,
1803,1,1803,1132100,264652,1901,2295000,1802,2295000,1801,0,1803,81,
1902,1,1902,1397655,530207,2001,2295000,1901,2295000,1901,0,1902,100,
2002,1,2002,978358,110910,2102,2295000,2002,2295000,2001,0,2002,70,
2103,1,2103,1229936,362488,2202,2295000,2102,2295000,2102,0,2103,88,
2204,1,2204,1257889,390441,2304,2295000,2203,2295000,2203,0,2204,90,
2307,1,2307,1076194,208746,2404,2295000,2305,2295000,2305,0,2307,77,
2411,1,2411,1132100,264652,2504,2295000,2410,2295000,2409,0,2411,81,
2505,1,2505,1118124,250676,2605,2295000,2505,2295000,2504,0,2505,80,
2606,1,2606,1257889,390441,2709,2295000,2605,2295000,2605,0,2606,90,
2711,1,2711,1397655,530207,2811,2295000,2710,2295000,2709,0,2711,100,
2812,1,2812,1397655,530207,2912,2295000,2811,2295000,2811,0,2812,100,
2913,1,2913,1229936,362488,3012,2295000,2913,2295000,2912,0,2913,88,
3014,1,3014,419296,0,3113,2295000,3013,2295000,3013,0,3014,30,
