App,Package,Start Time,Duration,Filename
"System",,"Oct 13, 2018 @ 11:01:27 PM","1 min 6 sec","Trepn_2018.10.13_230126.db"

Time  [ms],"Battery Status",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",
71,1,71,1076194,632486,69,2295000,70,2295000,70,0,71,77,
171,1,171,1257889,814181,170,2295000,170,2295000,170,0,171,90,
271,1,271,1257889,814181,270,2295000,270,2295000,270,0,271,90,
371,1,371,978358,534650,370,2295000,371,2295000,370,0,371,70,
472,1,472,439599,0,470,2091000,471,2091000,471,0,472,37,
580,1,579,64260,0,572,510000,574,510000,573,0,578,50,
675,1,674,558144,114436,672,1530000,673,1530000,673,0,674,80,
783,1,782,1006311,562603,774,2295000,775,2295000,775,0,778,72,
877,1,876,1397655,953947,875,2295000,875,2295000,875,0,876,100,
977,1,977,1397655,953947,975,2295000,976,2295000,976,0,977,100,
1077,1,1077,1397655,953947,1076,2295000,1076,2295000,1076,0,1077,100,
1177,1,1177,1397655,953947,1176,2295000,1177,2295000,1176,0,1177,100,
1278,1,1278,1397655,953947,1276,2295000,1277,2295000,1277,0,1278,100,
1379,1,1379,1397655,953947,1377,2295000,1379,2295000,1377,0,1379,100,
1478,1,1478,1397655,953947,1477,2295000,1477,2295000,1477,0,1478,100,
1580,1,1580,1397655,953947,1578,2295000,1579,2295000,1578,0,1580,100,
1680,1,1680,866546,422838,1678,2295000,1679,2295000,1679,0,1680,62,
1780,1,1780,1160053,716345,1779,2295000,1780,2295000,1779,0,1780,83,
1881,1,1881,1229936,786228,1879,2295000,1880,2295000,1880,0,1881,88,
1981,1,1981,1397655,953947,1980,2295000,1980,2295000,1980,0,1981,100,
2095,1,2095,1397655,953947,2094,2295000,2094,2295000,2094,0,2095,100,
2195,1,2195,978358,534650,2194,2295000,2194,2295000,2194,0,2195,70,
2296,1,2296,1132100,688392,2294,2295000,2295,2295000,2295,0,2295,81,
2396,1,2396,1006311,562603,2395,2295000,2395,2295000,2395,0,2396,72,
2497,1,2497,559062,115354,2495,2295000,2496,2295000,2496,0,2497,40,
2597,1,2597,880522,436814,2596,2295000,2596,2295000,2596,0,2597,63,
2697,1,2697,768710,325002,2696,2295000,2696,2295000,2696,0,2697,55,
2799,1,2799,349413,0,2797,2295000,2797,2295000,2797,0,2798,25,
2898,1,2898,419296,0,2897,2295000,2898,2295000,2898,0,2898,30,
2999,1,2999,391343,0,2998,2295000,2998,2295000,2998,0,2999,28,
3101,1,3101,978358,534650,3099,2295000,3100,2295000,3100,0,3100,70,
3201,1,3201,1397655,953947,3200,2295000,3201,2295000,3200,0,3201,100,
3302,1,3302,1397655,953947,3301,2295000,3302,2295000,3302,0,3302,100,
3403,1,3403,978358,534650,3402,2295000,3402,2295000,3402,0,3403,70,
3504,1,3504,279531,0,3503,2295000,3503,2295000,3503,0,3504,20,
3604,1,3604,307484,0,3603,2295000,3603,2295000,3603,0,3604,22,
3704,1,3704,838593,394885,3703,2295000,3704,2295000,3704,0,3704,60,
3805,1,3805,1257889,814181,3804,2295000,3804,2295000,3804,0,3805,90,
3905,1,3905,1397655,953947,3904,2295000,3904,2295000,3904,0,3905,100,
4006,1,4005,1397655,953947,4004,2295000,4005,2295000,4005,0,4005,100,
4107,1,4107,1397655,953947,4105,2295000,4106,2295000,4106,0,4107,100,
4209,1,4209,1229936,786228,4206,2295000,4208,2295000,4208,0,4209,88,
4309,1,4309,698827,255119,4306,2295000,4308,2295000,4307,0,4309,50,
4410,1,4409,922452,478744,4408,2295000,4408,2295000,4408,0,4409,66,
4514,1,4514,1118124,674416,4508,2295000,4513,2295000,4508,0,4514,80,
4612,1,4612,880522,436814,4611,2295000,4611,2295000,4611,0,4612,63,
4713,1,4713,279531,0,4712,2295000,4712,2295000,4712,0,4713,20,
4818,1,4818,614968,171260,4817,2295000,4817,2295000,4817,0,4818,44,
4918,1,4918,419296,0,4917,2295000,4917,2295000,4917,0,4918,30,
5019,1,5019,962366,518658,5018,2091000,5018,2091000,5018,0,5019,81,
5119,1,5119,1257889,814181,5118,2295000,5118,2295000,5118,0,5119,90,
5219,1,5219,1397655,953947,5218,2295000,5218,2295000,5218,0,5219,100,
5320,1,5319,978358,534650,5318,2295000,5319,2295000,5319,0,5319,70,
5424,1,5424,1397655,953947,5423,2295000,5423,2295000,5423,0,5424,100,
5521,1,5521,559062,115354,5520,2295000,5520,2295000,5520,0,5521,40,
5622,1,5622,1397655,953947,5620,2295000,5621,2295000,5621,0,5622,100,
5722,1,5722,1397655,953947,5720,2295000,5721,2295000,5721,0,5722,100,
5822,1,5822,1397655,953947,5821,2295000,5821,2295000,5821,0,5822,100,
5924,1,5924,1257889,814181,5922,2295000,5923,2295000,5923,0,5924,90,
6024,1,6024,614968,171260,6023,2295000,6023,2295000,6023,0,6024,44,
6125,1,6125,569747,126039,6123,1836000,6124,1836000,6124,0,6125,60,
6225,1,6225,567951,124243,6224,2193000,6224,2193000,6224,0,6225,44,
6327,1,6327,621987,178279,6325,1632000,6325,1632000,6325,0,6327,80,
6427,1,6427,612599,168891,6425,2014500,6426,2014500,6426,0,6427,55,
6527,1,6527,388742,0,6526,1632000,6526,1632000,6526,0,6527,50,
6628,1,6628,558144,114436,6626,1530000,6627,1530000,6627,0,6628,80,
6728,1,6728,376747,0,6726,1530000,6727,1530000,6727,0,6728,54,
6829,1,6829,385662,0,6827,1428000,6828,1428000,6828,0,6829,62,
6932,1,6932,376747,0,6929,1530000,6929,1530000,6929,0,6932,54,
7031,1,7031,335899,0,7029,1428000,7030,1428000,7030,0,7031,54,
7136,1,7136,460468,16760,7130,1530000,7130,1530000,7130,0,7131,66,
7240,1,7240,559789,116081,7230,1632000,7231,1632000,7230,0,7239,72,
7333,1,7333,523260,79552,7330,1530000,7331,1530000,7331,0,7332,75,
7434,1,7434,537213,93505,7431,1530000,7431,1530000,7431,0,7433,77,
7535,1,7534,460468,16760,7531,1530000,7532,1530000,7532,0,7534,66,
7634,1,7634,544239,100531,7632,1632000,7632,1632000,7632,0,7634,70,
7734,1,7734,153489,0,7732,1530000,7733,1530000,7732,0,7734,22,
7835,1,7835,573027,129319,7833,1938000,7834,1938000,7834,0,7835,55,
7941,1,7941,55013,0,7934,612000,7935,612000,7935,0,7940,33,
8037,1,8037,230234,0,8036,1530000,8036,1530000,8036,0,8037,33,
8145,1,8145,83721,0,8136,1530000,8137,1530000,8136,0,8145,12,
8239,1,8239,348840,0,8238,1530000,8238,1530000,8238,0,8239,50,
