App,Package,Start Time,Duration,Filename
"System",,"Oct 10, 2018 @ 09:07:16 PM","1 min 5 sec","Trepn_2018.10.10_210715.db"

Time  [ms],"Battery Status",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",
54,1,54,1257889,779480,35,2193000,53,2295000,53,0,54,90,
139,1,137,1118124,639715,135,2295000,136,2295000,136,0,137,80,
238,1,238,1076194,597785,236,2295000,237,2295000,237,0,238,77,
341,1,341,1215959,737550,336,2295000,337,2295000,337,0,341,87,
439,1,439,1257889,779480,437,2295000,438,2295000,437,0,438,90,
539,1,539,1076194,597785,537,2295000,538,2295000,538,0,539,77,
640,1,640,1397655,919246,639,2295000,639,2295000,639,0,640,100,
739,1,739,1397655,919246,738,2295000,739,2295000,738,0,739,100,
848,1,848,1397655,919246,840,2295000,840,2295000,840,0,848,100,
893,1,893,1048241,569832,890,2295000,891,2295000,891,0,893,75,
992,1,992,461226,0,991,2295000,991,2295000,991,0,992,33,
1092,1,1092,838593,360184,1091,2295000,1091,2295000,1091,0,1092,60,
1193,1,1193,1118124,639715,1192,2295000,1192,2295000,1192,0,1193,80,
1295,1,1295,1397655,919246,1292,2295000,1293,2295000,1293,0,1295,100,
1394,1,1394,698827,220418,1392,2295000,1393,2295000,1393,0,1394,50,
1494,1,1494,1160053,681644,1493,2295000,1493,2295000,1493,0,1494,83,
1595,1,1595,1397655,919246,1594,2295000,1594,2295000,1594,0,1595,100,
1698,1,1698,1397655,919246,1695,2295000,1695,2295000,1695,0,1697,100,
1797,1,1797,1397655,919246,1795,2295000,1795,2295000,1795,0,1797,100,
1898,1,1898,1397655,919246,1896,2295000,1896,2295000,1896,0,1897,100,
1999,1,1999,1397655,919246,1995,2295000,1998,2295000,1997,0,1999,100,
2105,1,2104,1397655,919246,2098,2295000,2102,2295000,2098,0,2104,100,
2200,1,2200,1397655,919246,2198,2295000,2199,2295000,2199,0,2199,100,
2301,1,2301,1397655,919246,2299,2295000,2300,2295000,2300,0,2301,100,
2401,1,2401,1257889,779480,2400,2295000,2400,2295000,2400,0,2401,90,
2511,1,2510,1397655,919246,2507,2295000,2508,2295000,2508,0,2510,100,
2609,1,2609,1397655,919246,2608,2295000,2608,2295000,2608,0,2609,100,
2734,1,2718,1397655,919246,2709,2295000,2717,2295000,2710,0,2718,100,
2811,1,2810,1397655,919246,2809,2295000,2810,2295000,2809,0,2810,100,
2911,1,2911,1397655,919246,2910,2295000,2910,2295000,2910,0,2911,100,
3011,1,3011,1397655,919246,3010,2295000,3011,2295000,3010,0,3011,100,
3112,1,3112,1397655,919246,3110,2295000,3111,2295000,3111,0,3112,100,
3213,1,3213,1397655,919246,3211,2295000,3212,2295000,3212,0,3212,100,
3313,1,3313,1397655,919246,3311,2295000,3312,2295000,3312,0,3313,100,
3414,1,3414,1397655,919246,3412,2295000,3413,2295000,3413,0,3414,100,
3513,1,3513,1397655,919246,3512,2295000,3512,2295000,3512,0,3513,100,
3614,1,3614,1397655,919246,3612,2295000,3613,2295000,3612,0,3614,100,
3716,1,3716,1397655,919246,3715,2295000,3715,2295000,3715,0,3716,100,
3816,1,3816,1397655,919246,3815,2295000,3815,2295000,3815,0,3816,100,
3917,1,3917,1397655,919246,3915,2295000,3916,2295000,3916,0,3917,100,
4020,1,4020,1397655,919246,4017,2295000,4018,2295000,4018,0,4020,100,
4120,1,4120,1397655,919246,4117,2295000,4119,2295000,4118,0,4120,100,
4222,1,4222,1397655,919246,4217,2295000,4219,2295000,4219,0,4222,100,
4318,1,4318,1118124,639715,4317,2295000,4318,2295000,4317,0,4318,80,
4419,1,4419,349413,0,4418,2295000,4418,2295000,4418,0,4419,25,
4521,1,4520,153489,0,4519,1530000,4519,1530000,4519,0,4520,22,
4620,1,4620,341848,0,4619,1836000,4619,1836000,4619,0,4620,36,
4721,1,4720,313955,0,4719,1530000,4720,1530000,4719,0,4720,45,
4821,1,4821,258141,0,4819,1530000,4820,1530000,4820,0,4821,37,
4921,1,4921,69768,0,4920,1530000,4920,1530000,4920,0,4921,10,
5022,1,5022,348840,0,5020,1530000,5021,1530000,5021,0,5022,50,
5122,1,5122,891079,412670,5121,2091000,5121,2091000,5121,0,5122,75,
5222,1,5222,0,0,5221,1530000,5222,1530000,5221,0,5222,0,
5323,1,5323,348840,0,5322,1530000,5322,1530000,5322,0,5323,50,
5423,1,5423,341848,0,5422,1836000,5423,1836000,5422,0,5423,36,
5524,1,5524,230234,0,5523,1530000,5523,1530000,5523,0,5524,33,
5624,1,5624,322699,0,5623,2193000,5624,2193000,5624,0,5624,25,
5725,1,5725,130691,0,5724,2091000,5725,2091000,5724,0,5725,11,
5826,1,5826,629696,151287,5825,2091000,5826,2091000,5825,0,5826,53,
5928,1,5928,810639,332230,5925,2295000,5926,2295000,5926,0,5927,58,
6027,1,6027,978358,499949,6026,2295000,6026,2295000,6026,0,6027,70,
6127,1,6127,645399,166990,6126,2193000,6127,2193000,6126,0,6127,50,
