App,Package,Start Time,Duration,Filename
"System",,"Oct 10, 2018 @ 10:02:25 PM","1 min 5 sec","Trepn_2018.10.10_220224.db"

Time  [ms],"Battery Status",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",
49,1,49,1187535,802389,30,2193000,48,2193000,47,0,49,92,
132,1,131,1048241,663095,130,2295000,130,2295000,130,0,131,75,
232,1,232,698827,313681,231,2295000,231,2295000,231,0,232,50,
332,1,332,0,0,331,2295000,331,2295000,331,0,332,0,
433,1,433,313361,0,431,1836000,432,1836000,432,0,433,33,
533,1,533,0,0,532,1530000,532,1530000,532,0,533,0,
585,1,584,279072,0,582,1530000,583,1530000,582,0,584,40,
684,1,683,93298,0,682,1632000,683,1632000,682,0,683,12,
784,1,784,404654,19508,782,1530000,783,1530000,783,0,784,58,
890,1,890,1397655,1012509,888,2295000,889,2295000,889,0,890,100,
990,1,990,419296,34150,989,2295000,989,2295000,989,0,990,30,
1095,1,1095,460468,75322,1089,1530000,1092,1530000,1091,0,1094,66,
1208,1,1205,83446,0,1193,663000,1199,765000,1195,0,1203,36,
1302,1,1302,1257889,872743,1293,2295000,1297,2295000,1296,0,1300,90,
1396,1,1396,1397655,1012509,1393,2295000,1394,2295000,1394,0,1394,100,
1495,1,1495,922452,537306,1494,2295000,1494,2295000,1494,0,1495,66,
1595,1,1595,838593,453447,1594,2295000,1594,2295000,1594,0,1595,60,
1696,1,1695,698827,313681,1694,2295000,1695,2295000,1695,0,1695,50,
1819,1,1818,313955,0,1810,510000,1811,1530000,1810,0,1817,45,
1899,1,1899,779671,394525,1896,2014500,1897,2014500,1897,0,1899,70,
1998,1,1998,306979,0,1996,1530000,1996,1530000,1996,0,1998,44,
2100,1,2100,76744,0,2096,510000,2099,1530000,2098,0,2100,11,
2212,1,2212,52317,0,2198,535500,2201,535500,2200,0,2210,38,
2308,1,2308,835629,450483,2304,1836000,2305,1836000,2304,0,2308,88,
2407,1,2407,376747,0,2405,1530000,2406,1530000,2406,0,2407,54,
2509,1,2509,93684,0,2506,994500,2507,994500,2506,0,2509,27,
2608,1,2608,348840,0,2606,1530000,2607,1530000,2606,0,2608,50,
2711,1,2711,279072,0,2707,1530000,2709,1530000,2708,0,2711,40,
2808,1,2808,171046,0,2807,1632000,2807,1632000,2807,0,2808,22,
2910,1,2910,306979,0,2907,1530000,2908,1530000,2908,0,2909,44,
3009,1,3009,580859,195713,3007,2193000,3008,2193000,3008,0,3009,45,
3109,1,3109,978358,593212,3108,2295000,3108,2295000,3108,0,3109,70,
3209,1,3209,838593,453447,3208,2295000,3209,2295000,3208,0,3209,60,
3312,1,3312,1257889,872743,3308,2295000,3309,2295000,3309,0,3311,90,
3410,1,3410,1257889,872743,3409,2295000,3409,2295000,3409,0,3410,90,
3510,1,3510,698827,313681,3509,2295000,3509,2295000,3509,0,3510,50,
3611,1,3611,922452,537306,3610,2295000,3610,2295000,3610,0,3611,66,
