App,Package,Start Time,Duration,Filename
"System",,"Oct 8, 2018 @ 09:59:28 PM","1 min 5 sec","Trepn_2018.10.08_215927.db"

Time  [ms],"Battery Status",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",
40,1,40,1041868,342153,12,1938000,39,1938000,39,0,40,100,
115,1,115,949579,249864,114,1836000,114,1836000,114,0,115,100,
219,1,219,1257889,558174,214,2295000,214,2295000,214,0,218,90,
315,1,315,768710,68995,314,2295000,315,2295000,314,0,315,55,
416,1,416,419296,0,415,2295000,416,2295000,415,0,416,30,
517,1,517,230234,0,515,1530000,516,1530000,516,0,517,33,
622,1,620,57988,0,616,1224000,617,1224000,616,0,619,12,
719,1,718,759663,59948,716,1836000,717,1836000,717,0,718,80,
819,1,819,949579,249864,817,1836000,818,1836000,818,0,819,100,
921,1,921,1397655,697940,920,2295000,920,2295000,920,0,921,100,
1022,1,1021,1397655,697940,1020,2295000,1021,2295000,1020,0,1021,100,
1122,1,1122,683697,0,1120,1836000,1121,1836000,1121,0,1122,72,
1224,1,1223,1397655,697940,1221,2295000,1222,2295000,1222,0,1223,100,
1324,1,1324,1397655,697940,1322,2295000,1322,2295000,1322,0,1324,100,
1425,1,1425,949579,249864,1423,1836000,1424,1836000,1424,0,1425,100,
1527,1,1527,1257889,558174,1526,2295000,1526,2295000,1526,0,1527,90,
1628,1,1628,474789,0,1626,1836000,1627,1836000,1627,0,1628,50,
1729,1,1729,769159,69444,1727,1836000,1728,1836000,1728,0,1729,81,
1830,1,1829,1132100,432385,1828,2295000,1829,2295000,1829,0,1829,81,
1934,1,1934,759663,59948,1929,1836000,1930,1836000,1929,0,1933,80,
2037,1,2037,1397655,697940,2030,2193000,2036,2295000,2030,0,2037,100,
2131,1,2131,949579,249864,2129,1836000,2130,1836000,2130,0,2131,100,
2235,1,2235,1397655,697940,2231,2295000,2231,2295000,2231,0,2234,100,
2336,1,2334,949579,249864,2331,1836000,2332,1836000,2331,0,2334,100,
2438,1,2438,922452,222737,2432,2295000,2432,2295000,2432,0,2437,66,
2536,1,2535,759663,59948,2532,1836000,2533,1836000,2532,0,2535,80,
2645,1,2644,769159,69444,2633,1836000,2639,1836000,2639,0,2644,81,
2735,1,2735,588739,0,2733,1836000,2734,1836000,2734,0,2735,62,
2845,1,2845,731175,31460,2834,1836000,2835,1836000,2834,0,2845,77,
2943,1,2943,683697,0,2939,1836000,2939,1836000,2939,0,2943,72,
3043,1,3043,664705,0,3039,1836000,3040,1836000,3040,0,3042,70,
3142,1,3142,949579,249864,3140,1836000,3140,1836000,3140,0,3141,100,
3242,1,3242,712184,12469,3240,1836000,3241,1836000,3240,0,3242,75,
3346,1,3346,626722,0,3343,1836000,3344,1836000,3344,0,3346,66,
3445,1,3445,854621,154906,3443,1836000,3443,1836000,3443,0,3444,90,
3546,1,3546,569747,0,3543,1836000,3544,1836000,3543,0,3546,60,
3647,1,3647,653458,0,3643,2091000,3645,2091000,3644,0,3647,55,
3745,1,3745,843913,144198,3744,1938000,3744,1938000,3744,0,3745,81,
3846,1,3846,683697,0,3844,1836000,3845,1836000,3844,0,3846,72,
3947,1,3947,949579,249864,3944,1836000,3945,1836000,3945,0,3946,100,
4046,1,4046,1257889,558174,4045,2295000,4045,2295000,4045,0,4046,90,
4147,1,4147,1032639,332924,4145,2193000,4146,2193000,4146,0,4147,80,
4247,1,4247,664705,0,4246,1836000,4246,1836000,4246,0,4247,70,
4350,1,4350,427310,0,4346,1836000,4348,1836000,4347,0,4349,45,
4449,1,4449,1069295,369580,4447,2091000,4448,2091000,4448,0,4449,90,
4549,1,4549,1257889,558174,4548,2295000,4548,2295000,4548,0,4549,90,
4650,1,4650,949579,249864,4648,1836000,4649,1836000,4649,0,4650,100,
4752,1,4752,854621,154906,4750,1836000,4750,1836000,4750,0,4751,90,
4851,1,4851,826133,126418,4849,1836000,4850,1836000,4850,0,4851,87,
4954,1,4954,1290799,591084,4951,1836000,4953,2193000,4953,0,4954,100,
5053,1,5053,1229936,530221,5051,2295000,5052,2295000,5052,0,5053,88,
5181,1,5181,854621,154906,5152,1836000,5155,1836000,5154,0,5180,90,
5253,1,5253,1397655,697940,5252,2295000,5252,2295000,5252,0,5253,100,
5354,1,5353,949579,249864,5352,1836000,5353,1836000,5353,0,5353,100,
5454,1,5454,949579,249864,5453,1836000,5453,1836000,5453,0,5454,100,
5555,1,5555,1188106,488391,5553,2091000,5554,2091000,5554,0,5554,100,
5656,1,5656,664705,0,5654,1836000,5655,1836000,5654,0,5656,70,
5756,1,5756,854621,154906,5754,1836000,5755,1836000,5755,0,5756,90,
5856,1,5856,949579,249864,5854,1836000,5855,1836000,5855,0,5856,100,
5958,1,5958,854621,154906,5955,1836000,5957,1836000,5957,0,5958,90,
6058,1,6058,949579,249864,6056,1836000,6057,1836000,6056,0,6057,100,
6181,1,6181,949579,249864,6179,1836000,6179,1836000,6179,0,6181,100,
6237,1,6237,807142,107427,6231,1836000,6232,1836000,6232,0,6236,85,
6340,1,6340,712184,12469,6333,1836000,6338,1836000,6333,0,6340,75,
6436,1,6436,769159,69444,6433,1836000,6434,1836000,6433,0,6436,81,
6536,1,6536,949579,249864,6534,1836000,6535,1836000,6535,0,6536,100,
6640,1,6640,854621,154906,6635,1836000,6637,1836000,6635,0,6639,90,
6736,1,6736,1397655,697940,6735,2295000,6735,2295000,6735,0,6736,100,
6837,1,6837,949579,249864,6836,1836000,6836,1836000,6836,0,6837,100,
6939,1,6939,1397655,697940,6936,2295000,6938,2295000,6938,0,6939,100,
7038,1,7038,1397655,697940,7036,2295000,7037,2295000,7037,0,7038,100,
7143,1,7143,949579,249864,7141,1836000,7141,1836000,7141,0,7143,100,
7242,1,7242,1257889,558174,7241,2295000,7242,2295000,7241,0,7242,90,
7343,1,7343,835629,135914,7342,1836000,7342,1836000,7342,0,7343,88,
7443,1,7443,731175,31460,7442,1836000,7442,1836000,7442,0,7443,77,
7544,1,7544,835629,135914,7543,1836000,7543,1836000,7543,0,7544,88,
7644,1,7644,937681,237966,7643,1938000,7643,1938000,7643,0,7644,90,
7744,1,7744,1069295,369580,7743,2091000,7744,2091000,7743,0,7744,90,
7848,1,7848,854621,154906,7847,1836000,7847,1836000,7847,0,7848,90,
7950,1,7950,949579,249864,7948,1836000,7948,1836000,7948,0,7949,100,
8050,1,8050,588739,0,8048,1836000,8049,1836000,8049,0,8050,62,
8153,1,8153,759663,59948,8152,1836000,8153,1836000,8152,0,8153,80,
8254,1,8254,474789,0,8252,1836000,8253,1836000,8253,0,8254,50,
8355,1,8355,306979,0,8353,1530000,8354,1530000,8354,0,8355,44,
8455,1,8455,404654,0,8454,1530000,8454,1530000,8454,0,8455,58,
8559,1,8559,474789,0,8557,1836000,8558,1836000,8557,0,8558,50,
8660,1,8660,835629,135914,8658,1836000,8659,1836000,8658,0,8659,88,
