App,Package,Start Time,Duration,Filename
"System",,"Oct 9, 2018 @ 10:34:50 PM","1 min 5 sec","Trepn_2018.10.09_223449.db"

Time  [ms],"Battery Status",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",
5,1,5,1033652,269151,58,2091000,3,2091000,3,0,5,87,
67,1,67,1188106,423605,158,2295000,58,2091000,58,0,66,100,
159,1,159,1397655,633154,258,2295000,158,2295000,158,0,159,100,
260,1,260,1006311,241810,359,2295000,259,2295000,259,0,259,72,
360,1,360,922452,157951,462,2295000,359,2295000,359,0,360,66,
463,1,463,1076194,311693,562,2295000,462,2295000,462,0,463,77,
564,1,564,1229936,465435,664,2295000,563,2295000,563,0,564,88,
666,1,666,1397655,633154,770,2295000,664,2295000,664,0,666,100,
771,1,771,978358,213857,864,2295000,770,2295000,770,0,771,70,
866,1,866,1397655,633154,969,2091000,865,2295000,865,0,865,100,
970,1,970,1069295,304794,1069,2295000,969,2091000,969,0,970,90,
1071,1,1071,698827,0,1170,2295000,1070,2295000,1070,0,1071,50,
1171,1,1171,1229936,465435,1271,2295000,1170,2295000,1170,0,1171,88,
1273,1,1273,1062217,297716,1372,2295000,1272,2295000,1272,0,1273,76,
1375,1,1375,922452,157951,1476,2295000,1373,2295000,1373,0,1375,66,
1478,1,1478,1118124,353623,1577,2295000,1477,2295000,1476,0,1478,80,
1578,1,1578,1397655,633154,1677,2295000,1577,2295000,1577,0,1578,100,
1678,1,1678,1397655,633154,1781,2295000,1678,2295000,1677,0,1678,100,
1784,1,1784,1188106,423605,1882,1938000,1782,2091000,1782,0,1784,100,
1883,1,1883,1397655,633154,1981,2295000,1882,2295000,1882,0,1883,100,
1983,1,1983,1397655,633154,2082,2295000,1982,2295000,1982,0,1983,100,
2094,1,2085,1397655,633154,2183,2295000,2084,2295000,2083,0,2085,100,
2185,1,2185,1397655,633154,2283,2295000,2183,2295000,2183,0,2185,100,
2284,1,2284,1397655,633154,2383,2295000,2283,2295000,2283,0,2284,100,
2385,1,2385,1257889,493388,2484,2295000,2384,2295000,2384,0,2385,90,
2485,1,2485,1397655,633154,2584,2295000,2484,2295000,2484,0,2485,100,
2585,1,2585,1397655,633154,2684,2295000,2584,2295000,2584,0,2585,100,
2685,1,2685,614968,0,2785,2295000,2685,2295000,2685,0,2685,44,
2786,1,2786,614968,0,2885,1530000,2785,2295000,2785,0,2786,44,
2887,1,2887,230234,0,2985,1530000,2886,1530000,2886,0,2887,33,
2987,1,2987,139536,0,3086,1530000,2986,1530000,2986,0,2987,20,
3088,1,3088,258141,0,3187,1530000,3087,1530000,3087,0,3088,37,
3189,1,3188,251164,0,3287,1530000,3187,1530000,3187,0,3188,36,
3288,1,3288,174420,0,3388,1428000,3288,1530000,3287,0,3288,25,
3390,1,3390,230153,0,3488,1530000,3388,1428000,3388,0,3390,37,
3489,1,3489,279072,0,3588,1530000,3488,1530000,3488,0,3489,40,
3591,1,3591,83721,0,3689,637500,3589,1530000,3588,0,3589,12,
3694,1,3694,35381,0,3789,1530000,3691,637500,3690,0,3693,20,
3791,1,3791,153489,0,3889,1530000,3790,1530000,3789,0,3791,22,
3893,1,3893,523260,0,3990,2295000,3890,1530000,3890,0,3893,75,
3992,1,3992,1397655,633154,4090,1938000,3990,2295000,3990,0,3991,100,
4092,1,4092,1041868,277367,4197,2295000,4091,1938000,4091,0,4092,100,
4199,1,4199,1397655,633154,4294,2091000,4198,2295000,4198,0,4199,100,
4295,1,4295,1188106,423605,4394,2295000,4294,2091000,4294,0,4295,100,
4395,1,4395,1397655,633154,4494,2295000,4394,2295000,4394,0,4395,100,
4495,1,4495,1397655,633154,4595,2295000,4494,2295000,4494,0,4495,100,
4597,1,4597,1397655,633154,4695,2295000,4596,2295000,4596,0,4596,100,
4696,1,4696,1397655,633154,4797,2295000,4695,2295000,4695,0,4696,100,
